date,open,high,low,close,volume
2019-02-22 00:00:00+05:30,5.25,5.25,5.25,5.25,4000
2019-03-05 00:00:00+05:30,5.05,5.1,5.0,5.0,12000
2019-03-08 00:00:00+05:30,5.0,5.0,5.0,5.0,4000
2019-03-13 00:00:00+05:30,5.25,5.25,5.25,5.25,4000
2019-03-25 00:00:00+05:30,5.05,5.05,5.05,5.05,4000
2019-03-26 00:00:00+05:30,5.15,5.15,5.15,5.15,4000
2019-03-28 00:00:00+05:30,5.15,5.15,5.15,5.15,20000
2019-03-29 00:00:00+05:30,5.4,5.4,5.4,5.4,4000
2019-04-03 00:00:00+05:30,5.25,5.25,5.25,5.25,20000
2019-04-09 00:00:00+05:30,5.25,5.25,5.25,5.25,4000
2019-05-06 00:00:00+05:30,5.5,5.5,5.5,5.5,4000
2019-05-16 00:00:00+05:30,5.3,5.4,5.3,5.4,12000
2019-05-20 00:00:00+05:30,5.65,5.65,5.65,5.65,8000
2019-05-22 00:00:00+05:30,5.45,5.9,5.45,5.9,12000
2019-05-23 00:00:00+05:30,5.7,5.7,5.7,5.7,4000
2019-05-27 00:00:00+05:30,5.75,5.75,5.75,5.75,4000
2019-06-03 00:00:00+05:30,6.0,6.0,6.0,6.0,4000
2019-06-14 00:00:00+05:30,5.95,5.95,5.95,5.95,4000
2019-06-26 00:00:00+05:30,5.75,5.75,5.75,5.75,8000
2019-07-02 00:00:00+05:30,6.0,6.0,6.0,6.0,8000
2019-07-03 00:00:00+05:30,5.75,5.75,5.75,5.75,4000
2019-07-16 00:00:00+05:30,5.55,5.55,5.55,5.55,4000
2019-08-14 00:00:00+05:30,5.35,5.35,5.35,5.35,4000
2019-08-20 00:00:00+05:30,5.1,5.25,5.1,5.25,12000
2019-09-30 00:00:00+05:30,5.0,5.0,5.0,5.0,4000
2019-10-17 00:00:00+05:30,4.75,4.75,4.75,4.75,4000
2019-11-18 00:00:00+05:30,4.6,4.6,4.6,4.6,4000
2019-11-20 00:00:00+05:30,4.65,4.65,4.4,4.4,8000
2019-11-28 00:00:00+05:30,4.6,4.6,4.6,4.6,8000
2019-12-02 00:00:00+05:30,4.8,4.8,4.8,4.8,4000
2019-12-03 00:00:00+05:30,5.0,5.0,5.0,5.0,4000
2019-12-04 00:00:00+05:30,4.8,4.8,4.8,4.8,4000
2019-12-05 00:00:00+05:30,4.65,4.65,4.65,4.65,4000
2020-01-13 00:00:00+05:30,4.5,4.5,4.5,4.5,4000
2020-01-31 00:00:00+05:30,4.35,4.35,4.35,4.35,4000
2020-02-06 00:00:00+05:30,4.5,4.5,4.5,4.5,4000
2020-02-07 00:00:00+05:30,4.7,4.7,4.7,4.7,4000
2020-02-10 00:00:00+05:30,4.9,4.9,4.9,4.9,4000
2020-02-11 00:00:00+05:30,5.1,5.1,5.1,5.1,4000
2020-02-12 00:00:00+05:30,5.35,5.35,5.35,5.35,4000
2020-02-13 00:00:00+05:30,5.5,5.5,5.5,5.5,4000
2020-02-19 00:00:00+05:30,5.5,5.5,5.5,5.5,4000
2020-02-28 00:00:00+05:30,5.3,5.3,5.3,5.3,4000
2020-03-17 00:00:00+05:30,5.1,5.1,5.1,5.1,4000
2020-03-19 00:00:00+05:30,4.9,4.9,4.9,4.9,4000
