date,open,high,low,close,volume
2022-05-26 00:00:00+05:30,24.0,24.2,23.1,24.2,60585
2022-05-27 00:00:00+05:30,25.55,26.6,25.55,26.6,194605
2022-05-30 00:00:00+05:30,27.85,27.95,25.3,25.3,55775
2022-05-31 00:00:00+05:30,24.1,24.1,24.05,24.05,5565
2022-06-01 00:00:00+05:30,22.85,22.85,22.85,22.85,4675
2022-06-02 00:00:00+05:30,21.7,21.7,21.7,21.7,10215
2022-06-03 00:00:00+05:30,20.6,20.6,20.6,20.6,4960
2022-06-06 00:00:00+05:30,19.6,21.55,19.6,19.75,66465
2022-06-07 00:00:00+05:30,19.35,20.6,18.75,20.15,18760
2022-06-08 00:00:00+05:30,20.2,20.55,19.45,19.5,10130
2022-06-09 00:00:00+05:30,19.45,20.25,18.6,19.25,7070
2022-06-10 00:00:00+05:30,19.65,20.25,18.4,20.2,6760
2022-06-13 00:00:00+05:30,21.25,21.25,19.4,21.25,47325
2022-06-14 00:00:00+05:30,21.8,22.0,20.15,20.3,25970
2022-06-15 00:00:00+05:30,20.15,20.15,19.3,19.35,10825
2022-06-16 00:00:00+05:30,20.3,20.3,18.5,19.55,11975
2022-06-17 00:00:00+05:30,19.0,19.5,18.6,18.6,13795
2022-06-20 00:00:00+05:30,17.9,19.35,17.65,17.85,11380
2022-06-21 00:00:00+05:30,18.65,18.75,17.1,18.3,10250
2022-06-22 00:00:00+05:30,17.7,19.1,17.4,17.75,24795
2022-06-23 00:00:00+05:30,17.8,18.6,17.4,18.2,9800
2022-06-24 00:00:00+05:30,17.75,18.4,17.6,17.7,8380
2022-06-27 00:00:00+05:30,18.55,18.55,17.4,17.95,11030
2022-06-28 00:00:00+05:30,17.55,18.6,17.45,18.05,4100
2022-06-29 00:00:00+05:30,18.05,18.75,17.8,18.1,4900
2022-06-30 00:00:00+05:30,17.8,19.0,17.4,18.0,11210
2022-07-01 00:00:00+05:30,17.2,18.7,17.1,17.45,21250
2022-07-04 00:00:00+05:30,17.45,18.3,17.0,17.35,6610
2022-07-05 00:00:00+05:30,17.0,18.0,16.8,17.45,6450
2022-07-06 00:00:00+05:30,16.7,18.3,16.7,17.1,8135
2022-07-07 00:00:00+05:30,17.9,17.9,17.0,17.65,9270
2022-07-08 00:00:00+05:30,18.0,18.4,17.15,17.95,8615
2022-07-11 00:00:00+05:30,17.3,18.6,17.3,18.4,9265
2022-07-12 00:00:00+05:30,17.5,19.1,17.5,18.2,8145
2022-07-13 00:00:00+05:30,18.35,18.8,17.3,18.0,7275
2022-07-14 00:00:00+05:30,17.25,18.45,17.25,17.45,13395
2022-07-15 00:00:00+05:30,17.6,18.35,17.0,17.6,6495
2022-07-18 00:00:00+05:30,17.6,18.25,17.25,17.9,14725
2022-07-19 00:00:00+05:30,17.9,18.15,17.05,17.35,9265
2022-07-20 00:00:00+05:30,18.15,18.2,16.75,17.45,9225
2022-07-21 00:00:00+05:30,17.1,18.2,16.6,17.25,11625
2022-07-22 00:00:00+05:30,17.3,18.0,17.2,17.45,8660
2022-07-25 00:00:00+05:30,17.95,17.95,16.75,17.3,6055
2022-07-26 00:00:00+05:30,16.95,17.8,16.95,17.6,9565
2022-07-27 00:00:00+05:30,17.65,18.0,16.95,17.25,7450
2022-07-28 00:00:00+05:30,17.8,18.1,17.0,18.1,24150
2022-07-29 00:00:00+05:30,18.6,18.8,17.6,18.2,5775
2022-08-01 00:00:00+05:30,18.0,19.1,17.3,18.6,34325
2022-08-02 00:00:00+05:30,18.6,18.6,17.65,18.2,23250
2022-08-03 00:00:00+05:30,17.45,19.0,17.45,17.75,15100
2022-08-04 00:00:00+05:30,18.6,18.6,17.5,18.05,10560
2022-08-05 00:00:00+05:30,17.3,19.8,17.3,18.05,23500
2022-08-08 00:00:00+05:30,17.35,19.35,17.35,17.9,5115
2022-08-10 00:00:00+05:30,18.6,19.65,16.5,19.65,35425
2022-08-11 00:00:00+05:30,21.35,21.35,19.6,20.7,60810
2022-08-12 00:00:00+05:30,20.65,20.9,19.0,20.2,11015
2022-08-16 00:00:00+05:30,20.8,20.8,18.15,19.25,52760
2022-08-17 00:00:00+05:30,17.75,19.45,17.75,18.5,9440
2022-08-18 00:00:00+05:30,18.0,20.35,18.0,18.5,38960
2022-08-19 00:00:00+05:30,18.2,19.75,18.2,19.05,13130
2022-08-22 00:00:00+05:30,19.4,19.45,18.4,19.15,6725
2022-08-23 00:00:00+05:30,18.05,19.6,18.05,19.35,5005
2022-08-24 00:00:00+05:30,18.4,19.35,18.4,18.95,5895
2022-08-25 00:00:00+05:30,18.95,20.8,18.6,19.85,99700
2022-08-26 00:00:00+05:30,21.2,21.8,19.95,21.4,87745
2022-08-29 00:00:00+05:30,21.4,21.4,19.8,21.15,29855
2022-08-30 00:00:00+05:30,20.8,21.85,20.2,20.65,29830
2022-09-01 00:00:00+05:30,20.65,22.55,18.65,19.65,87015
2022-09-02 00:00:00+05:30,20.8,21.3,19.75,20.85,36115
2022-09-05 00:00:00+05:30,21.6,21.6,19.25,20.15,33950
2022-09-06 00:00:00+05:30,19.8,20.75,19.65,20.5,21820
2022-09-07 00:00:00+05:30,19.6,20.6,19.6,20.3,31120
2022-09-08 00:00:00+05:30,19.65,20.85,19.65,20.55,9460
2022-09-09 00:00:00+05:30,20.9,20.9,20.05,20.5,21690
2022-09-12 00:00:00+05:30,20.2,21.8,20.1,21.15,33645
2022-09-13 00:00:00+05:30,21.15,21.65,21.1,21.5,12420
2022-09-14 00:00:00+05:30,22.2,22.2,20.6,22.0,4305
2022-09-15 00:00:00+05:30,22.4,23.05,21.6,23.05,16290
2022-09-16 00:00:00+05:30,23.0,23.0,21.9,22.15,2080
2022-09-19 00:00:00+05:30,21.95,22.55,21.6,22.2,6025
2022-09-20 00:00:00+05:30,21.8,23.25,21.2,22.0,9730
2022-09-21 00:00:00+05:30,21.8,22.4,21.2,22.0,485
2022-09-22 00:00:00+05:30,21.0,22.8,21.0,22.5,3875
2022-09-23 00:00:00+05:30,22.5,22.5,21.4,21.7,5240
2022-09-26 00:00:00+05:30,21.6,22.8,20.65,22.8,1291065
2022-09-27 00:00:00+05:30,23.9,23.9,23.8,23.9,819445
2022-09-28 00:00:00+05:30,23.9,25.1,23.9,25.1,381190
2022-09-29 00:00:00+05:30,25.95,26.35,25.8,26.35,153240
2022-09-30 00:00:00+05:30,27.6,27.65,26.6,27.65,261455
2022-10-03 00:00:00+05:30,28.6,28.85,26.4,28.65,125410
2022-10-04 00:00:00+05:30,28.8,30.0,27.8,29.7,106575
2022-10-06 00:00:00+05:30,28.4,31.15,28.4,29.95,347665
2022-10-07 00:00:00+05:30,29.05,31.0,29.05,30.1,69955
2022-10-10 00:00:00+05:30,30.5,30.5,28.6,28.85,37450
2022-10-11 00:00:00+05:30,28.85,29.7,27.6,27.95,250900
2022-10-12 00:00:00+05:30,27.8,28.4,27.35,28.4,18645
2022-10-13 00:00:00+05:30,27.55,28.6,27.55,28.05,15935
2022-10-14 00:00:00+05:30,28.05,29.0,28.05,28.65,41715
2022-10-17 00:00:00+05:30,28.7,29.55,27.4,29.35,765280
2022-10-18 00:00:00+05:30,29.4,29.4,28.0,28.25,449225
2022-10-19 00:00:00+05:30,29.05,29.7,27.8,29.4,985515
2022-10-20 00:00:00+05:30,29.6,30.4,29.4,29.55,55405
2022-10-21 00:00:00+05:30,30.6,31.05,29.4,30.8,143890
2022-10-24 00:00:00+05:30,32.2,32.35,31.6,32.25,359945
2022-10-25 00:00:00+05:30,33.2,33.85,32.6,33.85,96495
2022-10-27 00:00:00+05:30,35.4,35.55,32.45,35.35,196720
2022-10-28 00:00:00+05:30,37.1,37.1,35.4,37.1,641230
2022-10-31 00:00:00+05:30,38.4,38.95,36.6,38.95,261100
2022-11-01 00:00:00+05:30,39.55,40.85,39.55,40.85,147470
2022-11-02 00:00:00+05:30,42.45,42.9,41.2,42.9,265715
2022-11-03 00:00:00+05:30,42.4,45.05,40.75,44.9,239215
2022-11-04 00:00:00+05:30,44.9,47.15,44.8,47.15,192125
2022-11-07 00:00:00+05:30,49.0,49.0,47.95,48.0,198400
2022-11-09 00:00:00+05:30,49.95,50.4,45.6,47.5,190815
2022-11-10 00:00:00+05:30,45.15,47.0,45.15,45.15,120745
2022-11-11 00:00:00+05:30,42.9,44.4,42.9,43.1,223130
2022-11-14 00:00:00+05:30,43.2,45.25,43.0,45.05,293530
2022-11-15 00:00:00+05:30,46.8,47.3,45.2,47.2,806995
2022-11-16 00:00:00+05:30,49.0,49.55,46.95,49.4,344875
2022-11-17 00:00:00+05:30,51.0,51.9,50.15,51.9,239065
2022-11-18 00:00:00+05:30,52.75,54.5,52.35,54.35,222595
2022-11-21 00:00:00+05:30,55.95,57.05,55.4,57.05,171020
2022-11-22 00:00:00+05:30,58.6,59.9,54.2,59.9,398795
2022-11-23 00:00:00+05:30,60.8,62.9,59.4,62.9,230910
2022-11-24 00:00:00+05:30,63.7,64.0,59.75,59.75,139725
2022-11-25 00:00:00+05:30,56.75,56.75,56.75,56.75,10910
2022-11-28 00:00:00+05:30,53.95,59.6,53.95,59.6,773040
2022-11-29 00:00:00+05:30,60.6,62.6,60.4,62.6,398200
2022-11-30 00:00:00+05:30,65.0,65.0,62.0,63.55,274380
2022-12-01 00:00:00+05:30,64.95,64.95,61.4,62.9,356215
2022-12-02 00:00:00+05:30,60.0,63.0,60.0,62.5,344560
2022-12-05 00:00:00+05:30,62.0,64.0,62.0,62.65,232320
2022-12-06 00:00:00+05:30,62.0,62.95,61.6,61.8,222150
2022-12-07 00:00:00+05:30,61.8,63.0,61.6,62.0,219840
2022-12-08 00:00:00+05:30,62.0,62.8,61.8,61.8,145620
2022-12-09 00:00:00+05:30,61.8,64.0,61.8,63.6,82805
2022-12-12 00:00:00+05:30,64.4,66.6,64.4,65.0,143390
2022-12-13 00:00:00+05:30,67.0,67.0,64.0,65.5,90440
2022-12-14 00:00:00+05:30,64.8,66.8,64.2,64.85,82295
2022-12-15 00:00:00+05:30,64.2,65.7,64.0,64.2,26855
2022-12-16 00:00:00+05:30,64.2,64.95,63.8,64.8,341715
2022-12-19 00:00:00+05:30,65.0,65.0,64.0,65.0,258595
2022-12-20 00:00:00+05:30,65.0,67.5,63.7,65.9,490890
2022-12-21 00:00:00+05:30,64.6,66.4,64.4,65.25,172180
2022-12-22 00:00:00+05:30,65.95,65.95,64.0,64.55,343075
2022-12-23 00:00:00+05:30,64.0,65.0,61.35,61.35,53205
