date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,18.5,18.57,18.35,18.38,20184
2019-01-02 00:00:00+05:30,18.5,18.5,18.25,18.35,9162
2019-01-03 00:00:00+05:30,18.49,18.49,18.24,18.25,3297
2019-01-04 00:00:00+05:30,18.35,18.35,18.2,18.33,8705
2019-01-07 00:00:00+05:30,18.35,18.55,18.21,18.44,25547
2019-01-08 00:00:00+05:30,18.25,18.6,18.21,18.47,4893
2019-01-09 00:00:00+05:30,18.5,18.5,18.15,18.39,15166
2019-01-10 00:00:00+05:30,18.44,18.45,18.2,18.36,12187
2019-01-11 00:00:00+05:30,18.3,18.44,18.3,18.3,4036
2019-01-14 00:00:00+05:30,18.45,18.45,18.2,18.39,4166
2019-01-15 00:00:00+05:30,18.49,18.49,18.2,18.44,4937
2019-01-16 00:00:00+05:30,18.45,18.48,18.26,18.45,6288
2019-01-17 00:00:00+05:30,18.49,18.49,18.2,18.4,6824
2019-01-18 00:00:00+05:30,18.4,18.4,18.3,18.35,17011
2019-01-21 00:00:00+05:30,18.49,18.49,18.1,18.12,11302
2019-01-22 00:00:00+05:30,18.32,18.38,17.96,18.06,16093
2019-01-23 00:00:00+05:30,18.25,18.3,17.92,18.07,8698
2019-01-24 00:00:00+05:30,18.23,18.23,17.71,17.92,27936
2019-01-25 00:00:00+05:30,17.99,18.04,17.75,17.98,11959
2019-01-28 00:00:00+05:30,18.0,18.04,16.4,17.38,47960
2019-01-29 00:00:00+05:30,17.5,17.5,17.1,17.18,37626
2019-01-30 00:00:00+05:30,17.29,17.44,17.2,17.38,7200
2019-01-31 00:00:00+05:30,17.6,17.7,17.4,17.59,25191
2019-02-01 00:00:00+05:30,17.42,17.8,17.42,17.55,7551
2019-02-04 00:00:00+05:30,17.9,17.9,17.4,17.4,9418
2019-02-05 00:00:00+05:30,17.75,17.9,17.3,17.54,233364
2019-02-06 00:00:00+05:30,17.7,17.7,17.1,17.38,37935
2019-02-07 00:00:00+05:30,17.5,17.5,17.27,17.49,10671
2019-02-08 00:00:00+05:30,17.45,17.6,17.25,17.44,5228
2019-02-11 00:00:00+05:30,17.49,17.5,17.07,17.15,25758
2019-02-12 00:00:00+05:30,17.45,17.45,16.95,17.07,44943
2019-02-13 00:00:00+05:30,16.9,17.45,16.9,17.4,14243
2019-02-14 00:00:00+05:30,17.45,17.45,16.9,17.05,46609
2019-02-15 00:00:00+05:30,17.15,17.24,16.87,16.99,26368
2019-02-18 00:00:00+05:30,16.95,17.24,16.74,16.94,13595
2019-02-19 00:00:00+05:30,17.0,17.2,16.7,16.94,13213
2019-02-20 00:00:00+05:30,17.0,17.2,16.78,17.04,9407
2019-02-21 00:00:00+05:30,17.0,17.4,16.85,17.23,24945
2019-02-22 00:00:00+05:30,16.8,17.49,16.8,17.4,164985
2019-02-25 00:00:00+05:30,17.4,17.6,17.21,17.37,14253
2019-02-26 00:00:00+05:30,17.25,17.6,17.05,17.1,16603
2019-02-27 00:00:00+05:30,17.08,17.5,17.08,17.38,47833
2019-02-28 00:00:00+05:30,17.21,17.5,17.05,17.49,4227
2019-03-01 00:00:00+05:30,17.59,17.6,17.26,17.42,29308
2019-03-05 00:00:00+05:30,17.16,18.23,16.81,18.2,35201
2019-03-06 00:00:00+05:30,18.2,18.4,18.0,18.33,60200
2019-03-07 00:00:00+05:30,18.06,18.39,18.02,18.29,4783
2019-03-08 00:00:00+05:30,18.1,18.45,17.8,18.07,81997
2019-03-11 00:00:00+05:30,18.2,18.4,18.05,18.35,20284
2019-03-12 00:00:00+05:30,18.44,18.7,18.4,18.63,47143
2019-03-13 00:00:00+05:30,18.75,19.94,18.5,19.48,66928
2019-03-14 00:00:00+05:30,19.2,19.2,18.42,18.55,91617
2019-03-15 00:00:00+05:30,18.5,18.74,18.5,18.63,26715
2019-03-18 00:00:00+05:30,18.75,18.79,18.51,18.51,17014
2019-03-19 00:00:00+05:30,18.79,18.79,18.3,18.73,21994
2019-03-20 00:00:00+05:30,18.55,18.85,18.36,18.36,44453
2019-03-22 00:00:00+05:30,18.74,18.74,18.37,18.41,29142
2019-03-25 00:00:00+05:30,18.65,18.98,18.1,18.21,15775
2019-03-26 00:00:00+05:30,18.2,18.35,18.03,18.28,18068
2019-03-27 00:00:00+05:30,18.5,21.0,18.31,18.91,28028
2019-03-28 00:00:00+05:30,18.7,19.0,18.4,18.77,39131
2019-03-29 00:00:00+05:30,18.99,18.99,18.4,18.8,26042
2019-04-01 00:00:00+05:30,18.8,19.5,18.62,19.14,44542
2019-04-02 00:00:00+05:30,19.48,19.48,18.8,19.36,22594
2019-04-03 00:00:00+05:30,19.48,19.48,18.85,19.0,23885
2019-04-04 00:00:00+05:30,19.44,19.44,18.45,18.63,31813
2019-04-05 00:00:00+05:30,18.63,19.05,18.6,18.97,16548
2019-04-08 00:00:00+05:30,20.0,20.0,18.2,18.5,43749
2019-04-09 00:00:00+05:30,19.75,19.75,18.41,18.91,8650
2019-04-10 00:00:00+05:30,18.98,18.98,18.69,18.93,6542
2019-04-11 00:00:00+05:30,19.0,19.2,18.61,19.04,12168
2019-04-12 00:00:00+05:30,19.1,19.14,18.8,18.8,6759
2019-04-15 00:00:00+05:30,18.8,19.9,18.8,19.24,37766
2019-04-16 00:00:00+05:30,19.25,19.48,19.1,19.34,16121
2019-04-18 00:00:00+05:30,19.0,19.45,18.31,18.6,32376
2019-04-22 00:00:00+05:30,18.51,18.84,18.5,18.6,20953
2019-04-23 00:00:00+05:30,18.95,18.95,18.51,18.7,13550
2019-04-24 00:00:00+05:30,18.97,18.97,18.5,18.63,24160
2019-04-25 00:00:00+05:30,18.98,18.98,18.52,18.57,16342
2019-04-26 00:00:00+05:30,18.55,18.94,18.41,18.49,18503
2019-04-30 00:00:00+05:30,18.74,18.74,18.15,18.25,37463
2019-05-02 00:00:00+05:30,18.4,18.4,18.01,18.29,59268
2019-05-03 00:00:00+05:30,18.39,18.39,18.12,18.21,11727
2019-05-06 00:00:00+05:30,18.33,18.33,14.8,17.96,138227
2019-05-07 00:00:00+05:30,18.12,18.2,17.95,18.03,13358
2019-05-08 00:00:00+05:30,17.76,18.1,17.61,17.79,21241
2019-05-09 00:00:00+05:30,17.75,17.86,17.47,17.54,53717
2019-05-10 00:00:00+05:30,17.75,17.75,17.41,17.63,6488
2019-05-13 00:00:00+05:30,17.63,17.63,17.25,17.5,29292
2019-05-14 00:00:00+05:30,17.31,17.65,17.26,17.43,48510
2019-05-15 00:00:00+05:30,17.57,17.72,17.32,17.38,51249
2019-05-16 00:00:00+05:30,17.59,17.59,17.26,17.47,92602
2019-05-17 00:00:00+05:30,17.5,17.59,17.4,17.47,33566
2019-05-20 00:00:00+05:30,17.61,19.75,17.61,18.38,146574
2019-05-21 00:00:00+05:30,18.35,18.35,18.0,18.12,45713
2019-05-22 00:00:00+05:30,18.3,18.98,17.9,18.52,46932
2019-05-23 00:00:00+05:30,18.5,19.4,18.11,18.54,107029
2019-05-24 00:00:00+05:30,18.72,18.72,18.16,18.48,46330
2019-05-27 00:00:00+05:30,18.6,18.8,18.6,18.7,25759
