date,open,high,low,close,volume
2022-08-10 00:00:00+05:30,184.0,220.0,184.0,203.18,309
2022-08-11 00:00:00+05:30,186.0,193.6,184.3,186.62,53640
2022-08-12 00:00:00+05:30,18.7,22.2,18.6,18.89,147948
2022-08-16 00:00:00+05:30,19.68,20.7,18.6,19.18,77555
2022-08-17 00:00:00+05:30,19.75,19.78,18.83,19.21,5643
2022-08-18 00:00:00+05:30,20.97,20.97,18.6,19.54,51703
2022-08-19 00:00:00+05:30,19.54,19.88,18.8,18.98,21151
2022-08-22 00:00:00+05:30,19.21,19.21,18.71,18.79,9274
2022-08-23 00:00:00+05:30,18.9,19.2,18.5,18.52,17034
2022-08-24 00:00:00+05:30,18.98,19.06,18.41,18.92,571167
2022-08-25 00:00:00+05:30,19.18,19.28,18.68,19.22,5397
2022-08-26 00:00:00+05:30,19.25,19.45,19.22,19.32,9854
2022-08-29 00:00:00+05:30,19.38,19.49,18.45,19.28,7020
2022-08-30 00:00:00+05:30,18.92,19.66,18.75,19.6,25897
2022-09-01 00:00:00+05:30,19.78,21.1,19.0,19.99,112582
2022-09-02 00:00:00+05:30,21.9,21.9,19.5,19.57,7131
2022-09-05 00:00:00+05:30,19.98,20.5,19.41,19.7,397027
2022-09-06 00:00:00+05:30,20.19,20.19,19.59,19.93,5502
2022-09-07 00:00:00+05:30,19.99,20.37,19.68,19.97,33904
2022-09-08 00:00:00+05:30,20.57,20.57,19.74,19.9,115168
2022-09-09 00:00:00+05:30,20.5,20.5,19.9,19.9,6499
2022-09-12 00:00:00+05:30,19.9,20.48,19.6,20.09,5937
2022-09-13 00:00:00+05:30,20.39,20.58,19.79,20.34,15401
2022-09-14 00:00:00+05:30,20.34,21.5,19.5,20.34,63861
2022-09-15 00:00:00+05:30,20.78,20.78,20.3,20.39,6458
2022-09-16 00:00:00+05:30,20.41,20.78,19.45,19.74,54568
2022-09-19 00:00:00+05:30,20.09,20.09,19.8,20.08,8687
2022-09-20 00:00:00+05:30,20.0,20.39,20.0,20.24,26536
2022-09-21 00:00:00+05:30,21.0,21.0,20.0,20.1,146539
2022-09-22 00:00:00+05:30,20.29,20.38,19.9,20.15,25175
2022-09-23 00:00:00+05:30,21.9,21.9,19.71,19.74,35544
2022-09-26 00:00:00+05:30,19.74,19.89,18.97,19.11,35186
2022-09-27 00:00:00+05:30,19.11,19.29,18.92,19.13,10025
2022-09-28 00:00:00+05:30,19.73,19.73,18.6,19.0,26946
2022-09-29 00:00:00+05:30,19.0,19.58,19.0,19.18,6248
2022-09-30 00:00:00+05:30,19.69,19.69,18.98,19.39,5011
2022-10-03 00:00:00+05:30,19.58,19.58,19.1,19.14,11673
2022-10-04 00:00:00+05:30,19.26,19.49,19.25,19.39,28725
2022-10-06 00:00:00+05:30,19.39,19.7,19.39,19.69,690
2022-10-07 00:00:00+05:30,19.21,22.5,19.21,19.84,28262
2022-10-10 00:00:00+05:30,23.0,23.0,19.43,19.53,10965
2022-10-11 00:00:00+05:30,19.97,19.97,19.21,19.23,7092
2022-10-12 00:00:00+05:30,19.29,19.46,19.21,19.45,2039
2022-10-13 00:00:00+05:30,19.78,19.78,19.25,19.35,6680
2022-10-14 00:00:00+05:30,19.6,19.75,19.15,19.18,1984
2022-10-17 00:00:00+05:30,19.25,19.44,19.15,19.3,27924
2022-10-18 00:00:00+05:30,19.78,19.78,19.02,19.61,1910
2022-10-19 00:00:00+05:30,19.9,19.9,19.56,19.71,1606
2022-10-20 00:00:00+05:30,19.98,19.98,19.6,19.79,2114
2022-10-21 00:00:00+05:30,19.79,19.89,19.56,19.69,4776
2022-10-24 00:00:00+05:30,19.51,20.48,18.9,19.62,112074
2022-10-25 00:00:00+05:30,19.9,19.99,19.6,19.82,346840
2022-10-27 00:00:00+05:30,20.19,20.19,19.58,19.92,7130
2022-10-28 00:00:00+05:30,20.19,20.19,19.85,19.87,13431
2022-10-31 00:00:00+05:30,20.29,20.29,19.72,20.2,34438
2022-11-01 00:00:00+05:30,20.01,20.53,20.01,20.48,89580
2022-11-02 00:00:00+05:30,20.5,20.61,20.43,20.46,9673
2022-11-03 00:00:00+05:30,20.5,20.54,20.37,20.44,34451
2022-11-04 00:00:00+05:30,20.06,20.6,20.0,20.49,38593
2022-11-07 00:00:00+05:30,22.9,22.9,20.05,20.64,3467
2022-11-09 00:00:00+05:30,20.05,20.77,20.05,20.5,10148
2022-11-10 00:00:00+05:30,20.5,22.69,20.26,20.3,9227
2022-11-11 00:00:00+05:30,20.4,20.53,20.25,20.3,12586
2022-11-14 00:00:00+05:30,20.31,20.39,20.26,20.31,16625
2022-11-15 00:00:00+05:30,20.26,20.35,20.16,20.27,50526
2022-11-16 00:00:00+05:30,20.78,20.78,20.02,20.21,33381
2022-11-17 00:00:00+05:30,20.25,20.29,20.16,20.17,11858
2022-11-18 00:00:00+05:30,20.17,20.17,19.86,19.88,14497
2022-11-21 00:00:00+05:30,20.0,20.37,19.85,19.91,3395
2022-11-22 00:00:00+05:30,20.08,20.18,19.9,20.17,423954
2022-11-23 00:00:00+05:30,20.2,20.49,20.11,20.14,29284
2022-11-24 00:00:00+05:30,20.47,20.47,20.11,20.19,2097
2022-11-25 00:00:00+05:30,20.48,20.48,20.2,20.3,248027
2022-11-28 00:00:00+05:30,20.47,20.47,20.18,20.37,8616
2022-11-29 00:00:00+05:30,20.06,20.69,19.96,20.35,17916
2022-11-30 00:00:00+05:30,20.68,20.68,20.01,20.56,7183
2022-12-01 00:00:00+05:30,20.5,20.55,20.39,20.49,5296
2022-12-02 00:00:00+05:30,20.95,20.95,20.25,20.41,8121
2022-12-05 00:00:00+05:30,20.85,20.85,20.21,20.54,4860
2022-12-06 00:00:00+05:30,20.54,20.55,20.36,20.54,23872
2022-12-07 00:00:00+05:30,20.84,20.84,20.33,20.39,4755
2022-12-08 00:00:00+05:30,20.45,20.5,20.35,20.45,3193
2022-12-09 00:00:00+05:30,20.85,20.85,20.26,20.39,15904
2022-12-12 00:00:00+05:30,20.85,20.85,20.27,20.4,8028
2022-12-13 00:00:00+05:30,20.85,20.85,20.35,20.44,16410
2022-12-14 00:00:00+05:30,20.56,20.59,20.47,20.58,6369
2022-12-15 00:00:00+05:30,20.3,20.6,20.3,20.46,2488
2022-12-16 00:00:00+05:30,20.32,20.32,19.96,20.0,7245
2022-12-19 00:00:00+05:30,20.32,20.32,19.85,20.19,5818
2022-12-20 00:00:00+05:30,23.7,23.7,19.99,20.16,13523
2022-12-21 00:00:00+05:30,19.95,20.54,19.74,19.88,17164
2022-12-22 00:00:00+05:30,19.9,19.9,19.55,19.62,9819
2022-12-23 00:00:00+05:30,19.5,19.6,19.11,19.11,10419
2022-12-26 00:00:00+05:30,19.58,19.6,18.95,19.48,2972
2022-12-27 00:00:00+05:30,19.48,19.75,19.28,19.55,4081
2022-12-28 00:00:00+05:30,19.6,19.75,19.6,19.65,1870
2022-12-29 00:00:00+05:30,19.95,19.95,19.5,19.75,446
2022-12-30 00:00:00+05:30,19.8,19.83,19.68,19.7,13174
2023-01-02 00:00:00+05:30,19.79,19.79,19.57,19.73,56964
2023-01-03 00:00:00+05:30,20.19,20.19,19.7,19.72,55186
2023-01-04 00:00:00+05:30,20.18,20.18,19.4,19.47,25648
2023-01-05 00:00:00+05:30,19.88,19.88,19.42,19.63,19544
2023-01-06 00:00:00+05:30,19.99,19.99,19.36,19.37,3024
2023-01-09 00:00:00+05:30,19.13,19.85,19.13,19.74,10757
2023-01-10 00:00:00+05:30,19.71,19.71,19.24,19.38,64318
2023-01-11 00:00:00+05:30,19.35,19.44,19.27,19.31,3195
2023-01-12 00:00:00+05:30,19.02,19.47,19.02,19.25,8752
2023-01-13 00:00:00+05:30,19.31,19.49,19.23,19.4,6030
2023-01-16 00:00:00+05:30,19.88,19.88,19.32,19.41,2757
2023-01-17 00:00:00+05:30,19.45,19.48,19.22,19.38,4968
2023-01-18 00:00:00+05:30,19.45,19.47,19.2,19.43,2219
2023-01-19 00:00:00+05:30,19.4,19.45,19.05,19.39,8701
2023-01-20 00:00:00+05:30,19.84,19.84,19.15,19.31,63443
2023-01-23 00:00:00+05:30,19.35,19.45,19.33,19.42,51078
2023-01-24 00:00:00+05:30,19.97,19.97,19.24,19.31,27485
2023-01-25 00:00:00+05:30,19.78,19.78,18.86,18.96,94215
2023-01-27 00:00:00+05:30,19.35,19.35,18.27,18.68,170141
2023-01-30 00:00:00+05:30,18.3,19.38,18.15,18.34,38483
2023-01-31 00:00:00+05:30,18.34,18.86,18.34,18.85,18560
2023-02-01 00:00:00+05:30,19.3,19.3,18.11,18.3,194257
2023-02-02 00:00:00+05:30,18.4,18.4,17.85,18.13,163957
2023-02-03 00:00:00+05:30,18.15,18.49,17.95,18.4,139602
2023-02-06 00:00:00+05:30,18.79,18.79,18.34,18.46,116054
2023-02-07 00:00:00+05:30,18.78,18.78,18.43,18.53,81450
2023-02-08 00:00:00+05:30,18.59,18.7,18.5,18.55,45360
2023-02-09 00:00:00+05:30,18.79,18.79,18.58,18.62,93258
2023-02-10 00:00:00+05:30,18.79,18.79,18.54,18.58,6225
2023-02-13 00:00:00+05:30,18.65,18.78,18.39,18.49,42118
2023-02-14 00:00:00+05:30,18.75,18.75,18.29,18.57,22517
2023-02-15 00:00:00+05:30,18.75,18.75,18.51,18.61,19374
2023-02-16 00:00:00+05:30,18.65,18.88,18.65,18.78,33847
2023-02-17 00:00:00+05:30,18.78,18.82,18.56,18.59,44800
2023-02-20 00:00:00+05:30,18.59,18.63,18.13,18.53,55230
2023-02-21 00:00:00+05:30,18.51,18.98,18.46,18.53,35824
