date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,22.15,22.25,21.0,22.05,170004
2019-01-02 00:00:00+05:30,21.95,22.25,21.5,21.7,277041
2019-01-03 00:00:00+05:30,21.7,22.0,21.25,21.35,267933
2019-01-04 00:00:00+05:30,21.5,22.2,21.5,21.9,345244
2019-01-07 00:00:00+05:30,22.25,22.45,21.45,21.65,285222
2019-01-08 00:00:00+05:30,21.6,22.1,21.45,21.7,357402
2019-01-09 00:00:00+05:30,21.95,22.0,21.4,21.55,302025
2019-01-10 00:00:00+05:30,21.75,22.25,21.5,21.8,377062
2019-01-11 00:00:00+05:30,21.65,22.1,21.6,21.8,178969
2019-01-14 00:00:00+05:30,22.0,22.0,21.35,21.45,249718
2019-01-15 00:00:00+05:30,21.8,21.85,21.45,21.75,184876
2019-01-16 00:00:00+05:30,21.8,21.95,21.45,21.5,234383
2019-01-17 00:00:00+05:30,21.55,21.75,21.0,21.1,386128
2019-01-18 00:00:00+05:30,21.2,21.3,20.75,20.85,279893
2019-01-21 00:00:00+05:30,21.0,21.0,20.5,20.5,310336
2019-01-22 00:00:00+05:30,20.55,20.75,20.1,20.4,219384
2019-01-23 00:00:00+05:30,20.4,20.8,20.2,20.3,182956
2019-01-24 00:00:00+05:30,20.3,21.6,20.3,20.8,564522
2019-01-25 00:00:00+05:30,20.8,21.2,20.3,20.35,328174
2019-01-28 00:00:00+05:30,20.35,20.5,19.6,19.8,347033
2019-01-29 00:00:00+05:30,20.0,20.0,19.5,19.75,277487
2019-01-30 00:00:00+05:30,19.75,20.4,19.75,20.1,234453
2019-01-31 00:00:00+05:30,20.1,20.35,19.8,20.05,234868
2019-02-01 00:00:00+05:30,20.0,20.45,19.5,19.9,395141
2019-02-04 00:00:00+05:30,19.9,19.9,19.2,19.35,484219
2019-02-05 00:00:00+05:30,19.85,19.9,17.75,18.2,722692
2019-02-06 00:00:00+05:30,18.95,19.0,16.9,17.3,801681
2019-02-07 00:00:00+05:30,17.65,18.4,17.2,17.75,723528
2019-02-08 00:00:00+05:30,17.7,17.8,17.05,17.45,299665
2019-02-11 00:00:00+05:30,17.45,17.6,16.9,17.15,250360
2019-02-12 00:00:00+05:30,17.1,17.25,16.9,17.0,266687
2019-02-13 00:00:00+05:30,17.0,17.3,16.9,17.0,347893
2019-02-14 00:00:00+05:30,17.1,17.45,16.5,17.15,472240
2019-02-15 00:00:00+05:30,17.25,17.25,16.65,16.8,338457
