date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,476.2,487.9,476.1,484.75,472
2019-01-02 00:00:00+05:30,487.1,488.9,476.0,477.6,2226
2019-01-03 00:00:00+05:30,475.35,483.75,475.35,479.4,382
2019-01-04 00:00:00+05:30,480.95,484.95,475.1,478.65,839
2019-01-07 00:00:00+05:30,476.65,480.0,475.0,475.55,1532
2019-01-08 00:00:00+05:30,476.55,479.0,471.05,478.75,1472
2019-01-09 00:00:00+05:30,475.35,479.0,471.0,471.6,3683
2019-01-10 00:00:00+05:30,475.1,483.0,471.25,480.65,959
2019-01-11 00:00:00+05:30,480.55,480.55,475.6,478.95,1721
2019-01-14 00:00:00+05:30,471.7,495.0,470.0,489.05,3285
2019-01-15 00:00:00+05:30,496.9,506.0,489.95,491.9,4566
2019-01-16 00:00:00+05:30,494.1,504.0,484.05,493.35,6601
2019-01-17 00:00:00+05:30,495.0,510.0,485.1,491.7,8061
2019-01-18 00:00:00+05:30,495.0,495.65,485.15,487.2,3500
2019-01-21 00:00:00+05:30,487.0,487.35,470.0,471.05,2875
2019-01-22 00:00:00+05:30,475.0,477.95,450.0,451.3,8500
2019-01-23 00:00:00+05:30,455.05,472.75,450.15,465.55,2378
2019-01-24 00:00:00+05:30,479.7,479.7,463.5,467.05,1558
2019-01-25 00:00:00+05:30,477.0,479.0,460.0,462.3,3287
2019-01-28 00:00:00+05:30,460.05,465.25,455.0,458.75,2561
2019-01-29 00:00:00+05:30,460.2,469.5,452.0,458.8,1340
2019-01-30 00:00:00+05:30,458.9,465.0,451.0,453.0,2560
2019-01-31 00:00:00+05:30,458.85,468.0,453.1,462.45,2586
2019-02-01 00:00:00+05:30,467.2,469.95,456.1,463.25,1460
2019-02-04 00:00:00+05:30,462.9,467.05,451.05,458.1,678
2019-02-05 00:00:00+05:30,458.05,469.65,450.0,452.1,3579
2019-02-06 00:00:00+05:30,455.7,460.95,445.0,451.0,2140
2019-02-07 00:00:00+05:30,447.6,464.0,447.05,455.2,950
2019-02-08 00:00:00+05:30,457.95,468.0,450.0,457.25,1135
2019-02-11 00:00:00+05:30,453.1,460.05,445.0,445.8,1890
2019-02-12 00:00:00+05:30,445.8,449.8,430.0,435.8,2150
2019-02-13 00:00:00+05:30,439.55,444.55,430.0,432.65,3793
2019-02-14 00:00:00+05:30,434.0,444.95,430.0,433.15,2715
2019-02-15 00:00:00+05:30,437.7,438.75,430.0,433.8,2382
2019-02-18 00:00:00+05:30,438.45,438.45,430.0,432.75,3018
2019-02-19 00:00:00+05:30,439.15,446.0,433.95,438.5,881
2019-02-20 00:00:00+05:30,441.1,445.1,430.0,433.5,928
2019-02-21 00:00:00+05:30,436.95,440.0,428.05,430.65,1889
2019-02-22 00:00:00+05:30,436.3,436.95,427.45,432.25,1464
2019-02-25 00:00:00+05:30,442.95,444.55,435.0,439.95,812
2019-02-26 00:00:00+05:30,446.0,446.0,427.0,439.5,3696
2019-02-27 00:00:00+05:30,439.95,445.0,433.0,441.35,3599
2019-02-28 00:00:00+05:30,435.95,445.75,432.0,444.95,2371
2019-03-01 00:00:00+05:30,439.95,451.0,436.1,442.05,1928
2019-03-05 00:00:00+05:30,437.0,490.5,437.0,487.8,14270
2019-03-06 00:00:00+05:30,490.95,492.9,474.8,488.15,3881
2019-03-07 00:00:00+05:30,481.95,496.9,480.0,494.15,5584
2019-03-08 00:00:00+05:30,493.05,496.9,483.4,486.7,1271
2019-03-11 00:00:00+05:30,490.0,496.9,482.95,483.9,3341
2019-03-12 00:00:00+05:30,487.0,506.0,483.6,498.15,35419
2019-03-13 00:00:00+05:30,497.9,507.0,485.0,492.75,21343
2019-03-14 00:00:00+05:30,490.25,498.0,485.5,492.9,12290
2019-03-15 00:00:00+05:30,490.05,501.1,490.05,496.75,14343
2019-03-18 00:00:00+05:30,497.05,500.05,485.25,492.55,8620
2019-03-19 00:00:00+05:30,491.25,496.6,482.05,483.4,8666
2019-03-20 00:00:00+05:30,483.4,486.2,475.0,483.35,11799
2019-03-22 00:00:00+05:30,486.0,486.0,481.0,483.45,10741
2019-03-25 00:00:00+05:30,487.75,487.75,480.1,483.65,4883
2019-03-26 00:00:00+05:30,484.05,485.05,481.0,483.1,10041
2019-03-27 00:00:00+05:30,483.75,489.05,465.0,470.95,5544
2019-03-28 00:00:00+05:30,476.65,476.65,466.75,472.65,2515
2019-03-29 00:00:00+05:30,478.85,479.65,471.85,476.8,1998
2019-04-01 00:00:00+05:30,484.0,491.6,480.0,489.5,1659
2019-04-02 00:00:00+05:30,496.75,496.75,485.0,485.05,3038
2019-04-03 00:00:00+05:30,490.3,491.1,477.6,477.85,4655
2019-04-04 00:00:00+05:30,484.95,484.95,476.5,481.2,1555
2019-04-05 00:00:00+05:30,483.9,485.95,480.6,484.25,1024
2019-04-08 00:00:00+05:30,488.4,488.4,472.15,483.55,4925
2019-04-09 00:00:00+05:30,475.95,498.0,475.95,490.1,2042
2019-04-10 00:00:00+05:30,497.0,504.5,482.4,499.2,5174
2019-04-11 00:00:00+05:30,499.0,503.85,491.65,498.25,898
2019-04-12 00:00:00+05:30,492.1,502.45,492.1,499.0,1257
2019-04-15 00:00:00+05:30,504.95,504.95,496.55,500.2,589
2019-04-16 00:00:00+05:30,504.95,504.95,498.0,499.0,2401
2019-04-18 00:00:00+05:30,491.4,504.95,491.4,499.05,2793
2019-04-22 00:00:00+05:30,499.05,504.85,490.0,498.0,1514
2019-04-23 00:00:00+05:30,503.0,512.4,490.55,500.15,1615
2019-04-24 00:00:00+05:30,499.1,503.05,486.25,489.3,1323
2019-04-25 00:00:00+05:30,495.0,496.0,480.15,480.85,3255
2019-04-26 00:00:00+05:30,480.2,487.5,480.0,482.15,718
2019-04-30 00:00:00+05:30,482.05,488.55,477.0,485.2,1134
2019-05-02 00:00:00+05:30,482.35,487.5,475.0,477.1,1042
2019-05-03 00:00:00+05:30,475.15,482.8,470.0,470.9,2429
2019-05-06 00:00:00+05:30,469.75,477.9,466.0,468.25,706
2019-05-07 00:00:00+05:30,466.75,474.95,455.55,460.0,3661
2019-05-08 00:00:00+05:30,458.85,459.0,448.0,451.55,2279
2019-05-09 00:00:00+05:30,451.0,461.0,443.05,459.9,2785
2019-05-10 00:00:00+05:30,459.7,471.95,452.5,464.45,611
2019-05-13 00:00:00+05:30,456.0,487.45,456.0,459.0,1285
2019-05-14 00:00:00+05:30,458.85,465.0,456.0,463.95,775
2019-05-15 00:00:00+05:30,467.95,474.95,456.05,466.65,1713
2019-05-16 00:00:00+05:30,469.5,473.6,462.6,468.45,733
2019-05-17 00:00:00+05:30,469.0,475.5,466.05,472.05,805
2019-05-20 00:00:00+05:30,499.95,534.9,499.95,522.05,23193
2019-05-21 00:00:00+05:30,530.0,569.0,512.0,519.1,5351
2019-05-22 00:00:00+05:30,512.5,529.95,512.5,525.0,5788
2019-05-23 00:00:00+05:30,534.9,545.05,529.0,535.4,56365
2019-05-24 00:00:00+05:30,530.0,553.0,530.0,548.2,10794
2019-05-27 00:00:00+05:30,564.4,577.0,555.0,564.35,15782
2019-05-28 00:00:00+05:30,568.45,575.0,561.5,571.4,1695
2019-05-29 00:00:00+05:30,577.95,577.95,558.5,563.45,4900
2019-05-30 00:00:00+05:30,564.9,569.95,560.0,567.05,3411
2019-05-31 00:00:00+05:30,566.95,569.75,518.3,542.2,8668
2019-06-03 00:00:00+05:30,538.05,559.0,538.05,552.2,2613
2019-06-04 00:00:00+05:30,553.0,560.45,549.0,553.05,4605
2019-06-06 00:00:00+05:30,549.55,552.6,539.3,548.65,1423
