date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,60.75,61.9,60.0,61.45,6765
2019-01-02 00:00:00+05:30,61.85,62.5,61.15,61.8,3433
2019-01-03 00:00:00+05:30,61.55,62.3,59.0,59.85,14968
2019-01-04 00:00:00+05:30,60.15,60.15,57.5,58.0,37828
2019-01-07 00:00:00+05:30,59.0,60.4,57.4,57.8,22504
2019-01-08 00:00:00+05:30,58.5,61.4,56.55,60.35,18200
2019-01-09 00:00:00+05:30,60.5,60.8,58.0,60.0,34489
2019-01-10 00:00:00+05:30,59.55,60.5,59.0,60.05,23271
2019-01-11 00:00:00+05:30,60.3,60.5,59.35,59.95,13304
2019-01-14 00:00:00+05:30,59.95,60.0,57.3,57.85,10105
2019-01-15 00:00:00+05:30,57.6,59.85,57.1,57.55,26359
2019-01-16 00:00:00+05:30,58.85,58.9,57.25,58.0,7005
2019-01-17 00:00:00+05:30,58.2,58.85,57.5,57.8,10115
2019-01-18 00:00:00+05:30,57.25,58.0,56.0,56.45,8018
2019-01-21 00:00:00+05:30,56.05,56.5,54.6,55.55,26677
2019-01-22 00:00:00+05:30,55.25,56.25,54.05,55.7,6897
2019-01-23 00:00:00+05:30,54.6,56.45,54.6,55.05,66012
2019-01-24 00:00:00+05:30,54.55,56.4,53.0,53.6,62675
2019-01-25 00:00:00+05:30,53.0,54.35,49.75,50.05,133250
2019-01-28 00:00:00+05:30,49.8,49.85,46.8,48.65,93229
2019-01-29 00:00:00+05:30,48.55,52.5,48.0,50.65,85924
2019-01-30 00:00:00+05:30,50.05,52.55,49.65,51.45,142257
2019-01-31 00:00:00+05:30,51.1,52.75,50.75,51.1,64341
2019-02-01 00:00:00+05:30,53.45,53.45,49.5,49.6,107497
2019-02-04 00:00:00+05:30,50.0,50.2,46.9,47.25,41442
2019-02-05 00:00:00+05:30,48.25,48.25,46.4,47.3,67689
2019-02-06 00:00:00+05:30,47.15,48.0,46.2,46.45,39600
2019-02-07 00:00:00+05:30,47.45,49.95,46.2,49.3,146369
2019-02-08 00:00:00+05:30,49.05,49.8,47.6,48.1,29349
2019-02-11 00:00:00+05:30,49.2,49.2,44.3,45.45,111838
2019-02-12 00:00:00+05:30,45.45,49.9,45.15,48.3,81514
2019-02-13 00:00:00+05:30,48.0,48.75,45.65,46.05,55712
2019-02-14 00:00:00+05:30,46.05,46.35,44.85,45.35,24502
2019-02-15 00:00:00+05:30,45.0,46.4,43.75,44.55,54740
2019-02-18 00:00:00+05:30,44.5,46.05,42.3,43.85,99284
2019-02-19 00:00:00+05:30,44.9,52.6,44.9,49.05,148813
2019-02-20 00:00:00+05:30,48.35,51.3,48.0,50.5,88609
2019-02-21 00:00:00+05:30,50.05,51.2,49.9,50.0,68664
2019-02-22 00:00:00+05:30,51.3,53.95,50.1,52.05,45085
2019-02-25 00:00:00+05:30,53.4,56.8,52.0,55.05,54194
2019-02-26 00:00:00+05:30,54.65,55.95,53.85,55.1,45637
2019-02-27 00:00:00+05:30,55.0,55.8,54.2,54.9,25053
2019-02-28 00:00:00+05:30,55.05,55.75,55.0,55.05,14920
2019-03-01 00:00:00+05:30,54.15,57.65,54.15,57.1,36373
2019-03-05 00:00:00+05:30,56.35,57.45,55.55,56.3,48541
2019-03-06 00:00:00+05:30,56.2,58.25,56.1,56.7,33704
2019-03-07 00:00:00+05:30,56.5,57.4,55.0,55.1,48900
2019-03-08 00:00:00+05:30,55.0,56.75,55.0,56.2,22195
2019-03-11 00:00:00+05:30,57.0,58.9,56.9,57.15,50733
2019-03-12 00:00:00+05:30,57.65,59.25,57.55,58.8,58941
2019-03-13 00:00:00+05:30,60.1,60.6,58.6,60.1,91486
2019-03-14 00:00:00+05:30,60.65,62.0,60.1,60.2,24949
2019-03-15 00:00:00+05:30,60.15,61.15,59.95,60.1,40491
2019-03-18 00:00:00+05:30,60.95,60.95,59.75,60.25,15218
2019-03-19 00:00:00+05:30,60.75,61.0,59.6,60.15,20037
2019-03-20 00:00:00+05:30,60.7,61.05,58.3,59.65,24517
2019-03-22 00:00:00+05:30,59.45,61.0,58.1,60.45,192092
2019-03-25 00:00:00+05:30,59.95,60.25,55.5,56.4,69399
2019-03-26 00:00:00+05:30,57.65,59.5,52.45,54.6,228348
2019-03-27 00:00:00+05:30,55.25,55.9,53.05,53.25,55750
