date,open,high,low,close,volume
2020-07-30 00:00:00+05:30,55.0,57.75,55.0,57.75,1850
2020-07-31 00:00:00+05:30,60.6,60.6,60.6,60.6,232
2020-08-03 00:00:00+05:30,63.65,63.65,60.0,63.3,26682
2020-08-04 00:00:00+05:30,63.5,63.5,60.1,60.1,14806
2020-08-05 00:00:00+05:30,60.65,60.65,57.1,57.2,5362
2020-08-06 00:00:00+05:30,55.0,60.05,54.35,60.05,11118
2020-08-07 00:00:00+05:30,60.0,62.5,57.05,60.2,4452
2020-08-10 00:00:00+05:30,57.55,63.2,57.5,63.2,4770
2020-08-11 00:00:00+05:30,63.0,66.3,63.0,66.3,1240
2020-08-12 00:00:00+05:30,69.5,69.6,66.5,69.6,1562
2020-08-13 00:00:00+05:30,80.5,83.55,75.1,83.55,77396
2020-08-14 00:00:00+05:30,94.4,100.25,90.1,100.25,171852
2020-08-17 00:00:00+05:30,107.4,110.3,102.5,110.3,126370
2020-08-18 00:00:00+05:30,115.0,121.3,115.0,121.3,146382
2020-08-19 00:00:00+05:30,132.0,133.4,128.5,133.4,56366
2020-08-20 00:00:00+05:30,140.1,140.1,140.1,140.1,13920
2020-08-21 00:00:00+05:30,142.35,142.5,133.1,133.1,71682
2020-08-24 00:00:00+05:30,126.4,126.4,126.4,126.4,5332
2020-08-25 00:00:00+05:30,120.1,120.1,120.1,120.1,5540
2020-08-26 00:00:00+05:30,114.1,114.1,114.1,114.1,3526
2020-08-27 00:00:00+05:30,108.4,108.4,108.4,108.4,3526
2020-08-28 00:00:00+05:30,103.0,113.8,103.0,103.3,297214
2020-08-31 00:00:00+05:30,98.8,107.2,98.1,98.1,41750
2020-09-01 00:00:00+05:30,94.1,96.0,93.2,93.2,8238
2020-09-02 00:00:00+05:30,88.6,92.0,88.6,88.6,18474
2020-09-03 00:00:00+05:30,85.8,93.0,85.0,90.4,108230
2020-09-04 00:00:00+05:30,86.05,89.5,85.9,86.0,32308
2020-09-07 00:00:00+05:30,86.35,86.35,82.1,83.25,15812
2020-09-08 00:00:00+05:30,83.2,83.2,79.1,79.1,20140
2020-09-09 00:00:00+05:30,75.15,78.65,75.15,75.65,13018
2020-09-10 00:00:00+05:30,76.95,76.95,71.9,72.2,29836
2020-09-11 00:00:00+05:30,71.7,74.0,70.1,71.9,14320
2020-09-14 00:00:00+05:30,70.6,74.5,70.6,72.6,20898
2020-09-15 00:00:00+05:30,76.2,76.2,73.1,76.2,23236
2020-09-16 00:00:00+05:30,79.4,80.0,79.4,80.0,9148
2020-09-17 00:00:00+05:30,84.0,84.0,84.0,84.0,2146
2020-09-18 00:00:00+05:30,87.45,88.2,80.8,85.0,96526
2020-09-21 00:00:00+05:30,84.2,84.2,80.8,80.8,13408
2020-09-22 00:00:00+05:30,76.75,76.75,76.75,76.75,3088
2020-09-23 00:00:00+05:30,73.5,75.5,72.9,72.9,10890
2020-09-24 00:00:00+05:30,69.3,69.3,69.3,69.3,1354
2020-09-25 00:00:00+05:30,67.05,71.85,65.85,69.8,23216
2020-09-28 00:00:00+05:30,69.8,72.95,66.8,72.3,18026
2020-09-29 00:00:00+05:30,72.3,73.45,69.0,69.9,6734
2020-09-30 00:00:00+05:30,67.5,70.9,66.45,66.85,9346
2020-10-01 00:00:00+05:30,66.85,70.0,63.55,64.8,14912
2020-10-05 00:00:00+05:30,67.5,67.5,65.1,65.9,7484
2020-10-06 00:00:00+05:30,66.55,67.5,64.2,66.5,12430
2020-10-07 00:00:00+05:30,67.0,67.0,64.5,64.9,4902
2020-10-08 00:00:00+05:30,62.5,66.0,62.5,63.7,9162
2020-10-09 00:00:00+05:30,65.55,65.8,62.5,63.35,9726
2020-10-12 00:00:00+05:30,66.0,67.4,62.5,62.9,10512
2020-10-13 00:00:00+05:30,61.0,66.5,60.0,63.65,7206
2020-10-14 00:00:00+05:30,65.6,65.6,61.0,63.2,6616
2020-10-15 00:00:00+05:30,61.7,64.9,61.0,62.45,5804
2020-10-16 00:00:00+05:30,62.5,64.7,61.0,62.4,2488
2020-10-19 00:00:00+05:30,64.2,64.2,60.3,61.65,2392
2020-10-20 00:00:00+05:30,61.5,63.0,60.55,61.5,4536
2020-10-21 00:00:00+05:30,63.3,64.0,60.5,62.7,5284
2020-10-22 00:00:00+05:30,61.0,63.0,61.0,62.7,2874
2020-10-23 00:00:00+05:30,62.0,69.0,61.6,69.0,24380
2020-10-26 00:00:00+05:30,70.0,75.85,70.0,75.85,53484
2020-10-27 00:00:00+05:30,79.45,83.4,72.7,83.4,149844
2020-10-28 00:00:00+05:30,85.5,87.6,79.3,81.6,224184
2020-10-29 00:00:00+05:30,82.0,82.0,77.55,77.55,12962
2020-10-30 00:00:00+05:30,78.4,78.4,73.7,73.7,24062
2020-11-02 00:00:00+05:30,76.3,76.3,70.0,70.0,21668
2020-11-03 00:00:00+05:30,70.0,70.0,66.6,67.2,16150
2020-11-04 00:00:00+05:30,64.8,69.7,64.8,67.2,24068
2020-11-05 00:00:00+05:30,67.25,70.45,67.25,68.15,13064
2020-11-06 00:00:00+05:30,68.15,71.55,68.15,70.9,34774
2020-11-09 00:00:00+05:30,71.5,73.2,70.6,72.5,13652
2020-11-10 00:00:00+05:30,73.0,74.6,70.1,72.2,13484
2020-11-11 00:00:00+05:30,71.5,73.2,70.1,70.9,4566
2020-11-12 00:00:00+05:30,69.25,74.4,68.7,71.9,9642
2020-11-13 00:00:00+05:30,71.5,75.45,71.5,75.45,24772
2020-11-14 00:00:00+05:30,77.2,79.2,77.2,79.2,17800
2020-11-17 00:00:00+05:30,83.15,83.15,83.15,83.15,7918
2020-11-18 00:00:00+05:30,83.9,87.3,79.5,80.6,45590
2020-11-19 00:00:00+05:30,80.0,81.9,78.0,78.5,10526
2020-11-20 00:00:00+05:30,80.0,81.45,75.8,78.0,11430
2020-11-23 00:00:00+05:30,79.5,81.85,76.0,81.8,43092
2020-11-24 00:00:00+05:30,84.5,84.5,78.0,79.25,33936
2020-11-25 00:00:00+05:30,79.0,82.0,77.0,80.0,15702
2020-11-26 00:00:00+05:30,80.0,81.0,78.5,80.3,9686
2020-11-27 00:00:00+05:30,81.95,83.25,79.25,81.1,14014
2020-12-01 00:00:00+05:30,85.15,85.15,83.0,85.15,35904
2020-12-02 00:00:00+05:30,86.05,88.45,81.6,84.4,25168
2020-12-03 00:00:00+05:30,83.1,85.0,81.5,83.05,26616
2020-12-04 00:00:00+05:30,83.05,84.8,82.5,83.7,15546
2020-12-07 00:00:00+05:30,82.3,89.5,82.0,85.9,23586
2020-12-08 00:00:00+05:30,88.0,93.4,85.25,91.15,33708
2020-12-09 00:00:00+05:30,93.5,95.0,90.0,92.6,21116
2020-12-10 00:00:00+05:30,96.5,101.9,89.0,101.85,122396
2020-12-11 00:00:00+05:30,101.85,106.95,99.5,100.95,72774
2020-12-14 00:00:00+05:30,103.9,103.9,99.15,100.95,32030
2020-12-15 00:00:00+05:30,101.0,102.4,95.75,99.3,25766
2020-12-16 00:00:00+05:30,99.0,101.5,97.8,99.15,11162
2020-12-17 00:00:00+05:30,99.8,101.25,98.55,100.3,12942
2020-12-18 00:00:00+05:30,101.0,101.0,97.65,99.3,9430
2020-12-21 00:00:00+05:30,99.3,101.7,92.25,93.25,27966
2020-12-22 00:00:00+05:30,90.5,95.95,90.5,93.6,12848
2020-12-23 00:00:00+05:30,95.8,103.0,94.05,103.0,63632
2020-12-24 00:00:00+05:30,104.5,106.3,99.0,100.1,25950
2020-12-28 00:00:00+05:30,103.5,110.1,100.1,110.1,44134
2020-12-29 00:00:00+05:30,112.4,118.1,109.8,110.35,57544
2020-12-30 00:00:00+05:30,110.5,110.5,105.5,107.9,14850
2020-12-31 00:00:00+05:30,109.4,117.5,106.1,116.1,52258
2021-01-01 00:00:00+05:30,114.0,127.7,114.0,127.7,86396
2021-01-04 00:00:00+05:30,130.95,131.0,125.0,127.8,47100
2021-01-05 00:00:00+05:30,124.95,128.45,121.45,122.3,39472
2021-01-06 00:00:00+05:30,122.5,125.0,116.25,117.4,21016
2021-01-07 00:00:00+05:30,119.75,120.0,114.05,118.5,18542
2021-01-08 00:00:00+05:30,116.0,121.5,116.0,118.3,16508
2021-01-11 00:00:00+05:30,115.75,124.2,115.75,124.2,22832
2021-01-12 00:00:00+05:30,125.0,130.4,124.4,130.4,37540
2021-01-13 00:00:00+05:30,133.5,133.5,124.7,128.2,21324
2021-01-14 00:00:00+05:30,128.2,128.2,122.65,124.3,16026
2021-01-15 00:00:00+05:30,123.3,128.5,121.75,124.6,8420
2021-01-18 00:00:00+05:30,125.1,125.1,118.4,121.5,13666
2021-01-19 00:00:00+05:30,122.3,125.95,120.0,120.5,5718
2021-01-20 00:00:00+05:30,120.5,124.3,119.2,121.75,4914
2021-01-21 00:00:00+05:30,123.0,124.0,115.7,115.8,20360
2021-01-22 00:00:00+05:30,118.0,118.1,110.05,110.05,15534
2021-01-25 00:00:00+05:30,115.5,115.5,104.55,105.2,16856
2021-01-27 00:00:00+05:30,102.0,107.3,100.0,100.7,12354
2021-01-28 00:00:00+05:30,97.5,103.65,97.5,99.8,10584
2021-01-29 00:00:00+05:30,97.5,104.8,97.5,104.25,6650
2021-02-01 00:00:00+05:30,103.3,108.8,101.5,108.3,8356
2021-02-02 00:00:00+05:30,110.1,110.1,105.85,108.75,7362
2021-02-03 00:00:00+05:30,112.0,112.1,106.5,110.0,5528
