date,open,high,low,close,volume
2019-02-21 00:00:00+05:30,25.65,25.7,25.55,25.65,91992
2019-02-22 00:00:00+05:30,25.65,25.75,25.65,25.65,153557
2019-02-25 00:00:00+05:30,25.65,25.8,25.5,25.65,154980
2019-02-26 00:00:00+05:30,25.6,25.65,25.6,25.65,94958
2019-02-27 00:00:00+05:30,25.65,25.8,25.65,25.65,32992
2019-02-28 00:00:00+05:30,25.65,26.15,25.65,26.05,182941
2019-03-01 00:00:00+05:30,26.15,26.15,25.9,26.05,40670
2019-03-05 00:00:00+05:30,25.65,26.45,25.65,26.15,199438
2019-03-06 00:00:00+05:30,26.05,26.4,26.05,26.4,127271
2019-03-07 00:00:00+05:30,26.5,26.5,26.25,26.4,307965
2019-03-08 00:00:00+05:30,26.3,26.95,26.3,26.55,259893
2019-03-11 00:00:00+05:30,26.6,26.75,26.6,26.75,177444
2019-03-12 00:00:00+05:30,26.55,26.75,26.55,26.65,181452
2019-03-13 00:00:00+05:30,26.6,26.7,26.6,26.65,145185
2019-03-14 00:00:00+05:30,26.65,26.7,26.65,26.65,130098
2019-03-15 00:00:00+05:30,26.65,26.7,26.65,26.65,653236
2019-03-18 00:00:00+05:30,26.65,26.75,26.65,26.7,250444
2019-03-19 00:00:00+05:30,26.7,26.75,26.7,26.7,168176
2019-03-20 00:00:00+05:30,26.7,26.75,26.7,26.7,86921
2019-03-22 00:00:00+05:30,26.7,26.75,26.7,26.7,180307
2019-03-25 00:00:00+05:30,26.75,26.8,26.7,26.7,260157
2019-03-26 00:00:00+05:30,26.7,26.75,26.7,26.75,47363
2019-03-27 00:00:00+05:30,26.7,26.75,26.1,26.75,41846
2019-03-28 00:00:00+05:30,26.1,26.75,26.1,26.1,2455
2019-03-29 00:00:00+05:30,25.0,25.0,24.8,24.8,5152
2019-04-01 00:00:00+05:30,24.8,24.8,23.6,23.6,13211
2019-04-02 00:00:00+05:30,23.0,23.0,22.45,22.45,17515
2019-04-03 00:00:00+05:30,21.35,22.7,21.35,21.35,5694
2019-04-04 00:00:00+05:30,21.0,21.0,20.3,20.3,16964
2019-04-05 00:00:00+05:30,19.4,21.3,19.3,19.4,54191
2019-04-08 00:00:00+05:30,18.6,19.25,18.45,18.45,35263
2019-04-09 00:00:00+05:30,18.45,18.45,17.55,17.55,50508
2019-04-10 00:00:00+05:30,18.4,18.4,16.7,16.8,73732
2019-04-11 00:00:00+05:30,16.4,17.6,16.05,17.6,29960
2019-04-12 00:00:00+05:30,18.4,18.45,18.4,18.45,27364
2019-04-15 00:00:00+05:30,19.35,19.35,19.35,19.35,19476
2019-04-16 00:00:00+05:30,20.3,20.3,19.05,20.0,24889
2019-04-18 00:00:00+05:30,20.1,20.75,19.4,19.5,7569
2019-04-22 00:00:00+05:30,18.65,19.5,18.65,18.75,2993
2019-04-23 00:00:00+05:30,18.75,19.65,18.75,19.65,525
2019-04-24 00:00:00+05:30,18.85,19.25,18.7,18.7,4411
2019-04-25 00:00:00+05:30,18.4,18.5,17.8,17.9,3804
2019-04-26 00:00:00+05:30,18.7,18.7,17.9,18.0,730
2019-04-30 00:00:00+05:30,17.5,17.7,17.1,17.7,8420
2019-05-02 00:00:00+05:30,17.7,17.9,17.1,17.25,2172
2019-05-03 00:00:00+05:30,17.1,17.2,16.4,16.7,22008
2019-05-06 00:00:00+05:30,16.0,16.85,16.0,16.15,1325
2019-05-07 00:00:00+05:30,16.9,16.95,16.5,16.5,2228
2019-05-08 00:00:00+05:30,17.15,17.15,16.1,16.9,931
2019-05-09 00:00:00+05:30,16.4,16.4,16.15,16.25,240
2019-05-10 00:00:00+05:30,16.95,16.95,16.25,16.8,885
2019-05-13 00:00:00+05:30,16.0,16.65,16.0,16.05,2681
2019-05-14 00:00:00+05:30,16.0,16.0,15.35,15.55,8073
2019-05-15 00:00:00+05:30,15.55,16.25,15.55,16.05,3155
2019-05-16 00:00:00+05:30,16.05,16.5,16.05,16.5,510
2019-05-17 00:00:00+05:30,15.85,17.2,15.85,16.05,2244
2019-05-20 00:00:00+05:30,15.5,16.2,15.25,15.75,11199
2019-05-21 00:00:00+05:30,15.75,15.9,15.05,15.45,2995
2019-05-22 00:00:00+05:30,14.8,15.75,14.7,15.0,2556
2019-05-23 00:00:00+05:30,15.0,15.75,14.35,14.75,5416
2019-05-24 00:00:00+05:30,14.25,15.45,14.25,15.35,5982
2019-05-27 00:00:00+05:30,14.8,16.1,14.8,15.2,5985
2019-05-28 00:00:00+05:30,15.0,15.85,14.6,15.05,9314
2019-05-29 00:00:00+05:30,14.7,15.6,14.7,15.5,2992
2019-05-30 00:00:00+05:30,15.85,15.85,15.25,15.25,159
2019-05-31 00:00:00+05:30,14.8,15.8,14.8,15.55,1438
2019-06-03 00:00:00+05:30,14.85,15.85,14.85,15.5,1018
2019-06-04 00:00:00+05:30,15.5,16.0,15.5,15.9,8511
