date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,26.1,26.1,25.9,25.95,1377350
2019-01-02 00:00:00+05:30,25.9,26.0,25.55,25.65,2384454
2019-01-03 00:00:00+05:30,25.75,25.9,25.5,25.55,1754899
2019-01-04 00:00:00+05:30,25.5,25.7,25.3,25.55,2463177
2019-01-07 00:00:00+05:30,25.55,26.0,25.55,25.95,2658007
2019-01-08 00:00:00+05:30,26.1,26.1,25.85,26.0,4473109
2019-01-09 00:00:00+05:30,26.0,26.3,25.85,25.95,5760250
2019-01-10 00:00:00+05:30,25.95,26.0,25.35,25.55,2782061
2019-01-11 00:00:00+05:30,25.5,25.6,25.3,25.5,1127738
2019-01-14 00:00:00+05:30,25.5,25.6,25.3,25.4,2220326
2019-01-15 00:00:00+05:30,25.4,25.8,25.35,25.55,888055
2019-01-16 00:00:00+05:30,25.7,26.15,25.45,25.85,3668208
2019-01-17 00:00:00+05:30,25.7,26.1,25.3,25.55,1356978
2019-01-18 00:00:00+05:30,25.5,25.7,25.1,25.15,1081187
2019-01-21 00:00:00+05:30,25.2,25.4,25.1,25.25,3803578
2019-01-22 00:00:00+05:30,25.3,25.6,25.25,25.4,4473732
2019-01-23 00:00:00+05:30,25.4,25.5,25.05,25.25,4516414
2019-01-24 00:00:00+05:30,25.25,25.4,25.2,25.3,1370740
2019-01-25 00:00:00+05:30,25.4,25.4,24.9,25.0,2218123
2019-01-28 00:00:00+05:30,25.0,25.1,24.5,24.55,1752146
2019-01-29 00:00:00+05:30,24.45,24.8,24.15,24.45,2252406
2019-01-30 00:00:00+05:30,24.65,24.7,24.05,24.5,2325256
2019-01-31 00:00:00+05:30,24.5,25.3,24.25,25.0,4748530
2019-02-01 00:00:00+05:30,25.1,25.5,24.75,25.4,4206762
2019-02-04 00:00:00+05:30,25.35,25.45,24.9,25.2,2799812
2019-02-05 00:00:00+05:30,25.2,25.5,23.15,23.8,5825861
2019-02-06 00:00:00+05:30,23.95,25.2,23.65,24.2,3884160
2019-02-07 00:00:00+05:30,24.4,24.7,24.05,24.15,2185973
2019-02-08 00:00:00+05:30,24.15,24.3,23.05,23.55,9227984
2019-02-11 00:00:00+05:30,23.0,23.95,22.5,23.45,7533194
2019-02-12 00:00:00+05:30,23.4,24.15,23.35,23.6,20483863
2019-02-13 00:00:00+05:30,23.6,25.15,23.6,24.0,15647247
2019-02-14 00:00:00+05:30,23.8,24.35,23.25,23.55,20133903
2019-02-15 00:00:00+05:30,23.65,24.0,23.5,23.8,4656420
2019-02-18 00:00:00+05:30,23.4,23.55,23.25,23.4,5353910
2019-02-19 00:00:00+05:30,23.4,23.75,23.4,23.4,1564765
2019-02-20 00:00:00+05:30,23.55,23.8,23.4,23.6,2102686
2019-02-21 00:00:00+05:30,23.75,24.0,23.45,23.75,7958101
2019-02-22 00:00:00+05:30,23.7,23.75,23.5,23.55,7671771
2019-02-25 00:00:00+05:30,23.55,23.7,23.05,23.35,20725372
2019-02-26 00:00:00+05:30,23.2,23.45,23.2,23.3,12590507
2019-02-27 00:00:00+05:30,23.45,23.5,22.75,22.9,12403567
2019-02-28 00:00:00+05:30,23.0,24.1,22.65,22.95,45287892
2019-03-01 00:00:00+05:30,23.0,23.25,22.95,23.1,5686625
2019-03-05 00:00:00+05:30,23.2,23.75,23.15,23.6,4902854
2019-03-06 00:00:00+05:30,23.65,24.1,23.6,23.9,3924459
2019-03-07 00:00:00+05:30,24.0,25.9,23.9,24.8,32646071
2019-03-08 00:00:00+05:30,25.0,25.45,24.85,25.15,18459635
2019-03-11 00:00:00+05:30,25.15,25.45,24.75,25.35,10768252
2019-03-12 00:00:00+05:30,25.5,25.7,24.9,24.95,8614786
2019-03-13 00:00:00+05:30,25.0,25.1,24.7,24.85,2597419
2019-03-14 00:00:00+05:30,24.95,25.15,24.5,24.75,2987492
2019-03-15 00:00:00+05:30,25.05,25.3,24.8,25.15,9759475
2019-03-18 00:00:00+05:30,25.4,25.5,25.15,25.4,3700456
2019-03-19 00:00:00+05:30,25.2,25.65,25.2,25.4,2801443
2019-03-20 00:00:00+05:30,25.3,25.4,24.9,25.0,12079506
2019-03-22 00:00:00+05:30,24.95,25.05,24.45,24.6,8841677
2019-03-25 00:00:00+05:30,24.5,24.85,24.35,24.4,5306810
2019-03-26 00:00:00+05:30,24.45,25.1,24.45,24.8,2843245
2019-03-27 00:00:00+05:30,24.8,25.0,24.6,24.65,3513982
2019-03-28 00:00:00+05:30,24.6,24.85,24.55,24.6,4853031
2019-03-29 00:00:00+05:30,24.6,24.9,24.6,24.7,7301685
2019-04-01 00:00:00+05:30,24.7,25.25,24.7,25.05,6211447
2019-04-02 00:00:00+05:30,25.2,25.6,25.1,25.5,10275199
2019-04-03 00:00:00+05:30,25.6,25.65,24.4,24.6,4643382
2019-04-04 00:00:00+05:30,24.6,24.7,24.3,24.5,2648447
2019-04-05 00:00:00+05:30,24.55,24.55,24.15,24.3,2197846
2019-04-08 00:00:00+05:30,24.3,24.5,24.25,24.4,1725881
2019-04-09 00:00:00+05:30,24.4,24.5,24.15,24.2,2080397
2019-04-10 00:00:00+05:30,24.2,24.3,24.05,24.15,2931145
2019-04-11 00:00:00+05:30,24.15,24.2,23.95,24.0,2139636
2019-04-12 00:00:00+05:30,23.95,24.2,23.9,24.0,2117671
2019-04-15 00:00:00+05:30,24.2,24.25,24.0,24.1,3409116
2019-04-16 00:00:00+05:30,24.2,24.3,23.95,24.0,1640662
2019-04-18 00:00:00+05:30,24.05,24.1,23.55,23.65,3781720
2019-04-22 00:00:00+05:30,23.7,23.95,23.45,23.5,1830801
2019-04-23 00:00:00+05:30,23.5,23.55,23.1,23.3,1556349
2019-04-24 00:00:00+05:30,23.3,23.55,23.2,23.35,3175411
2019-04-25 00:00:00+05:30,23.35,23.55,23.0,23.1,3341515
2019-04-26 00:00:00+05:30,23.1,23.6,23.1,23.5,3915852
2019-04-30 00:00:00+05:30,23.5,23.55,23.05,23.35,5274785
2019-05-02 00:00:00+05:30,23.3,23.4,23.0,23.1,1552608
2019-05-03 00:00:00+05:30,23.1,23.75,23.05,23.55,4250745
2019-05-06 00:00:00+05:30,23.45,23.45,23.1,23.25,1196653
2019-05-07 00:00:00+05:30,23.25,23.45,23.0,23.25,3697225
2019-05-08 00:00:00+05:30,23.25,23.25,22.75,22.9,1216062
2019-05-09 00:00:00+05:30,22.85,23.05,22.55,22.65,2113964
2019-05-10 00:00:00+05:30,22.65,23.0,22.35,22.45,2105521
2019-05-13 00:00:00+05:30,22.3,22.45,22.0,22.1,1987801
2019-05-14 00:00:00+05:30,22.1,22.25,21.8,22.1,1669681
2019-05-15 00:00:00+05:30,22.1,22.45,22.05,22.3,2259780
2019-05-16 00:00:00+05:30,22.4,22.4,21.7,21.75,2298933
2019-05-17 00:00:00+05:30,21.9,22.3,21.65,22.15,3336186
2019-05-20 00:00:00+05:30,22.35,23.3,22.35,23.15,2618439
