date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,111.24,111.78,110.43,111.59,17472
2019-01-02 00:00:00+05:30,111.44,111.49,109.85,110.63,15344
2019-01-03 00:00:00+05:30,109.0,110.85,109.0,109.52,18719
2019-01-04 00:00:00+05:30,109.96,110.2,109.0,109.79,37292
2019-01-07 00:00:00+05:30,111.0,111.34,109.9,110.41,25631
2019-01-08 00:00:00+05:30,110.41,111.03,110.0,110.81,17883
2019-01-09 00:00:00+05:30,111.1,111.4,110.0,111.11,53612
2019-01-10 00:00:00+05:30,111.05,111.49,110.71,111.13,65633
2019-01-11 00:00:00+05:30,110.96,111.5,110.17,110.57,16660
2019-01-14 00:00:00+05:30,110.04,110.44,109.7,110.16,19561
2019-01-15 00:00:00+05:30,110.27,111.75,110.27,111.52,32883
2019-01-16 00:00:00+05:30,111.96,112.12,111.5,111.74,39333
2019-01-17 00:00:00+05:30,111.74,112.05,110.72,111.43,41512
2019-01-18 00:00:00+05:30,111.69,111.93,111.05,111.49,19731
2019-01-21 00:00:00+05:30,111.48,112.7,111.18,112.3,192799
2019-01-22 00:00:00+05:30,112.18,112.18,111.53,111.81,45406
2019-01-23 00:00:00+05:30,111.8,112.15,110.58,111.05,275615
2019-01-24 00:00:00+05:30,111.0,111.29,110.6,111.12,48378
2019-01-25 00:00:00+05:30,111.54,111.91,110.09,110.56,262197
2019-01-28 00:00:00+05:30,110.18,110.61,109.12,109.62,145842
2019-01-29 00:00:00+05:30,109.53,109.55,108.51,109.24,57952
2019-01-30 00:00:00+05:30,108.25,109.5,108.25,109.13,44597
2019-01-31 00:00:00+05:30,109.79,110.99,109.25,110.78,19063
2019-02-01 00:00:00+05:30,111.25,112.6,110.99,111.26,52680
2019-02-04 00:00:00+05:30,111.3,112.0,110.8,111.83,17362
2019-02-05 00:00:00+05:30,111.74,112.22,111.01,111.8,30165
2019-02-06 00:00:00+05:30,112.48,113.2,112.2,113.12,31672
2019-02-07 00:00:00+05:30,113.2,113.7,112.96,113.23,12962
2019-02-08 00:00:00+05:30,113.0,113.03,111.75,111.95,108438
2019-02-11 00:00:00+05:30,114.2,116.4,111.05,111.56,36155
2019-02-12 00:00:00+05:30,111.46,112.0,111.2,111.56,22780
2019-02-13 00:00:00+05:30,111.75,111.88,110.7,110.87,63992
2019-02-14 00:00:00+05:30,110.99,110.99,110.0,110.19,49611
2019-02-15 00:00:00+05:30,110.2,110.3,109.16,110.15,74138
2019-02-18 00:00:00+05:30,110.39,110.39,109.0,109.19,32823
2019-02-19 00:00:00+05:30,109.37,110.0,108.51,108.91,48590
2019-02-20 00:00:00+05:30,109.51,110.61,109.3,110.28,29481
2019-02-21 00:00:00+05:30,110.0,110.92,109.77,110.82,23262
2019-02-22 00:00:00+05:30,111.0,111.0,110.0,110.89,41268
2019-02-25 00:00:00+05:30,111.5,115.3,110.57,111.71,29486
2019-02-26 00:00:00+05:30,110.55,111.58,110.1,110.78,88200
2019-02-27 00:00:00+05:30,111.5,112.0,110.3,110.53,59297
2019-02-28 00:00:00+05:30,111.0,111.2,110.5,110.65,27742
