date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,95.0,96.0,94.0,95.4,49971
2019-01-02 00:00:00+05:30,95.0,95.3,92.4,93.45,21716
2019-01-03 00:00:00+05:30,93.6,95.3,91.4,91.6,19995
2019-01-04 00:00:00+05:30,91.85,92.75,90.1,90.45,24061
2019-01-07 00:00:00+05:30,92.4,92.6,91.1,91.75,17123
2019-01-08 00:00:00+05:30,91.3,92.5,90.0,90.95,28369
2019-01-09 00:00:00+05:30,92.8,93.8,89.8,90.65,82798
2019-01-10 00:00:00+05:30,90.65,91.7,88.0,88.25,23729
2019-01-11 00:00:00+05:30,88.6,89.4,86.1,86.9,32398
2019-01-14 00:00:00+05:30,87.2,87.85,86.25,86.7,16190
2019-01-15 00:00:00+05:30,86.0,88.2,86.0,86.65,11232
2019-01-16 00:00:00+05:30,87.75,88.75,86.15,88.3,11256
2019-01-17 00:00:00+05:30,87.25,97.2,87.25,92.4,249195
2019-01-18 00:00:00+05:30,94.3,97.25,89.55,92.35,730408
2019-01-21 00:00:00+05:30,92.5,92.7,89.95,91.05,35057
2019-01-22 00:00:00+05:30,92.4,92.85,91.0,91.6,34507
2019-01-23 00:00:00+05:30,91.25,92.0,87.0,88.15,60903
2019-01-24 00:00:00+05:30,89.5,89.5,86.5,86.8,46560
2019-01-25 00:00:00+05:30,86.0,87.95,85.0,86.45,44263
2019-01-28 00:00:00+05:30,87.0,94.75,82.7,85.45,46727
2019-01-29 00:00:00+05:30,84.65,86.4,83.75,84.25,15728
2019-01-30 00:00:00+05:30,84.3,85.0,82.2,83.05,13795
2019-01-31 00:00:00+05:30,84.2,84.35,81.9,83.2,46497
2019-02-01 00:00:00+05:30,83.3,87.6,82.65,83.85,33828
2019-02-04 00:00:00+05:30,82.8,94.9,80.15,87.6,111046
2019-02-05 00:00:00+05:30,89.6,89.65,86.2,86.65,43477
2019-02-06 00:00:00+05:30,87.95,88.05,83.65,86.7,48261
2019-02-07 00:00:00+05:30,86.35,88.0,84.05,87.0,30761
2019-02-08 00:00:00+05:30,86.0,87.0,82.2,83.7,33606
