date,open,high,low,close,volume
2019-03-06 00:00:00+05:30,37.6,37.6,37.6,37.6,1200
2019-03-08 00:00:00+05:30,37.85,37.85,37.85,37.85,1200
2019-03-13 00:00:00+05:30,36.8,36.8,36.8,36.8,1200
2019-03-14 00:00:00+05:30,36.85,36.85,36.85,36.85,1200
2019-03-25 00:00:00+05:30,36.8,36.8,36.8,36.8,1200
2019-04-01 00:00:00+05:30,35.9,37.7,29.5,36.8,8400
2019-04-02 00:00:00+05:30,36.9,36.9,35.9,36.0,7200
2019-04-03 00:00:00+05:30,40.0,40.0,35.9,36.9,4800
2019-04-08 00:00:00+05:30,36.0,40.0,34.4,36.15,13200
2019-04-09 00:00:00+05:30,35.2,35.7,34.4,35.2,10800
2019-04-10 00:00:00+05:30,33.6,33.6,32.0,33.6,8400
2019-04-15 00:00:00+05:30,32.8,32.8,28.0,32.4,20400
2019-04-16 00:00:00+05:30,32.0,32.1,30.4,31.2,14400
2019-04-18 00:00:00+05:30,31.3,31.3,28.0,30.8,15600
2019-04-22 00:00:00+05:30,31.3,31.3,29.6,29.6,14400
2019-04-24 00:00:00+05:30,31.6,31.6,31.2,31.2,2400
2019-04-25 00:00:00+05:30,31.2,31.2,31.2,31.2,1200
2019-04-26 00:00:00+05:30,30.4,30.4,30.4,30.4,1200
2019-04-30 00:00:00+05:30,32.3,32.3,32.3,32.3,1200
2019-05-06 00:00:00+05:30,32.0,32.0,32.0,32.0,1200
2019-05-07 00:00:00+05:30,33.5,33.5,33.5,33.5,1200
2019-05-10 00:00:00+05:30,32.8,35.2,32.8,34.4,4800
2019-05-13 00:00:00+05:30,35.1,39.5,35.1,39.35,15600
2019-05-14 00:00:00+05:30,41.2,41.6,41.1,41.1,30000
2019-05-15 00:00:00+05:30,43.05,43.05,39.9,40.95,18000
2019-05-16 00:00:00+05:30,42.25,42.25,42.25,42.25,1200
2019-05-17 00:00:00+05:30,41.7,41.7,41.7,41.7,3600
2019-05-21 00:00:00+05:30,40.8,40.8,40.8,40.8,1200
2019-05-27 00:00:00+05:30,42.8,43.1,42.8,43.1,2400
2019-05-28 00:00:00+05:30,43.9,48.8,43.5,48.35,13200
2019-05-29 00:00:00+05:30,51.1,55.0,50.4,55.0,15600
2019-05-30 00:00:00+05:30,59.5,59.5,56.0,56.8,22800
2019-05-31 00:00:00+05:30,56.8,56.9,55.2,56.4,8400
2019-06-03 00:00:00+05:30,56.0,57.45,55.4,55.4,8400
2019-06-04 00:00:00+05:30,56.8,56.8,56.8,56.8,1200
2019-06-06 00:00:00+05:30,56.4,57.35,56.4,57.35,2400
2019-06-07 00:00:00+05:30,57.6,61.6,57.6,61.6,15600
2019-06-10 00:00:00+05:30,64.3,66.95,64.3,66.9,22800
2019-06-11 00:00:00+05:30,64.05,68.4,64.05,68.4,3600
2019-06-12 00:00:00+05:30,69.2,69.2,69.2,69.2,1200
2019-06-13 00:00:00+05:30,71.1,71.1,66.4,66.8,14400
2019-06-17 00:00:00+05:30,68.8,68.8,68.0,68.7,4800
2019-06-18 00:00:00+05:30,67.2,67.2,65.6,65.75,3600
2019-06-19 00:00:00+05:30,65.6,66.15,64.3,66.15,6000
2019-06-20 00:00:00+05:30,64.8,64.8,64.8,64.8,1200
2019-06-21 00:00:00+05:30,68.8,69.2,68.8,69.2,2400
2019-06-24 00:00:00+05:30,70.75,74.3,68.1,70.0,10800
2019-06-25 00:00:00+05:30,67.2,67.2,65.6,65.6,4800
2019-06-26 00:00:00+05:30,67.2,67.2,66.4,66.8,3600
2019-06-27 00:00:00+05:30,64.85,68.75,64.85,68.75,3600
2019-06-28 00:00:00+05:30,65.25,67.9,65.2,65.2,3600
2019-07-01 00:00:00+05:30,69.95,69.95,66.85,69.55,6000
2019-07-02 00:00:00+05:30,64.0,68.0,64.0,67.9,3600
2019-07-03 00:00:00+05:30,71.55,71.55,69.6,69.6,2400
2019-07-04 00:00:00+05:30,71.6,75.15,71.6,72.0,12000
2019-07-05 00:00:00+05:30,75.9,75.9,72.8,73.85,10800
2019-07-08 00:00:00+05:30,72.8,73.5,70.4,71.95,7200
2019-07-09 00:00:00+05:30,75.6,75.6,72.0,72.0,6000
2019-07-10 00:00:00+05:30,72.0,72.0,72.0,72.0,1200
2019-07-11 00:00:00+05:30,72.0,72.0,72.0,72.0,1200
2019-07-15 00:00:00+05:30,72.8,72.8,72.8,72.8,2400
2019-07-16 00:00:00+05:30,77.55,78.4,74.5,77.55,22800
2019-07-17 00:00:00+05:30,80.7,80.7,77.6,79.2,9600
2019-07-18 00:00:00+05:30,77.6,79.1,77.6,78.4,3600
2019-07-19 00:00:00+05:30,79.2,79.2,77.7,77.7,2400
2019-07-23 00:00:00+05:30,76.1,76.1,74.4,74.4,10800
2019-07-24 00:00:00+05:30,76.0,76.0,74.4,74.4,3600
2019-07-25 00:00:00+05:30,75.2,75.2,75.2,75.2,1200
2019-07-26 00:00:00+05:30,78.0,78.0,76.0,76.0,6000
2019-07-29 00:00:00+05:30,76.0,77.55,76.0,77.55,4800
2019-07-30 00:00:00+05:30,78.3,81.0,76.8,79.05,20400
2019-07-31 00:00:00+05:30,80.0,81.6,78.0,80.7,18000
2019-08-01 00:00:00+05:30,83.6,83.6,80.0,80.8,18000
2019-08-02 00:00:00+05:30,83.2,85.1,80.1,80.1,21600
2019-08-05 00:00:00+05:30,80.0,80.0,77.7,77.7,8400
2019-08-06 00:00:00+05:30,79.2,79.7,79.2,79.7,2400
2019-08-07 00:00:00+05:30,79.2,79.2,79.2,79.2,1200
2019-08-09 00:00:00+05:30,78.4,82.4,78.4,82.4,2400
2019-08-13 00:00:00+05:30,79.2,79.2,78.55,78.55,2400
2019-08-14 00:00:00+05:30,79.2,79.2,79.2,79.2,1200
2019-08-16 00:00:00+05:30,79.6,79.6,79.6,79.6,1200
2019-08-19 00:00:00+05:30,79.2,79.2,77.6,77.6,3600
2019-08-20 00:00:00+05:30,79.2,79.2,78.8,78.8,2400
2019-08-21 00:00:00+05:30,78.8,79.75,78.4,79.3,6000
2019-08-22 00:00:00+05:30,79.2,79.2,77.6,77.6,4800
2019-08-23 00:00:00+05:30,78.4,78.4,78.4,78.4,1200
2019-08-26 00:00:00+05:30,78.8,78.8,78.8,78.8,2400
2019-08-27 00:00:00+05:30,78.4,78.4,78.4,78.4,1200
2019-08-28 00:00:00+05:30,78.4,80.8,78.4,80.8,3600
2019-08-29 00:00:00+05:30,79.2,79.2,79.2,79.2,1200
2019-09-06 00:00:00+05:30,77.6,77.6,77.6,77.6,2400
2019-09-12 00:00:00+05:30,77.6,77.6,77.6,77.6,1200
2019-09-17 00:00:00+05:30,77.6,77.6,75.3,75.3,2400
