date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,83.4,85.45,80.95,84.55,39834
2019-01-02 00:00:00+05:30,84.0,85.85,81.8,82.5,167103
2019-01-03 00:00:00+05:30,83.0,84.0,81.1,82.95,27463
2019-01-04 00:00:00+05:30,83.25,84.95,82.5,83.0,45788
2019-01-07 00:00:00+05:30,83.5,84.9,82.25,82.8,101929
2019-01-08 00:00:00+05:30,83.65,83.65,79.45,80.7,509174
2019-01-09 00:00:00+05:30,81.65,81.95,78.85,79.7,49178
2019-01-10 00:00:00+05:30,80.15,80.4,78.25,78.55,42154
2019-01-11 00:00:00+05:30,78.8,79.6,75.75,76.6,87739
2019-01-14 00:00:00+05:30,78.0,78.6,75.45,77.85,24285
2019-01-15 00:00:00+05:30,77.5,78.9,76.5,76.95,32057
2019-01-16 00:00:00+05:30,77.15,78.2,77.0,77.15,27354
2019-01-17 00:00:00+05:30,77.6,78.2,76.7,76.8,9407
2019-01-18 00:00:00+05:30,76.75,78.75,76.6,77.7,97072
2019-01-21 00:00:00+05:30,78.45,79.0,75.3,76.0,26525
2019-01-22 00:00:00+05:30,76.8,76.8,74.15,74.4,18796
2019-01-23 00:00:00+05:30,74.0,76.4,73.75,74.85,35167
2019-01-24 00:00:00+05:30,75.4,76.2,74.7,75.55,22896
2019-01-25 00:00:00+05:30,75.5,75.6,70.45,71.8,54099
2019-01-28 00:00:00+05:30,71.5,71.6,67.8,69.45,45986
2019-01-29 00:00:00+05:30,69.55,71.5,68.6,70.1,22112
2019-01-30 00:00:00+05:30,69.75,71.9,69.0,70.9,14573
2019-01-31 00:00:00+05:30,71.5,73.6,70.7,72.15,13898
2019-02-01 00:00:00+05:30,72.9,73.0,69.1,69.95,18917
2019-02-04 00:00:00+05:30,68.9,69.9,65.0,65.75,41593
2019-02-05 00:00:00+05:30,66.5,66.5,63.5,64.95,61650
2019-02-06 00:00:00+05:30,64.95,66.55,62.15,64.1,115764
2019-02-07 00:00:00+05:30,64.1,74.8,62.3,71.75,212119
2019-02-08 00:00:00+05:30,71.9,72.0,67.15,68.55,58781
2019-02-11 00:00:00+05:30,66.65,67.95,65.0,66.1,23743
2019-02-12 00:00:00+05:30,65.05,69.7,65.05,68.6,24081
2019-02-13 00:00:00+05:30,70.0,70.7,64.55,66.4,77387
2019-02-14 00:00:00+05:30,66.0,66.55,64.6,65.9,25726
2019-02-15 00:00:00+05:30,65.55,67.85,65.55,67.0,29514
2019-02-18 00:00:00+05:30,67.9,68.5,65.65,66.3,12662
2019-02-19 00:00:00+05:30,66.3,69.4,65.5,66.2,20293
2019-02-20 00:00:00+05:30,65.65,67.95,65.65,67.15,12855
2019-02-21 00:00:00+05:30,68.5,69.2,67.0,68.7,43490
2019-02-22 00:00:00+05:30,68.85,70.6,68.5,70.15,27867
2019-02-25 00:00:00+05:30,70.85,73.0,70.05,71.1,33521
2019-02-26 00:00:00+05:30,70.0,72.0,67.6,68.9,113107
2019-02-27 00:00:00+05:30,70.0,75.6,69.2,72.1,120675
2019-02-28 00:00:00+05:30,72.45,73.4,69.0,69.8,45997
2019-03-01 00:00:00+05:30,70.05,75.0,70.0,74.85,94895
2019-03-05 00:00:00+05:30,76.2,82.5,71.5,80.8,161216
2019-03-06 00:00:00+05:30,84.0,84.0,79.7,81.05,76103
2019-03-07 00:00:00+05:30,81.0,83.4,81.0,81.35,55410
2019-03-08 00:00:00+05:30,81.95,82.2,79.1,79.8,43111
2019-03-11 00:00:00+05:30,79.85,89.95,79.85,88.6,363014
2019-03-12 00:00:00+05:30,88.6,92.4,87.6,88.5,179435
2019-03-13 00:00:00+05:30,88.0,91.75,86.7,88.95,72813
2019-03-14 00:00:00+05:30,88.3,90.15,86.15,87.2,62824
2019-03-15 00:00:00+05:30,86.6,88.5,85.25,87.2,45363
2019-03-18 00:00:00+05:30,88.4,88.55,86.55,87.4,33285
2019-03-19 00:00:00+05:30,87.4,89.85,86.0,87.2,83443
2019-03-20 00:00:00+05:30,87.4,88.45,85.95,87.3,30513
2019-03-22 00:00:00+05:30,86.6,91.0,86.35,88.0,75642
2019-03-25 00:00:00+05:30,88.0,88.05,84.8,85.15,52799
2019-03-26 00:00:00+05:30,86.05,87.05,83.9,84.35,44399
2019-03-27 00:00:00+05:30,84.95,86.0,81.6,82.1,130698
2019-03-28 00:00:00+05:30,82.2,83.5,80.55,81.85,52899
2019-03-29 00:00:00+05:30,83.0,83.7,78.6,79.0,238325
