date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,43.9,46.0,43.9,44.95,23894
2019-01-02 00:00:00+05:30,44.75,45.5,44.55,45.0,44010
2019-01-03 00:00:00+05:30,45.0,46.0,44.0,44.1,17432
2019-01-04 00:00:00+05:30,44.65,44.7,44.3,44.5,14963
2019-01-07 00:00:00+05:30,43.5,45.1,43.5,44.7,18118
2019-01-08 00:00:00+05:30,45.65,45.65,44.7,45.0,28388
2019-01-09 00:00:00+05:30,46.0,46.5,44.7,45.0,63385
2019-01-10 00:00:00+05:30,45.0,45.35,44.95,45.0,12803
2019-01-11 00:00:00+05:30,44.55,45.5,43.8,44.7,39751
2019-01-14 00:00:00+05:30,44.75,45.5,44.05,45.15,45214
2019-01-15 00:00:00+05:30,45.05,45.35,43.3,43.8,18334
2019-01-16 00:00:00+05:30,44.4,44.4,43.5,44.05,11904
2019-01-17 00:00:00+05:30,45.0,45.4,44.05,45.2,39656
2019-01-18 00:00:00+05:30,45.0,45.4,44.7,45.05,19441
2019-01-21 00:00:00+05:30,44.9,45.45,44.2,45.25,29206
2019-01-22 00:00:00+05:30,44.3,45.7,44.2,45.0,30168
2019-01-23 00:00:00+05:30,45.05,48.85,44.95,47.15,495128
2019-01-24 00:00:00+05:30,45.8,46.5,41.5,42.0,149675
2019-01-25 00:00:00+05:30,42.95,42.95,40.2,40.4,66531
2019-01-28 00:00:00+05:30,40.1,40.95,37.55,39.5,63333
2019-01-29 00:00:00+05:30,39.05,39.3,38.1,38.45,26019
2019-01-30 00:00:00+05:30,38.7,40.7,38.7,40.15,23621
2019-01-31 00:00:00+05:30,40.2,40.95,39.45,39.9,46803
2019-02-01 00:00:00+05:30,39.5,40.45,38.5,38.7,25266
2019-02-04 00:00:00+05:30,38.7,39.05,37.75,38.25,27082
2019-02-05 00:00:00+05:30,38.3,39.9,37.75,39.55,32242
2019-02-06 00:00:00+05:30,38.8,42.85,38.1,41.6,76675
2019-02-07 00:00:00+05:30,43.75,43.95,39.15,39.95,121271
2019-02-08 00:00:00+05:30,40.0,40.8,39.6,40.15,14891
2019-02-11 00:00:00+05:30,40.05,40.85,39.55,40.5,15617
2019-02-12 00:00:00+05:30,40.05,41.3,39.2,40.3,15634
