date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,174.9,174.95,174.9,174.9,72
2019-01-02 00:00:00+05:30,170.05,170.05,170.05,170.05,1
2019-01-03 00:00:00+05:30,170.1,170.1,161.75,162.25,234
2019-01-04 00:00:00+05:30,160.0,168.6,160.0,160.7,482
2019-01-07 00:00:00+05:30,154.7,166.0,154.7,163.95,1200
2019-01-08 00:00:00+05:30,160.05,168.5,160.05,167.95,173
2019-01-09 00:00:00+05:30,160.8,176.0,160.75,165.0,65
2019-01-10 00:00:00+05:30,165.0,171.65,162.45,166.0,1055
2019-01-11 00:00:00+05:30,166.95,173.7,161.15,168.0,1405
2019-01-14 00:00:00+05:30,162.55,163.85,161.05,161.05,4
2019-01-15 00:00:00+05:30,161.05,169.1,161.05,162.15,58
2019-01-16 00:00:00+05:30,167.75,167.75,155.5,160.45,50
2019-01-17 00:00:00+05:30,162.0,168.45,161.5,167.0,531
2019-01-18 00:00:00+05:30,164.05,175.35,162.65,172.15,135
2019-01-21 00:00:00+05:30,164.15,173.4,164.1,165.2,289
2019-01-22 00:00:00+05:30,159.1,172.95,159.1,163.2,1790
2019-01-23 00:00:00+05:30,160.1,170.0,160.05,160.5,1246
2019-01-24 00:00:00+05:30,157.0,168.0,156.05,162.5,295
2019-01-25 00:00:00+05:30,162.0,162.1,162.0,162.0,69
2019-01-28 00:00:00+05:30,154.1,169.95,154.1,158.25,1539
2019-01-29 00:00:00+05:30,153.6,165.5,153.6,163.7,1055
2019-01-30 00:00:00+05:30,168.95,168.95,156.0,157.15,1994
2019-01-31 00:00:00+05:30,159.0,164.75,153.0,158.95,515
2019-02-01 00:00:00+05:30,162.5,163.9,151.05,152.85,3593
2019-02-04 00:00:00+05:30,155.0,155.0,147.1,153.0,253
2019-02-05 00:00:00+05:30,146.0,153.95,145.5,145.75,820
2019-02-06 00:00:00+05:30,150.0,152.8,140.25,141.8,636
2019-02-07 00:00:00+05:30,144.95,150.0,142.0,146.3,280
2019-02-08 00:00:00+05:30,140.05,149.95,139.8,139.8,208
2019-02-11 00:00:00+05:30,141.0,146.0,140.0,146.0,181
2019-02-12 00:00:00+05:30,136.05,149.0,136.0,149.0,38
2019-02-14 00:00:00+05:30,138.0,148.0,138.0,143.5,52
2019-02-15 00:00:00+05:30,147.95,147.95,133.05,140.8,182
2019-02-18 00:00:00+05:30,148.0,148.0,131.0,135.0,397
2019-02-19 00:00:00+05:30,147.85,147.85,136.15,141.95,67
2019-02-20 00:00:00+05:30,144.9,146.9,135.25,141.3,64
2019-02-21 00:00:00+05:30,147.95,147.95,135.15,136.1,145
2019-02-22 00:00:00+05:30,143.95,146.95,127.8,145.8,389
2019-02-25 00:00:00+05:30,148.0,150.0,140.05,146.85,486
2019-02-26 00:00:00+05:30,146.0,148.0,140.0,146.9,532
2019-02-27 00:00:00+05:30,146.8,146.8,135.55,142.0,424
2019-02-28 00:00:00+05:30,142.05,146.65,138.0,142.1,324
2019-03-01 00:00:00+05:30,148.0,150.0,140.0,144.65,362
2019-03-05 00:00:00+05:30,144.75,159.1,140.15,154.25,451
2019-03-06 00:00:00+05:30,158.95,159.0,144.6,149.5,929
2019-03-07 00:00:00+05:30,148.85,154.4,147.0,148.45,358
2019-03-08 00:00:00+05:30,151.25,154.8,148.05,149.1,1395
2019-03-11 00:00:00+05:30,155.45,155.45,150.0,151.1,291
2019-03-12 00:00:00+05:30,155.95,155.95,150.0,150.15,342
2019-03-13 00:00:00+05:30,157.9,157.95,150.2,155.6,686
2019-03-14 00:00:00+05:30,155.0,155.0,148.55,148.85,217
2019-03-15 00:00:00+05:30,155.8,155.8,141.25,142.7,624
2019-03-18 00:00:00+05:30,143.2,148.5,143.15,147.0,311
2019-03-19 00:00:00+05:30,147.05,149.9,144.0,149.65,540
2019-03-20 00:00:00+05:30,145.0,148.85,136.0,144.45,533
2019-03-22 00:00:00+05:30,148.4,148.45,144.05,148.4,316
2019-03-25 00:00:00+05:30,140.05,148.2,136.5,140.5,16144
2019-03-26 00:00:00+05:30,148.35,148.4,138.9,139.85,251
2019-03-27 00:00:00+05:30,130.0,153.7,130.0,143.35,2819
2019-03-28 00:00:00+05:30,140.05,141.0,136.3,139.15,228
2019-03-29 00:00:00+05:30,143.4,143.4,133.9,138.05,2058
2019-04-01 00:00:00+05:30,140.05,151.5,137.0,140.8,618
2019-04-02 00:00:00+05:30,145.7,145.75,138.2,140.0,6361
2019-04-03 00:00:00+05:30,144.8,144.85,140.0,140.0,509
2019-04-04 00:00:00+05:30,140.1,144.5,140.0,140.45,144
2019-04-05 00:00:00+05:30,142.45,142.5,142.45,142.5,25
2019-04-09 00:00:00+05:30,138.05,150.95,138.0,139.05,1262
2019-04-10 00:00:00+05:30,139.95,139.95,139.95,139.95,10
2019-04-11 00:00:00+05:30,137.05,139.95,137.05,139.95,262
2019-04-12 00:00:00+05:30,143.8,143.85,138.55,138.55,96
2019-04-15 00:00:00+05:30,140.0,150.95,139.25,144.9,1323
2019-04-16 00:00:00+05:30,144.85,149.95,141.15,146.25,1804
2019-04-18 00:00:00+05:30,140.35,150.0,138.0,144.3,2072
2019-04-22 00:00:00+05:30,145.8,145.85,141.0,141.1,212
