date,open,high,low,close,volume
2022-12-01 00:00:00+05:30,32.9,34.8,30.5,32.55,176630
2022-12-02 00:00:00+05:30,33.9,33.9,31.5,31.95,68260
2022-12-05 00:00:00+05:30,31.65,33.0,31.6,31.9,28540
2022-12-06 00:00:00+05:30,32.7,32.7,30.5,31.55,19870
2022-12-07 00:00:00+05:30,33.1,33.1,30.15,30.6,39330
2022-12-08 00:00:00+05:30,30.4,30.5,29.05,29.7,54950
2022-12-09 00:00:00+05:30,29.55,30.85,29.55,30.15,29770
2022-12-12 00:00:00+05:30,30.75,30.75,28.65,28.75,82660
2022-12-13 00:00:00+05:30,29.1,29.8,27.5,28.1,46410
2022-12-14 00:00:00+05:30,28.55,28.7,26.9,27.6,47650
2022-12-15 00:00:00+05:30,27.5,28.05,26.25,26.25,138830
2022-12-16 00:00:00+05:30,26.45,27.55,25.25,26.45,133430
2022-12-19 00:00:00+05:30,26.5,27.6,26.5,27.5,60480
2022-12-20 00:00:00+05:30,27.7,27.7,26.8,27.0,40140
2022-12-21 00:00:00+05:30,28.15,28.15,25.65,26.15,27830
2022-12-22 00:00:00+05:30,26.3,26.3,25.0,25.45,35550
2022-12-23 00:00:00+05:30,25.5,25.5,24.2,24.2,78040
2022-12-26 00:00:00+05:30,23.6,24.85,23.0,23.5,45400
2022-12-27 00:00:00+05:30,24.5,24.65,24.05,24.65,21970
2022-12-28 00:00:00+05:30,25.5,25.9,25.5,25.9,18610
2022-12-29 00:00:00+05:30,27.1,27.1,26.05,26.35,18710
2022-12-30 00:00:00+05:30,25.85,27.65,25.85,26.95,49700
2023-01-02 00:00:00+05:30,27.5,27.5,26.4,27.25,22120
2023-01-03 00:00:00+05:30,27.3,28.6,26.2,26.25,66630
2023-01-04 00:00:00+05:30,27.4,27.4,26.5,27.3,20940
2023-01-05 00:00:00+05:30,27.3,27.7,27.0,27.4,24500
2023-01-06 00:00:00+05:30,27.75,27.75,26.5,26.95,17640
2023-01-09 00:00:00+05:30,27.0,27.9,27.0,27.45,35830
2023-01-10 00:00:00+05:30,27.05,27.85,26.2,26.8,13410
2023-01-11 00:00:00+05:30,28.0,28.0,26.1,26.4,25550
2023-01-12 00:00:00+05:30,27.1,27.1,26.0,26.1,9950
2023-01-13 00:00:00+05:30,26.2,26.5,25.55,26.15,5090
2023-01-16 00:00:00+05:30,26.45,26.7,25.65,25.95,24520
2023-01-17 00:00:00+05:30,26.5,27.0,26.0,26.75,40910
2023-01-18 00:00:00+05:30,27.25,27.25,26.25,26.8,35680
2023-01-19 00:00:00+05:30,26.35,27.0,26.35,26.5,6520
2023-01-20 00:00:00+05:30,26.4,26.85,26.15,26.5,24020
2023-01-23 00:00:00+05:30,27.6,27.6,26.5,26.7,36360
2023-01-24 00:00:00+05:30,26.6,26.85,26.1,26.4,11510
2023-01-25 00:00:00+05:30,26.35,27.15,25.7,26.05,40510
2023-01-27 00:00:00+05:30,24.8,25.65,24.75,24.8,62260
2023-01-30 00:00:00+05:30,24.8,24.8,23.6,23.85,31150
2023-01-31 00:00:00+05:30,23.95,24.25,23.5,23.65,20500
2023-02-01 00:00:00+05:30,24.5,24.5,23.0,23.15,38910
2023-02-02 00:00:00+05:30,23.15,24.3,22.95,23.35,61910
2023-02-03 00:00:00+05:30,22.65,23.7,22.15,22.85,67700
2023-02-06 00:00:00+05:30,22.9,23.5,22.2,22.4,57340
2023-02-07 00:00:00+05:30,22.6,23.3,22.3,22.8,91780
2023-02-08 00:00:00+05:30,22.25,23.5,21.75,22.2,254530
2023-02-09 00:00:00+05:30,23.4,23.4,22.0,22.15,43890
2023-02-10 00:00:00+05:30,23.35,23.35,22.05,22.5,86960
2023-02-13 00:00:00+05:30,22.5,23.5,21.4,21.75,130130
2023-02-14 00:00:00+05:30,21.8,21.8,20.1,21.5,71200
2023-02-15 00:00:00+05:30,21.9,22.5,21.5,21.7,163930
2023-02-16 00:00:00+05:30,20.6,22.2,20.5,20.75,95120
2023-02-17 00:00:00+05:30,20.7,21.3,20.7,21.0,125610
2023-02-20 00:00:00+05:30,21.9,22.3,20.7,21.05,75830
2023-02-21 00:00:00+05:30,20.5,21.5,20.1,21.05,89660
2023-02-22 00:00:00+05:30,21.4,21.95,19.9,21.25,75030
2023-02-23 00:00:00+05:30,20.8,22.5,20.6,20.9,76490
2023-02-24 00:00:00+05:30,21.45,22.95,20.05,22.95,299490
2023-02-27 00:00:00+05:30,24.2,24.8,23.05,24.35,191140
2023-02-28 00:00:00+05:30,25.0,26.75,24.0,25.2,1175480
2023-03-01 00:00:00+05:30,25.9,26.75,24.55,26.05,127240
2023-03-02 00:00:00+05:30,26.05,28.0,26.05,27.6,184820
2023-03-03 00:00:00+05:30,28.2,28.65,28.0,28.1,232920
2023-03-06 00:00:00+05:30,28.9,29.1,28.0,28.25,155360
2023-03-08 00:00:00+05:30,28.85,29.7,28.15,29.7,289600
2023-03-09 00:00:00+05:30,30.9,31.15,29.8,31.15,501660
2023-03-10 00:00:00+05:30,32.0,32.7,31.35,32.7,1610780
2023-03-13 00:00:00+05:30,32.55,34.3,32.05,34.3,227058
2023-03-14 00:00:00+05:30,36.0,36.0,32.6,35.45,5020885
2023-03-15 00:00:00+05:30,36.2,37.2,34.1,36.8,2234364
2023-03-16 00:00:00+05:30,37.1,37.65,35.0,35.0,425406
2023-03-17 00:00:00+05:30,33.6,34.0,33.25,33.25,241005
2023-03-20 00:00:00+05:30,34.0,34.0,31.6,31.6,162598
2023-03-21 00:00:00+05:30,30.05,33.15,30.05,33.15,443266
2023-03-22 00:00:00+05:30,33.95,34.8,33.7,34.8,91692
2023-03-23 00:00:00+05:30,36.5,36.5,33.1,33.5,429286
2023-03-24 00:00:00+05:30,33.5,34.2,31.85,31.9,272182
2023-03-27 00:00:00+05:30,30.4,33.45,30.4,33.4,812034
2023-03-28 00:00:00+05:30,33.3,34.7,32.75,34.3,280333
2023-03-29 00:00:00+05:30,32.75,35.7,32.75,33.9,471252
2023-03-31 00:00:00+05:30,33.9,35.55,33.9,35.55,1171017
2023-04-03 00:00:00+05:30,35.6,37.3,35.1,35.9,188491
2023-04-05 00:00:00+05:30,36.85,37.2,34.1,34.4,321118
2023-04-06 00:00:00+05:30,35.85,36.1,33.15,36.1,920644
2023-04-10 00:00:00+05:30,37.0,37.2,34.8,35.25,202704
2023-04-11 00:00:00+05:30,34.8,34.95,33.8,34.15,290278
2023-04-12 00:00:00+05:30,35.0,35.0,32.55,33.65,318110
2023-04-13 00:00:00+05:30,32.95,34.5,32.0,33.0,809254
2023-04-17 00:00:00+05:30,32.7,32.7,31.35,31.45,298252
2023-04-18 00:00:00+05:30,32.05,32.05,29.9,29.9,333016
2023-04-19 00:00:00+05:30,30.45,31.35,29.85,31.35,107858
2023-04-20 00:00:00+05:30,32.8,32.9,32.35,32.7,232625
2023-04-21 00:00:00+05:30,33.55,33.6,31.1,31.25,269639
2023-04-24 00:00:00+05:30,32.5,32.5,31.55,32.1,66525
2023-04-25 00:00:00+05:30,31.8,32.95,31.0,31.65,75549
2023-04-26 00:00:00+05:30,32.55,32.8,31.75,32.55,47989
2023-04-27 00:00:00+05:30,32.7,32.7,31.0,31.15,112173
2023-04-28 00:00:00+05:30,31.2,31.85,30.8,31.5,116737
2023-05-02 00:00:00+05:30,32.0,32.05,29.95,29.95,218261
2023-05-03 00:00:00+05:30,29.65,31.3,28.8,31.15,89077
2023-05-04 00:00:00+05:30,32.4,32.4,29.6,31.1,702530
2023-05-05 00:00:00+05:30,30.65,31.65,30.65,30.95,71223
2023-05-08 00:00:00+05:30,30.95,31.6,29.7,30.7,867265
2023-05-09 00:00:00+05:30,30.8,31.35,30.6,30.9,30879
2023-05-10 00:00:00+05:30,31.4,31.5,30.0,30.25,44999
2023-05-11 00:00:00+05:30,30.65,31.4,30.25,31.3,66244
2023-05-12 00:00:00+05:30,31.3,31.3,29.95,30.65,84834
2023-05-15 00:00:00+05:30,31.65,31.65,30.0,30.3,42810
2023-05-16 00:00:00+05:30,30.95,30.95,30.25,30.85,26005
2023-05-17 00:00:00+05:30,31.3,31.5,30.5,30.95,50234
2023-05-18 00:00:00+05:30,31.4,31.45,30.8,31.25,113244
2023-05-19 00:00:00+05:30,31.25,32.8,30.45,32.8,1090624
2023-05-22 00:00:00+05:30,34.4,34.4,33.75,34.4,706961
2023-05-23 00:00:00+05:30,36.1,36.1,34.55,36.1,336719
2023-05-24 00:00:00+05:30,37.35,37.9,36.4,37.9,334233
2023-05-25 00:00:00+05:30,37.6,38.85,36.2,37.85,641037
2023-05-26 00:00:00+05:30,37.85,38.85,36.65,38.1,848538
2023-05-29 00:00:00+05:30,38.5,38.5,36.9,37.1,100630
2023-05-30 00:00:00+05:30,37.1,37.35,35.45,35.65,171117
2023-05-31 00:00:00+05:30,34.4,35.4,34.1,34.95,1398543
2023-06-01 00:00:00+05:30,35.05,35.55,33.2,33.2,249513
2023-06-02 00:00:00+05:30,33.2,34.85,32.7,34.85,285593
2023-06-05 00:00:00+05:30,35.45,35.9,33.5,34.3,265154
2023-06-06 00:00:00+05:30,33.8,34.95,33.05,33.45,137259
2023-06-07 00:00:00+05:30,33.25,33.25,31.8,31.8,100918
2023-06-08 00:00:00+05:30,32.8,32.8,30.65,31.25,57653
2023-06-09 00:00:00+05:30,30.2,31.9,30.2,31.9,45592
2023-06-12 00:00:00+05:30,32.5,32.5,31.1,31.5,13767
2023-06-13 00:00:00+05:30,32.45,32.45,30.5,31.45,22062
2023-06-14 00:00:00+05:30,31.5,31.65,30.55,31.05,19692
2023-06-15 00:00:00+05:30,31.5,32.0,30.4,31.0,59554
2023-06-16 00:00:00+05:30,31.1,31.95,29.45,30.95,131365
2023-06-19 00:00:00+05:30,30.95,32.45,30.95,32.45,54643
2023-06-20 00:00:00+05:30,33.5,33.5,31.0,32.7,32357
2023-06-21 00:00:00+05:30,33.0,33.7,32.0,32.95,34140
2023-06-22 00:00:00+05:30,33.5,33.5,31.5,32.3,37561
2023-06-23 00:00:00+05:30,32.3,33.0,32.0,32.3,12801
2023-06-26 00:00:00+05:30,31.5,32.7,31.0,31.6,27922
2023-06-27 00:00:00+05:30,31.0,32.85,31.0,31.6,36375
2023-06-28 00:00:00+05:30,31.6,32.5,31.4,32.2,14817
2023-06-30 00:00:00+05:30,31.4,32.5,31.05,31.8,20910
2023-07-03 00:00:00+05:30,31.6,32.5,31.55,31.7,36780
2023-07-04 00:00:00+05:30,32.35,32.45,31.0,31.25,51929
2023-07-05 00:00:00+05:30,31.9,31.9,30.5,30.8,40124
2023-07-06 00:00:00+05:30,31.85,32.3,30.0,32.3,95202
2023-07-07 00:00:00+05:30,32.3,33.9,32.3,33.0,668838
2023-07-10 00:00:00+05:30,32.5,33.0,32.5,32.75,44076
2023-07-11 00:00:00+05:30,32.0,32.65,31.35,31.65,60031
2023-07-12 00:00:00+05:30,30.4,32.4,30.4,31.3,32335
2023-07-13 00:00:00+05:30,32.75,32.75,31.0,31.9,29641
2023-07-14 00:00:00+05:30,31.9,32.45,31.9,32.35,43351
2023-07-17 00:00:00+05:30,32.9,32.9,31.2,32.05,29369
2023-07-18 00:00:00+05:30,32.05,33.65,31.5,33.55,279518
2023-07-19 00:00:00+05:30,33.55,34.4,33.0,34.0,32226
2023-07-20 00:00:00+05:30,34.65,34.65,32.5,33.0,17104
2023-07-21 00:00:00+05:30,32.0,34.5,32.0,33.75,68434
2023-07-24 00:00:00+05:30,35.0,35.0,33.0,34.5,59178
2023-07-25 00:00:00+05:30,34.1,36.2,34.1,36.2,149517
2023-07-26 00:00:00+05:30,36.5,38.0,36.5,38.0,316070
2023-07-27 00:00:00+05:30,38.5,39.9,38.0,38.65,103303
2023-07-28 00:00:00+05:30,39.7,40.55,37.6,40.1,383318
2023-07-31 00:00:00+05:30,40.1,40.1,39.3,40.1,114038
2023-08-01 00:00:00+05:30,39.45,40.7,39.45,40.7,78931
2023-08-02 00:00:00+05:30,40.5,41.0,40.0,41.0,45175
2023-08-03 00:00:00+05:30,41.0,41.0,40.2,41.0,50207
2023-08-04 00:00:00+05:30,41.0,41.1,40.2,41.1,25606
2023-08-07 00:00:00+05:30,41.0,41.0,40.3,41.0,74413
2023-08-08 00:00:00+05:30,40.9,40.9,40.2,40.2,17236
2023-08-09 00:00:00+05:30,39.4,39.4,39.4,39.4,55997
2023-08-10 00:00:00+05:30,38.65,39.8,38.65,39.8,77429
2023-08-11 00:00:00+05:30,40.45,40.45,40.1,40.1,29381
2023-08-14 00:00:00+05:30,40.0,40.9,40.0,40.9,50798
2023-08-16 00:00:00+05:30,41.7,41.7,41.7,41.7,39790
2023-08-17 00:00:00+05:30,41.55,41.7,41.05,41.7,48472
2023-08-18 00:00:00+05:30,41.7,41.8,41.7,41.8,29503
2023-08-21 00:00:00+05:30,41.05,42.6,41.05,42.6,50880
2023-08-22 00:00:00+05:30,43.45,43.45,43.45,43.45,40539
2023-08-23 00:00:00+05:30,44.3,44.3,44.3,44.3,153310
2023-08-24 00:00:00+05:30,45.15,45.15,45.15,45.15,85029
2023-08-25 00:00:00+05:30,46.05,46.05,46.05,46.05,36307
2023-08-28 00:00:00+05:30,46.95,46.95,46.95,46.95,60313
2023-08-29 00:00:00+05:30,47.85,47.85,47.85,47.85,80598
2023-08-30 00:00:00+05:30,48.8,48.8,47.0,48.8,5399540
2023-08-31 00:00:00+05:30,49.5,49.5,48.5,49.0,73557
2023-09-01 00:00:00+05:30,49.0,49.0,48.05,49.0,62617
2023-09-04 00:00:00+05:30,49.5,49.5,49.5,49.5,7974
2023-09-05 00:00:00+05:30,49.5,50.45,48.55,50.45,56313
2023-09-06 00:00:00+05:30,50.45,50.45,49.45,49.45,29988
2023-09-07 00:00:00+05:30,50.0,50.0,49.45,50.0,91912
2023-09-08 00:00:00+05:30,50.0,50.0,49.0,50.0,58209
2023-09-11 00:00:00+05:30,50.4,50.4,49.0,50.0,74422
2023-09-12 00:00:00+05:30,49.0,49.0,49.0,49.0,61180
2023-09-13 00:00:00+05:30,49.0,49.9,48.05,49.8,153705
2023-09-14 00:00:00+05:30,50.0,50.0,48.8,48.8,31683
2023-09-15 00:00:00+05:30,48.8,48.8,47.85,48.8,14793
2023-09-18 00:00:00+05:30,47.85,47.85,47.85,47.85,8670
2023-09-20 00:00:00+05:30,46.9,46.9,46.9,46.9,3932
2023-09-21 00:00:00+05:30,46.0,47.8,46.0,47.8,659145
2023-09-22 00:00:00+05:30,47.8,48.0,47.5,47.8,665025
2023-09-25 00:00:00+05:30,47.75,48.65,47.75,48.65,138569
2023-09-26 00:00:00+05:30,48.65,49.4,47.8,49.3,62563
2023-09-27 00:00:00+05:30,49.3,49.3,48.35,49.05,26337
2023-09-28 00:00:00+05:30,49.1,49.1,48.1,48.2,34507
2023-09-29 00:00:00+05:30,48.75,49.0,47.55,49.0,63928
2023-10-03 00:00:00+05:30,50.95,50.95,46.55,49.0,27388
2023-10-04 00:00:00+05:30,46.55,50.0,46.55,49.0,89355
2023-10-05 00:00:00+05:30,50.85,50.85,47.9,48.35,14204
2023-10-06 00:00:00+05:30,48.5,49.0,46.55,48.9,62088
2023-10-09 00:00:00+05:30,49.9,49.9,47.0,47.55,18016
2023-10-10 00:00:00+05:30,48.5,49.15,46.5,48.6,88973
2023-10-11 00:00:00+05:30,49.5,49.5,47.6,49.0,18699
2023-10-12 00:00:00+05:30,49.0,50.15,47.6,48.9,52082
2023-10-13 00:00:00+05:30,50.0,51.0,48.0,50.3,2140300
2023-10-16 00:00:00+05:30,52.0,52.8,51.5,52.8,958332
2023-10-17 00:00:00+05:30,54.2,55.4,53.3,55.35,1107628
2023-10-18 00:00:00+05:30,55.0,56.4,53.0,54.05,734972
2023-10-19 00:00:00+05:30,52.0,56.25,52.0,54.8,1296554
2023-10-20 00:00:00+05:30,54.8,57.5,54.8,57.0,1763124
2023-10-23 00:00:00+05:30,58.5,58.5,54.5,55.1,1118473
2023-10-25 00:00:00+05:30,55.0,56.35,52.35,52.35,1255020
2023-10-26 00:00:00+05:30,51.8,52.35,49.75,50.0,73582
2023-10-27 00:00:00+05:30,47.7,52.5,47.7,52.5,726517
2023-10-30 00:00:00+05:30,52.5,55.1,52.5,55.05,2541163
2023-10-31 00:00:00+05:30,55.1,55.9,52.95,53.05,674811
2023-11-01 00:00:00+05:30,53.0,53.9,50.4,50.5,840113
2023-11-02 00:00:00+05:30,50.5,53.0,50.45,52.65,559721
2023-11-03 00:00:00+05:30,52.65,55.25,51.05,52.65,887526
2023-11-06 00:00:00+05:30,55.2,55.2,51.5,52.85,571085
2023-11-07 00:00:00+05:30,53.95,55.45,51.35,55.45,1334061
2023-11-08 00:00:00+05:30,56.55,57.3,53.1,53.55,2617172
2023-11-09 00:00:00+05:30,54.5,54.5,51.5,52.3,997048
2023-11-10 00:00:00+05:30,54.75,54.9,52.4,52.75,961622
2023-11-12 00:00:00+05:30,54.0,55.35,53.95,55.35,260557
2023-11-13 00:00:00+05:30,55.0,56.95,53.05,55.25,859517
2023-11-15 00:00:00+05:30,55.1,58.0,54.65,55.4,760374
2023-11-16 00:00:00+05:30,56.0,57.75,55.1,55.9,612615
2023-11-17 00:00:00+05:30,55.5,57.0,54.6,54.85,505666
2023-11-20 00:00:00+05:30,55.5,55.5,54.1,54.9,452117
2023-11-21 00:00:00+05:30,55.9,56.3,54.5,54.9,548384
2023-11-22 00:00:00+05:30,56.0,57.6,55.25,56.05,1014161
2023-11-23 00:00:00+05:30,57.3,57.8,55.0,56.15,817720
2023-11-24 00:00:00+05:30,56.0,56.9,54.0,54.7,496864
2023-11-28 00:00:00+05:30,56.65,57.4,52.6,56.65,1487049
2023-11-29 00:00:00+05:30,57.7,58.2,54.35,54.9,1360706
2023-11-30 00:00:00+05:30,55.0,56.35,52.65,53.2,1218096
2023-12-01 00:00:00+05:30,54.7,54.7,52.2,53.75,783494
2023-12-04 00:00:00+05:30,54.4,55.2,53.3,54.65,650904
2023-12-05 00:00:00+05:30,55.95,56.1,52.0,52.65,845706
2023-12-06 00:00:00+05:30,53.7,53.7,51.95,52.95,639866
2023-12-07 00:00:00+05:30,53.9,58.2,53.3,57.2,1244647
2023-12-08 00:00:00+05:30,60.0,60.0,51.5,52.55,10247707
2023-12-11 00:00:00+05:30,53.3,53.65,50.6,51.6,2667076
2023-12-12 00:00:00+05:30,51.65,53.3,49.6,50.7,1842646
