date,open,high,low,close,volume
2023-04-21 00:00:00+05:30,55.0,57.75,52.55,57.75,612000
2023-04-24 00:00:00+05:30,60.6,60.6,58.0,60.6,192000
2023-04-25 00:00:00+05:30,63.6,63.6,57.6,58.0,111000
2023-04-26 00:00:00+05:30,60.35,60.7,58.85,58.85,30000
2023-04-27 00:00:00+05:30,60.0,60.55,57.6,57.6,24000
2023-04-28 00:00:00+05:30,60.25,60.25,59.4,59.7,9000
2023-05-02 00:00:00+05:30,57.5,58.0,56.75,58.0,36000
2023-05-03 00:00:00+05:30,57.2,57.2,55.1,55.65,27000
2023-05-04 00:00:00+05:30,56.0,56.0,56.0,56.0,3000
2023-05-05 00:00:00+05:30,55.95,57.65,55.95,57.65,9000
2023-05-08 00:00:00+05:30,52.5,59.75,52.5,59.75,18000
2023-05-09 00:00:00+05:30,55.5,57.0,55.5,56.6,9000
2023-05-10 00:00:00+05:30,56.95,59.75,56.95,58.15,27000
2023-05-11 00:00:00+05:30,59.85,69.0,59.85,63.45,54000
2023-05-12 00:00:00+05:30,68.65,73.75,65.1,66.6,84000
2023-05-15 00:00:00+05:30,65.55,68.6,65.55,68.55,9000
2023-05-16 00:00:00+05:30,68.0,68.0,68.0,68.0,6000
2023-05-17 00:00:00+05:30,67.95,68.5,67.95,68.5,15000
2023-05-18 00:00:00+05:30,70.05,72.0,70.05,72.0,27000
2023-05-19 00:00:00+05:30,75.0,76.0,75.0,76.0,6000
2023-05-22 00:00:00+05:30,81.0,81.0,66.3,74.0,45000
2023-05-23 00:00:00+05:30,67.1,83.0,67.1,83.0,75000
2023-05-24 00:00:00+05:30,93.9,97.0,76.0,80.7,81000
2023-05-25 00:00:00+05:30,82.4,83.0,80.0,80.0,15000
2023-05-26 00:00:00+05:30,80.0,83.0,80.0,82.45,21000
2023-05-29 00:00:00+05:30,82.45,82.45,82.45,82.45,3000
2023-05-30 00:00:00+05:30,89.5,92.0,89.0,89.3,12000
2023-05-31 00:00:00+05:30,86.0,86.0,84.0,84.0,6000
2023-06-02 00:00:00+05:30,74.9,82.5,74.9,82.5,9000
2023-06-05 00:00:00+05:30,82.1,82.65,79.5,79.75,24000
2023-06-06 00:00:00+05:30,79.75,85.5,79.75,80.0,27000
2023-06-07 00:00:00+05:30,80.0,80.0,76.7,78.1,9000
2023-06-08 00:00:00+05:30,75.0,78.9,74.1,78.2,15000
2023-06-09 00:00:00+05:30,78.0,78.0,78.0,78.0,3000
2023-06-12 00:00:00+05:30,70.0,75.95,70.0,75.95,9000
2023-06-13 00:00:00+05:30,74.3,75.95,73.3,73.65,18000
2023-06-14 00:00:00+05:30,73.3,73.3,73.3,73.3,3000
2023-06-15 00:00:00+05:30,74.9,74.9,74.9,74.9,3000
2023-06-16 00:00:00+05:30,74.7,74.7,73.0,73.0,12000
2023-06-20 00:00:00+05:30,73.0,73.0,73.0,73.0,3000
2023-06-22 00:00:00+05:30,75.5,75.5,75.5,75.5,3000
2023-06-23 00:00:00+05:30,73.15,73.15,67.05,67.05,6000
2023-06-26 00:00:00+05:30,69.9,69.9,69.9,69.9,3000
2023-06-27 00:00:00+05:30,64.15,64.15,56.2,60.05,81000
2023-06-28 00:00:00+05:30,58.6,59.5,56.75,58.6,27000
2023-06-30 00:00:00+05:30,60.0,60.0,58.7,58.7,6000
2023-07-03 00:00:00+05:30,69.0,69.0,64.0,66.45,24000
2023-07-05 00:00:00+05:30,60.5,62.0,60.25,62.0,12000
2023-07-06 00:00:00+05:30,68.9,68.9,63.05,63.05,12000
2023-07-07 00:00:00+05:30,61.0,61.5,61.0,61.5,6000
2023-07-10 00:00:00+05:30,61.5,61.5,61.5,61.5,3000
2023-07-11 00:00:00+05:30,58.2,59.95,58.2,59.0,12000
2023-07-12 00:00:00+05:30,59.15,59.15,59.15,59.15,3000
2023-07-13 00:00:00+05:30,63.0,63.0,58.0,58.0,21000
2023-07-18 00:00:00+05:30,55.0,57.1,55.0,57.1,54000
2023-07-19 00:00:00+05:30,65.9,65.9,63.95,63.95,6000
2023-07-20 00:00:00+05:30,60.05,62.95,60.0,61.85,12000
2023-07-21 00:00:00+05:30,63.0,63.0,62.1,62.1,6000
2023-07-27 00:00:00+05:30,62.1,62.1,62.1,62.1,3000
2023-08-02 00:00:00+05:30,55.55,65.2,55.55,65.2,6000
2023-08-03 00:00:00+05:30,61.0,62.0,61.0,62.0,6000
2023-08-09 00:00:00+05:30,57.35,59.0,57.35,58.1,12000
2023-08-10 00:00:00+05:30,59.0,59.0,59.0,59.0,3000
2023-08-11 00:00:00+05:30,61.0,63.0,61.0,63.0,6000
2023-08-16 00:00:00+05:30,63.0,63.0,63.0,63.0,3000
2023-08-18 00:00:00+05:30,63.0,63.0,63.0,63.0,3000
2023-08-21 00:00:00+05:30,63.0,65.0,63.0,65.0,9000
2023-08-28 00:00:00+05:30,64.95,64.95,64.95,64.95,3000
2023-08-30 00:00:00+05:30,60.0,66.0,60.0,65.9,9000
2023-09-01 00:00:00+05:30,61.0,61.0,61.0,61.0,15000
2023-09-04 00:00:00+05:30,57.0,69.0,57.0,68.5,48000
2023-09-05 00:00:00+05:30,70.0,72.0,65.0,65.0,12000
2023-09-07 00:00:00+05:30,70.7,71.6,70.6,71.6,15000
2023-09-08 00:00:00+05:30,71.6,71.6,68.5,68.5,6000
2023-09-11 00:00:00+05:30,70.0,70.0,70.0,70.0,3000
2023-09-12 00:00:00+05:30,69.8,69.8,65.0,65.0,6000
2023-09-13 00:00:00+05:30,69.5,69.5,69.5,69.5,3000
2023-09-14 00:00:00+05:30,72.8,72.8,70.0,70.0,6000
2023-09-18 00:00:00+05:30,70.0,70.0,70.0,70.0,3000
2023-09-20 00:00:00+05:30,71.0,72.0,70.0,70.0,15000
2023-09-27 00:00:00+05:30,67.0,67.0,64.0,64.0,9000
2023-09-28 00:00:00+05:30,67.0,67.0,67.0,67.0,3000
