date,open,high,low,close,volume
2019-03-01 00:00:00+05:30,11.6,11.6,11.6,11.6,19419
2019-03-15 00:00:00+05:30,12.0,12.0,12.0,12.0,12946
2019-03-18 00:00:00+05:30,12.15,12.15,12.15,12.15,19419
2019-03-25 00:00:00+05:30,12.3,12.3,12.3,12.3,19419
2019-04-24 00:00:00+05:30,12.5,12.85,12.3,12.8,51785
2019-04-25 00:00:00+05:30,13.35,13.35,13.25,13.25,19419
2019-04-26 00:00:00+05:30,13.7,13.75,12.6,13.65,51785
2019-04-30 00:00:00+05:30,14.15,14.25,14.15,14.2,19419
2019-05-02 00:00:00+05:30,14.85,14.85,14.85,14.85,6473
2019-05-03 00:00:00+05:30,15.45,15.5,15.4,15.5,19419
2019-05-06 00:00:00+05:30,15.45,15.5,15.4,15.4,19419
2019-05-07 00:00:00+05:30,15.45,15.45,15.35,15.35,19419
2019-05-08 00:00:00+05:30,15.45,15.45,15.3,15.4,19419
2019-05-09 00:00:00+05:30,16.0,16.05,14.65,14.65,25892
2019-05-10 00:00:00+05:30,15.3,15.3,15.15,15.2,19419
2019-05-13 00:00:00+05:30,15.9,15.9,15.8,15.8,19419
2019-05-14 00:00:00+05:30,16.55,16.55,16.45,16.45,19419
2019-05-15 00:00:00+05:30,17.15,17.15,17.05,17.1,19419
2019-05-16 00:00:00+05:30,17.9,17.9,17.75,17.75,19419
2019-05-17 00:00:00+05:30,17.15,17.15,17.15,17.15,6473
2019-05-20 00:00:00+05:30,17.2,17.2,16.3,16.3,12946
2019-05-21 00:00:00+05:30,16.5,16.5,15.55,15.55,12946
2019-05-24 00:00:00+05:30,16.0,16.0,16.0,16.0,6473
2019-05-27 00:00:00+05:30,16.1,16.1,16.1,16.1,6473
2019-05-28 00:00:00+05:30,16.3,16.3,16.3,16.3,6473
2019-05-29 00:00:00+05:30,16.1,16.1,16.1,16.1,6473
2019-05-30 00:00:00+05:30,16.3,16.3,16.3,16.3,6473
2019-05-31 00:00:00+05:30,16.2,16.2,16.2,16.2,6473
2019-06-03 00:00:00+05:30,15.55,15.55,15.55,15.55,6473
2019-06-04 00:00:00+05:30,15.5,15.5,15.5,15.5,6473
2019-06-18 00:00:00+05:30,14.75,14.75,14.75,14.75,6473
2019-07-22 00:00:00+05:30,14.1,14.1,14.1,14.1,6473
2019-11-18 00:00:00+05:30,13.4,13.4,13.4,13.4,12946
2019-11-19 00:00:00+05:30,12.75,12.75,12.75,12.75,6473
2019-11-26 00:00:00+05:30,12.15,12.15,12.15,12.15,6473
2019-12-03 00:00:00+05:30,12.7,12.7,12.7,12.7,6473
2019-12-17 00:00:00+05:30,13.15,13.15,13.15,13.15,6473
2019-12-30 00:00:00+05:30,13.0,13.0,13.0,13.0,6473
2020-01-02 00:00:00+05:30,12.9,12.9,12.9,12.9,6473
2020-01-08 00:00:00+05:30,12.85,12.85,12.85,12.85,12946
2020-01-15 00:00:00+05:30,12.8,12.8,12.8,12.8,6473
2020-01-24 00:00:00+05:30,12.8,12.8,12.8,12.8,6473
2020-02-01 00:00:00+05:30,12.2,12.2,12.2,12.2,6473
2020-03-20 00:00:00+05:30,11.6,11.6,11.6,11.6,38839
2020-05-12 00:00:00+05:30,11.5,11.5,11.5,11.5,25892
2020-05-13 00:00:00+05:30,11.45,11.45,11.45,11.45,25892
2020-05-14 00:00:00+05:30,11.8,11.8,11.8,11.8,25892
2020-05-18 00:00:00+05:30,11.8,11.8,11.8,11.8,25892
2020-05-20 00:00:00+05:30,11.8,11.8,11.8,11.8,25892
2020-05-22 00:00:00+05:30,11.25,11.25,11.25,11.25,25892
2020-06-03 00:00:00+05:30,10.7,10.7,10.7,10.7,25892
2020-06-04 00:00:00+05:30,10.2,10.2,10.2,10.2,25892
2020-06-05 00:00:00+05:30,9.7,10.15,9.7,10.15,45312
2020-08-13 00:00:00+05:30,10.15,10.15,10.15,10.15,6473
2020-11-06 00:00:00+05:30,10.2,10.45,10.2,10.45,38839
2020-11-14 00:00:00+05:30,10.65,10.65,10.65,10.65,6473
2020-11-19 00:00:00+05:30,10.95,11.1,10.95,11.1,19419
2020-11-23 00:00:00+05:30,11.55,11.65,11.55,11.65,19419
2020-11-25 00:00:00+05:30,11.6,11.6,11.6,11.6,6473
2021-01-01 00:00:00+05:30,11.05,11.05,11.05,11.05,394859
