date,open,high,low,close,volume
2024-03-18 00:00:00+05:30,113.3,118.95,110.0,118.95,2440000
2024-03-19 00:00:00+05:30,121.95,124.85,113.0,116.9,752000
2024-03-20 00:00:00+05:30,113.0,120.0,111.05,111.15,369600
2024-03-21 00:00:00+05:30,113.0,115.95,105.6,105.8,260800
2024-03-22 00:00:00+05:30,101.55,106.45,100.55,103.75,160000
2024-03-26 00:00:00+05:30,103.75,104.45,100.0,103.8,105600
2024-03-27 00:00:00+05:30,103.5,103.95,98.65,98.85,113600
2024-03-28 00:00:00+05:30,96.0,103.75,96.0,103.5,116800
2024-04-01 00:00:00+05:30,108.6,108.65,104.2,108.65,54400
2024-04-02 00:00:00+05:30,114.0,114.05,108.0,114.05,75200
2024-04-03 00:00:00+05:30,117.0,124.9,111.6,114.35,224000
2024-04-04 00:00:00+05:30,117.9,120.0,111.0,112.25,91200
2024-04-05 00:00:00+05:30,111.05,116.9,108.65,112.3,80000
2024-04-08 00:00:00+05:30,112.3,116.0,111.0,112.4,64000
2024-04-09 00:00:00+05:30,112.4,112.4,108.0,108.65,67200
2024-04-10 00:00:00+05:30,106.1,113.95,106.1,113.55,68800
2024-04-12 00:00:00+05:30,113.9,136.25,110.0,136.25,1139200
2024-04-15 00:00:00+05:30,158.0,163.5,150.25,163.5,942400
2024-04-16 00:00:00+05:30,179.85,179.85,172.0,179.85,224000
2024-04-18 00:00:00+05:30,197.8,197.8,197.0,197.8,156800
2024-04-19 00:00:00+05:30,217.55,217.55,187.0,217.55,576000
2024-04-22 00:00:00+05:30,228.4,228.4,228.4,228.4,65600
2024-04-23 00:00:00+05:30,239.8,239.8,239.8,239.8,35200
2024-04-24 00:00:00+05:30,251.75,251.75,227.85,248.9,1217600
2024-04-25 00:00:00+05:30,255.0,255.15,236.45,239.25,328000
2024-04-26 00:00:00+05:30,238.0,240.0,227.3,227.3,112000
2024-04-29 00:00:00+05:30,216.6,238.65,216.6,238.65,113600
2024-04-30 00:00:00+05:30,250.55,250.55,250.55,250.55,28800
2024-05-02 00:00:00+05:30,263.05,263.05,251.5,263.05,302400
2024-05-03 00:00:00+05:30,276.2,276.2,274.4,276.2,99200
2024-05-06 00:00:00+05:30,290.0,290.0,290.0,290.0,27200
2024-05-07 00:00:00+05:30,304.5,304.5,304.5,304.5,54400
2024-05-08 00:00:00+05:30,319.7,319.7,319.7,319.7,24000
2024-05-09 00:00:00+05:30,335.65,335.65,303.75,311.45,534400
2024-05-10 00:00:00+05:30,317.0,317.0,295.9,296.95,398400
2024-05-13 00:00:00+05:30,303.0,311.75,298.5,311.75,292800
2024-05-14 00:00:00+05:30,322.0,327.3,322.0,327.3,52800
2024-05-15 00:00:00+05:30,343.65,343.65,343.65,343.65,8000
2024-05-16 00:00:00+05:30,360.8,360.8,360.8,360.8,9600
2024-05-17 00:00:00+05:30,378.8,378.8,378.8,378.8,4800
2024-05-18 00:00:00+05:30,397.7,397.7,383.0,397.7,150400
2024-05-21 00:00:00+05:30,417.0,417.0,377.85,389.35,435200
2024-05-22 00:00:00+05:30,408.8,408.8,397.05,408.8,128000
2024-05-23 00:00:00+05:30,429.2,429.2,429.15,429.2,80000
