date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,34.3,35.0,34.2,34.9,1374
2019-01-02 00:00:00+05:30,34.8,35.05,34.1,34.3,1349
2019-01-03 00:00:00+05:30,34.3,34.3,33.65,33.8,633
2019-01-04 00:00:00+05:30,34.0,34.7,33.8,34.65,2252
2019-01-07 00:00:00+05:30,35.0,35.1,33.65,34.1,1211
2019-01-08 00:00:00+05:30,34.5,35.3,34.4,35.25,11232
2019-01-09 00:00:00+05:30,35.3,35.3,34.5,35.15,21419
2019-01-10 00:00:00+05:30,35.1,35.55,34.8,35.2,1415
2019-01-11 00:00:00+05:30,35.1,35.25,34.85,34.95,9186
2019-01-14 00:00:00+05:30,34.9,35.2,34.6,34.8,1417
2019-01-15 00:00:00+05:30,35.25,38.1,34.75,34.8,14986
2019-01-16 00:00:00+05:30,34.5,35.5,31.7,35.2,17605
2019-01-17 00:00:00+05:30,35.6,35.6,34.4,34.4,1476
2019-01-18 00:00:00+05:30,34.3,35.5,33.95,34.7,3839
2019-01-21 00:00:00+05:30,34.2,34.3,33.5,33.8,2503
2019-01-22 00:00:00+05:30,33.5,34.45,33.15,33.45,2382
2019-01-23 00:00:00+05:30,33.35,33.65,32.9,33.05,3686
2019-01-24 00:00:00+05:30,33.2,33.25,32.95,33.05,976
2019-01-25 00:00:00+05:30,33.4,33.4,32.55,32.6,322
2019-01-28 00:00:00+05:30,32.2,32.55,31.5,32.05,1758
2019-01-29 00:00:00+05:30,32.5,32.9,31.95,32.5,4637
2019-01-30 00:00:00+05:30,32.65,32.9,32.3,32.65,727
2019-01-31 00:00:00+05:30,33.0,33.6,32.8,33.4,1408
2019-02-01 00:00:00+05:30,33.45,34.1,32.2,32.6,2363
2019-02-04 00:00:00+05:30,32.6,32.6,31.8,32.3,2437
2019-02-05 00:00:00+05:30,33.0,33.25,32.05,32.25,878
2019-02-06 00:00:00+05:30,33.0,33.0,32.0,32.5,344
2019-02-07 00:00:00+05:30,32.75,33.0,32.55,32.6,724
2019-02-08 00:00:00+05:30,32.2,32.3,31.9,32.0,815
2019-02-11 00:00:00+05:30,32.3,32.3,31.55,31.6,1025
2019-02-12 00:00:00+05:30,31.6,31.65,31.0,31.05,2606
2019-02-13 00:00:00+05:30,31.15,31.15,30.3,30.4,5943
2019-02-14 00:00:00+05:30,30.5,30.9,30.1,30.4,902
2019-02-15 00:00:00+05:30,30.8,30.8,29.7,29.8,11644
2019-02-18 00:00:00+05:30,29.8,30.15,29.4,29.5,1742
2019-02-19 00:00:00+05:30,30.0,30.3,29.5,29.8,545
2019-02-20 00:00:00+05:30,29.7,30.45,29.5,30.45,12816
2019-02-21 00:00:00+05:30,30.9,31.1,30.35,30.55,799
2019-02-22 00:00:00+05:30,30.6,30.75,30.5,30.7,19471
2019-02-25 00:00:00+05:30,30.6,30.75,30.4,30.75,14237
2019-02-26 00:00:00+05:30,30.3,30.3,29.8,30.2,26706
2019-02-27 00:00:00+05:30,30.65,31.0,30.1,30.25,17948
2019-02-28 00:00:00+05:30,30.45,30.75,30.35,30.45,11595
2019-03-01 00:00:00+05:30,31.0,31.4,30.95,31.3,441
2019-03-05 00:00:00+05:30,31.6,32.1,31.45,32.1,1795
2019-03-06 00:00:00+05:30,32.5,32.5,32.1,32.1,3910
2019-03-07 00:00:00+05:30,32.0,32.7,32.0,32.6,766
2019-03-08 00:00:00+05:30,32.75,32.75,32.5,32.55,795
2019-03-11 00:00:00+05:30,32.5,33.8,32.5,33.2,8367
2019-03-12 00:00:00+05:30,33.6,33.85,33.1,33.15,5058
2019-03-13 00:00:00+05:30,33.15,33.75,32.9,33.6,1703
2019-03-14 00:00:00+05:30,33.6,33.7,33.4,33.5,1063
2019-03-15 00:00:00+05:30,33.6,34.85,33.6,34.5,11379
2019-03-18 00:00:00+05:30,35.2,35.2,33.9,34.35,1085
2019-03-19 00:00:00+05:30,34.7,35.4,34.6,35.1,13903
2019-03-20 00:00:00+05:30,35.8,36.0,34.85,35.35,7346
2019-03-22 00:00:00+05:30,34.5,36.0,34.5,34.55,877
2019-03-25 00:00:00+05:30,34.15,35.0,33.9,34.1,214
2019-03-26 00:00:00+05:30,34.6,35.3,34.45,35.1,11540
2019-03-27 00:00:00+05:30,35.1,36.0,35.1,35.8,24437
2019-03-28 00:00:00+05:30,35.8,36.95,35.8,36.7,33912
2019-03-29 00:00:00+05:30,36.2,37.1,35.55,36.9,9539
2019-04-01 00:00:00+05:30,36.9,38.0,36.9,37.15,22623
2019-04-02 00:00:00+05:30,37.35,38.1,37.25,37.75,14914
2019-04-03 00:00:00+05:30,38.0,38.1,36.65,36.65,15864
2019-04-04 00:00:00+05:30,36.9,37.3,36.4,36.65,2870
2019-04-05 00:00:00+05:30,36.65,36.7,36.15,36.35,1143
2019-04-08 00:00:00+05:30,36.0,37.0,35.7,36.0,627
2019-04-09 00:00:00+05:30,35.95,36.6,35.5,36.4,1205
2019-04-10 00:00:00+05:30,36.4,36.7,36.2,36.2,304
2019-04-11 00:00:00+05:30,36.4,36.4,35.95,36.1,246
2019-04-12 00:00:00+05:30,36.6,36.6,35.75,36.3,561
2019-04-15 00:00:00+05:30,36.8,36.8,36.3,36.45,358
2019-04-16 00:00:00+05:30,36.8,36.8,35.4,36.3,521
2019-04-18 00:00:00+05:30,36.8,36.8,35.45,35.45,2544
2019-04-22 00:00:00+05:30,36.8,36.8,34.5,34.65,1435
2019-04-23 00:00:00+05:30,35.1,35.2,34.3,34.45,873
2019-04-24 00:00:00+05:30,35.4,35.4,34.35,34.9,866
2019-04-25 00:00:00+05:30,36.4,36.4,34.3,34.45,647
2019-04-26 00:00:00+05:30,35.4,35.4,33.8,34.8,1000
2019-04-30 00:00:00+05:30,35.0,35.0,33.3,33.6,5255
2019-05-02 00:00:00+05:30,33.7,34.15,33.4,33.85,4802
2019-05-03 00:00:00+05:30,35.3,35.3,33.0,34.15,451
2019-05-06 00:00:00+05:30,34.1,34.5,33.1,33.7,6234
2019-05-07 00:00:00+05:30,34.5,34.6,32.85,33.0,10908
2019-05-08 00:00:00+05:30,33.05,33.1,32.4,32.5,13911
2019-05-09 00:00:00+05:30,33.2,33.2,32.35,32.65,10335
2019-05-10 00:00:00+05:30,33.3,33.7,32.55,33.5,5289
2019-05-13 00:00:00+05:30,33.9,33.9,31.7,31.8,5145
2019-05-14 00:00:00+05:30,31.8,32.75,31.5,32.55,6914
2019-05-15 00:00:00+05:30,33.0,33.0,32.05,32.15,9968
2019-05-16 00:00:00+05:30,32.8,33.0,31.8,32.05,1406
2019-05-17 00:00:00+05:30,32.5,32.6,31.8,32.5,2260
2019-05-20 00:00:00+05:30,33.0,35.3,33.0,35.15,10333
2019-05-21 00:00:00+05:30,35.85,35.85,34.45,34.6,93942
2019-05-22 00:00:00+05:30,35.0,35.0,34.4,34.85,4923
2019-05-23 00:00:00+05:30,34.9,37.45,34.6,34.65,23835
2019-05-24 00:00:00+05:30,35.35,36.9,34.4,36.75,19290
2019-05-27 00:00:00+05:30,37.2,37.55,37.0,37.4,19143
2019-05-28 00:00:00+05:30,37.9,37.9,36.9,37.25,4812
2019-05-29 00:00:00+05:30,37.7,37.7,36.1,36.2,2257
2019-05-30 00:00:00+05:30,36.4,36.6,36.0,36.2,1422
2019-05-31 00:00:00+05:30,36.8,36.8,35.3,35.75,2414
2019-06-03 00:00:00+05:30,36.3,36.3,35.5,35.9,39086
2019-06-04 00:00:00+05:30,36.1,36.7,36.0,36.2,1549
2019-06-06 00:00:00+05:30,36.3,36.3,34.4,34.45,8666
2019-06-07 00:00:00+05:30,34.5,34.8,33.85,34.45,9296
2019-06-10 00:00:00+05:30,34.8,34.8,33.7,33.8,7081
2019-06-11 00:00:00+05:30,34.4,34.5,33.7,34.3,7451
2019-06-12 00:00:00+05:30,34.5,34.5,34.1,34.25,6654
2019-06-13 00:00:00+05:30,34.0,34.0,33.1,33.9,11660
2019-06-14 00:00:00+05:30,34.2,34.2,33.5,33.9,5754
2019-06-17 00:00:00+05:30,34.2,34.2,32.9,33.2,800
2019-06-18 00:00:00+05:30,33.9,33.9,33.05,33.1,379
2019-06-19 00:00:00+05:30,33.8,33.8,32.7,32.85,1481
2019-06-20 00:00:00+05:30,33.5,33.9,32.85,33.8,3128
2019-06-21 00:00:00+05:30,33.7,34.2,33.7,34.05,1079
2019-06-24 00:00:00+05:30,34.2,35.1,34.05,34.05,757
2019-06-25 00:00:00+05:30,34.4,34.45,33.7,34.1,11114
2019-06-26 00:00:00+05:30,34.5,35.2,34.3,34.95,11030
2019-06-27 00:00:00+05:30,35.3,35.3,34.9,34.95,3808
2019-06-28 00:00:00+05:30,35.2,35.95,35.15,35.55,13956
2019-07-01 00:00:00+05:30,35.9,35.9,35.1,35.35,2573
2019-07-02 00:00:00+05:30,35.55,35.6,35.1,35.2,913
2019-07-03 00:00:00+05:30,35.65,35.95,35.1,35.65,10389
2019-07-04 00:00:00+05:30,35.9,36.8,35.9,36.45,27513
2019-07-05 00:00:00+05:30,36.8,36.8,35.9,36.35,29321
2019-07-08 00:00:00+05:30,41.0,41.0,34.2,34.25,19498
2019-07-09 00:00:00+05:30,34.8,34.8,34.15,34.65,7315
2019-07-10 00:00:00+05:30,34.8,35.1,34.15,34.3,1656
2019-07-11 00:00:00+05:30,34.8,35.1,34.35,34.9,2229
2019-07-12 00:00:00+05:30,35.2,35.3,34.85,35.0,3055
2019-07-15 00:00:00+05:30,35.3,35.3,34.1,34.15,1407
2019-07-16 00:00:00+05:30,34.7,34.7,34.3,34.5,1445
2019-07-17 00:00:00+05:30,34.5,35.0,34.5,34.9,692
2019-07-18 00:00:00+05:30,34.55,34.75,33.95,34.0,1032
2019-07-19 00:00:00+05:30,34.0,34.0,33.1,33.25,3095
2019-07-22 00:00:00+05:30,33.25,33.5,32.8,33.1,3684
2019-07-23 00:00:00+05:30,32.95,33.15,31.9,32.15,9420
2019-07-24 00:00:00+05:30,32.2,32.2,31.4,31.5,1242
2019-07-25 00:00:00+05:30,31.8,31.8,30.9,31.15,3781
2019-07-26 00:00:00+05:30,31.5,32.1,31.5,31.6,6085
2019-07-29 00:00:00+05:30,31.9,31.9,31.15,31.45,2492
2019-07-30 00:00:00+05:30,31.45,31.5,29.9,29.95,4241
2019-07-31 00:00:00+05:30,30.1,30.5,29.85,30.35,10770
2019-08-01 00:00:00+05:30,30.45,30.45,29.15,29.75,2726
2019-08-02 00:00:00+05:30,29.55,30.0,29.0,29.35,1733
2019-08-05 00:00:00+05:30,29.0,29.35,27.8,29.1,32108
2019-08-06 00:00:00+05:30,29.5,29.5,28.85,29.15,3034
2019-08-07 00:00:00+05:30,29.55,29.55,28.1,28.25,1079
2019-08-08 00:00:00+05:30,28.3,28.75,27.95,28.6,2841
2019-08-09 00:00:00+05:30,29.0,29.9,28.4,28.6,2785
2019-08-13 00:00:00+05:30,28.6,28.85,27.9,27.9,2871
2019-08-14 00:00:00+05:30,28.1,28.35,27.9,28.3,1062
2019-08-16 00:00:00+05:30,28.3,28.8,27.85,28.6,12081
2019-08-19 00:00:00+05:30,28.35,28.75,27.45,28.55,1325
2019-08-20 00:00:00+05:30,28.9,29.1,27.65,27.8,1468
