date,open,high,low,close,volume
2019-02-25 00:00:00+05:30,8.25,8.5,8.25,8.5,8000
2019-02-26 00:00:00+05:30,8.5,8.5,8.5,8.5,4000
2019-02-27 00:00:00+05:30,8.7,8.75,8.7,8.75,8000
2019-03-08 00:00:00+05:30,8.75,8.75,8.75,8.75,4000
2019-03-22 00:00:00+05:30,8.35,8.35,8.35,8.35,4000
2019-03-25 00:00:00+05:30,7.05,8.25,7.05,8.25,28000
2019-03-26 00:00:00+05:30,8.0,9.0,8.0,8.4,36000
2019-03-29 00:00:00+05:30,9.0,9.6,9.0,9.6,8000
2019-04-02 00:00:00+05:30,9.5,9.5,9.5,9.5,4000
2019-04-03 00:00:00+05:30,9.25,9.25,9.25,9.25,4000
2019-04-05 00:00:00+05:30,9.45,9.65,9.45,9.65,32000
2019-04-10 00:00:00+05:30,10.1,10.8,10.1,10.8,28000
2019-04-15 00:00:00+05:30,9.75,9.75,9.75,9.75,4000
2019-04-16 00:00:00+05:30,9.75,9.75,9.75,9.75,4000
2019-04-18 00:00:00+05:30,9.75,9.75,9.75,9.75,4000
2019-04-23 00:00:00+05:30,10.0,10.0,10.0,10.0,4000
2019-04-24 00:00:00+05:30,10.75,11.25,10.75,11.25,8000
2019-05-03 00:00:00+05:30,11.5,11.5,11.5,11.5,4000
2019-05-09 00:00:00+05:30,10.75,10.75,10.75,10.75,4000
2019-05-27 00:00:00+05:30,10.0,10.0,10.0,10.0,4000
2019-05-31 00:00:00+05:30,10.25,10.25,10.25,10.25,4000
2019-06-03 00:00:00+05:30,10.5,10.5,10.5,10.5,4000
2019-06-04 00:00:00+05:30,10.05,10.5,10.05,10.5,8000
2019-07-02 00:00:00+05:30,9.5,9.5,9.5,9.5,4000
2019-07-08 00:00:00+05:30,9.95,9.95,9.95,9.95,4000
2019-07-10 00:00:00+05:30,10.4,10.45,10.4,10.45,8000
2019-07-11 00:00:00+05:30,10.0,10.2,10.0,10.2,8000
2019-07-17 00:00:00+05:30,10.25,10.25,10.0,10.0,8000
2019-07-19 00:00:00+05:30,10.45,10.5,10.45,10.45,8000
2019-07-22 00:00:00+05:30,10.0,10.0,10.0,10.0,4000
2019-07-24 00:00:00+05:30,9.45,9.45,9.45,9.45,4000
2019-07-25 00:00:00+05:30,10.15,10.8,10.15,10.8,8000
2019-08-22 00:00:00+05:30,10.5,10.5,10.0,10.0,8000
2019-09-06 00:00:00+05:30,9.5,9.5,9.5,9.5,4000
2019-09-19 00:00:00+05:30,9.95,9.95,9.95,9.95,4000
2019-09-23 00:00:00+05:30,10.35,10.35,10.35,10.35,4000
2019-09-24 00:00:00+05:30,11.6,11.6,10.0,10.0,28000
2019-09-25 00:00:00+05:30,10.5,10.5,10.0,10.0,16000
2019-10-07 00:00:00+05:30,10.5,10.5,10.5,10.5,8000
2019-10-11 00:00:00+05:30,10.5,10.5,10.5,10.5,8000
2019-10-15 00:00:00+05:30,11.0,11.7,11.0,11.35,16000
2019-10-17 00:00:00+05:30,11.5,11.5,10.5,11.45,40000
2019-10-25 00:00:00+05:30,11.5,11.5,11.5,11.5,8000
2019-10-29 00:00:00+05:30,11.0,11.0,11.0,11.0,8000
2019-10-30 00:00:00+05:30,11.0,11.0,11.0,11.0,8000
2019-11-01 00:00:00+05:30,10.5,10.5,10.5,10.5,16000
2019-11-15 00:00:00+05:30,11.0,11.0,11.0,11.0,8000
2019-11-18 00:00:00+05:30,11.45,11.45,11.45,11.45,8000
2019-11-26 00:00:00+05:30,10.5,11.45,10.5,11.45,24000
2019-11-28 00:00:00+05:30,11.0,11.0,11.0,11.0,8000
