date,open,high,low,close,volume
2019-01-09 00:00:00+05:30,3.95,3.95,3.8,3.9,49157
2019-01-10 00:00:00+05:30,3.8,3.9,3.75,3.75,86885
2019-01-11 00:00:00+05:30,3.85,3.85,3.7,3.8,40189
2019-01-14 00:00:00+05:30,3.75,3.95,3.75,3.9,117459
2019-01-15 00:00:00+05:30,3.8,4.05,3.8,4.05,27652
2019-01-16 00:00:00+05:30,4.1,4.2,3.95,4.1,90402
2019-01-17 00:00:00+05:30,4.1,4.1,3.9,4.0,156221
2019-01-18 00:00:00+05:30,4.0,4.05,3.8,3.8,196346
2019-01-21 00:00:00+05:30,3.75,3.9,3.75,3.8,33031
2019-01-22 00:00:00+05:30,3.75,3.9,3.75,3.85,30143
2019-01-23 00:00:00+05:30,3.85,3.85,3.7,3.75,100428
2019-01-24 00:00:00+05:30,3.75,3.85,3.7,3.75,33732
2019-01-25 00:00:00+05:30,3.75,3.85,3.6,3.65,106318
2019-01-28 00:00:00+05:30,3.75,3.8,3.65,3.65,127656
2019-01-29 00:00:00+05:30,3.6,3.75,3.55,3.65,31679
2019-01-30 00:00:00+05:30,3.7,3.75,3.55,3.6,67357
2019-01-31 00:00:00+05:30,3.55,3.65,3.5,3.5,148021
2019-02-01 00:00:00+05:30,3.55,3.6,3.45,3.55,119692
2019-02-04 00:00:00+05:30,3.6,3.7,3.4,3.65,178381
2019-02-05 00:00:00+05:30,3.65,3.7,3.55,3.55,31709
2019-02-06 00:00:00+05:30,3.55,3.55,3.4,3.4,154224
2019-02-07 00:00:00+05:30,3.4,3.45,3.2,3.4,103884
2019-02-08 00:00:00+05:30,3.55,3.7,3.4,3.7,121116
2019-02-11 00:00:00+05:30,3.85,3.9,3.5,3.55,167174
2019-02-12 00:00:00+05:30,3.5,3.6,3.45,3.45,56434
2019-02-13 00:00:00+05:30,3.5,3.65,3.45,3.55,57796
2019-02-14 00:00:00+05:30,3.6,3.6,3.5,3.55,35519
2019-02-15 00:00:00+05:30,3.6,3.65,3.45,3.5,37791
2019-02-18 00:00:00+05:30,3.5,3.65,3.4,3.45,58595
2019-02-19 00:00:00+05:30,3.45,3.5,3.4,3.5,43469
2019-02-20 00:00:00+05:30,3.5,3.5,3.25,3.45,66049
2019-02-21 00:00:00+05:30,3.45,3.55,3.35,3.55,36007
2019-02-22 00:00:00+05:30,3.55,3.6,3.35,3.5,97341
2019-02-25 00:00:00+05:30,3.45,3.85,3.4,3.85,198140
2019-02-26 00:00:00+05:30,3.7,3.7,3.7,3.7,9583
2019-02-27 00:00:00+05:30,3.7,3.7,3.55,3.55,41889
2019-02-28 00:00:00+05:30,3.55,3.7,3.45,3.55,9290
2019-03-01 00:00:00+05:30,3.55,3.7,3.45,3.55,32756
2019-03-05 00:00:00+05:30,3.7,3.7,3.5,3.65,55470
2019-03-06 00:00:00+05:30,3.7,3.8,3.7,3.8,27172
2019-03-07 00:00:00+05:30,3.75,3.85,3.75,3.8,66667
2019-03-08 00:00:00+05:30,3.75,3.9,3.65,3.8,38454
2019-03-11 00:00:00+05:30,3.9,3.9,3.7,3.8,30959
2019-03-12 00:00:00+05:30,3.85,3.9,3.7,3.8,49419
2019-03-13 00:00:00+05:30,3.7,3.9,3.7,3.75,13263
2019-03-14 00:00:00+05:30,3.85,3.85,3.7,3.7,20789
2019-03-15 00:00:00+05:30,3.7,3.7,3.65,3.65,20621
2019-03-18 00:00:00+05:30,3.6,3.7,3.5,3.65,34600
2019-03-19 00:00:00+05:30,3.5,3.65,3.5,3.5,86433
2019-03-20 00:00:00+05:30,3.5,3.6,3.45,3.55,32927
2019-03-22 00:00:00+05:30,3.45,3.6,3.4,3.45,62986
2019-03-25 00:00:00+05:30,3.4,3.55,3.3,3.5,146338
2019-03-26 00:00:00+05:30,3.5,3.5,3.35,3.35,9873
2019-03-27 00:00:00+05:30,3.35,3.4,3.25,3.25,58319
2019-03-28 00:00:00+05:30,3.4,3.4,3.2,3.4,411954
2019-03-29 00:00:00+05:30,3.4,3.55,3.35,3.45,75442
2019-04-01 00:00:00+05:30,3.3,3.55,3.3,3.55,29127
2019-04-02 00:00:00+05:30,3.45,3.7,3.4,3.45,73196
2019-04-03 00:00:00+05:30,3.45,3.5,3.4,3.4,5677
2019-04-04 00:00:00+05:30,3.35,3.5,3.35,3.35,6937
2019-04-05 00:00:00+05:30,3.3,3.5,3.3,3.5,68385
2019-04-08 00:00:00+05:30,3.4,3.55,3.35,3.4,15814
2019-04-30 00:00:00+05:30,3.3,3.3,3.25,3.25,964
2019-05-06 00:00:00+05:30,3.2,3.2,3.1,3.1,32619
2019-05-13 00:00:00+05:30,3.0,3.0,2.95,2.95,7549
2019-05-20 00:00:00+05:30,2.9,3.05,2.85,2.85,148327
2019-05-27 00:00:00+05:30,2.8,2.8,2.75,2.75,57175
2019-06-03 00:00:00+05:30,2.75,2.75,2.65,2.65,11449
2019-06-10 00:00:00+05:30,2.55,2.55,2.55,2.55,112461
2019-06-17 00:00:00+05:30,2.55,2.55,2.45,2.45,53434
2019-06-24 00:00:00+05:30,2.45,2.45,2.35,2.35,13940
2019-07-01 00:00:00+05:30,2.3,2.3,2.25,2.25,31616
