date,open,high,low,close,volume
2023-08-29 00:00:00+05:30,187.0,188.0,177.65,177.65,1905748
2023-08-30 00:00:00+05:30,168.8,168.8,168.8,168.8,345450
2023-08-31 00:00:00+05:30,164.1,176.8,164.1,166.85,1291997
2023-09-01 00:00:00+05:30,162.55,164.95,160.2,161.1,382825
2023-09-04 00:00:00+05:30,162.65,162.9,157.0,158.0,252434
2023-09-05 00:00:00+05:30,158.0,165.9,155.0,165.9,465461
2023-09-06 00:00:00+05:30,169.25,172.8,166.25,171.0,431036
2023-09-07 00:00:00+05:30,171.7,172.0,165.0,169.2,211994
2023-09-08 00:00:00+05:30,169.95,172.1,168.05,171.3,257871
2023-09-11 00:00:00+05:30,172.25,179.85,172.0,179.85,626700
2023-09-12 00:00:00+05:30,182.8,188.25,166.0,169.6,755485
2023-09-13 00:00:00+05:30,169.95,177.95,165.5,176.2,296944
2023-09-14 00:00:00+05:30,177.0,178.4,164.85,167.9,416683
2023-09-15 00:00:00+05:30,170.0,176.0,166.95,168.4,367073
2023-09-18 00:00:00+05:30,171.85,171.85,167.05,167.75,309635
2023-09-20 00:00:00+05:30,167.05,169.2,164.0,164.75,170966
2023-09-21 00:00:00+05:30,165.2,171.95,164.5,167.95,301211
2023-09-22 00:00:00+05:30,167.65,168.65,163.0,164.6,220935
2023-09-25 00:00:00+05:30,166.0,168.85,163.8,164.7,127714
2023-09-26 00:00:00+05:30,165.95,167.5,163.9,164.45,78857
2023-09-27 00:00:00+05:30,164.45,165.0,162.5,163.35,110823
2023-09-28 00:00:00+05:30,163.2,175.9,163.2,171.05,744669
2023-09-29 00:00:00+05:30,174.65,180.6,172.85,175.0,725895
2023-10-03 00:00:00+05:30,175.0,179.75,171.65,172.5,327401
2023-10-04 00:00:00+05:30,170.9,172.15,167.25,170.3,489704
2023-10-05 00:00:00+05:30,174.95,174.95,168.35,170.4,168592
2023-10-06 00:00:00+05:30,171.0,173.95,169.05,170.05,241597
2023-10-09 00:00:00+05:30,170.0,183.05,167.5,176.05,684551
2023-10-10 00:00:00+05:30,180.0,192.85,178.75,184.7,1819714
2023-10-11 00:00:00+05:30,191.0,194.0,186.2,192.1,1413564
2023-10-12 00:00:00+05:30,194.5,200.85,191.25,193.05,1161913
2023-10-13 00:00:00+05:30,192.85,208.9,190.7,204.5,1272407
2023-10-16 00:00:00+05:30,206.5,213.95,202.8,208.85,856491
2023-10-17 00:00:00+05:30,214.0,214.0,204.5,208.2,718842
2023-10-18 00:00:00+05:30,207.95,215.55,206.0,212.9,924220
2023-10-19 00:00:00+05:30,212.0,229.85,206.5,228.0,1081091
2023-10-20 00:00:00+05:30,228.7,239.35,220.2,221.95,1023688
2023-10-23 00:00:00+05:30,225.0,231.5,206.0,207.1,688931
2023-10-25 00:00:00+05:30,210.8,214.8,199.0,202.45,413695
2023-10-26 00:00:00+05:30,201.65,214.0,191.25,212.1,871273
2023-10-27 00:00:00+05:30,213.05,218.45,209.3,212.45,583532
2023-10-30 00:00:00+05:30,220.0,220.0,209.0,210.85,573707
2023-10-31 00:00:00+05:30,211.25,215.75,206.5,208.15,233239
2023-11-01 00:00:00+05:30,209.4,224.4,209.4,218.75,549975
2023-11-02 00:00:00+05:30,221.8,223.0,216.05,218.15,236422
2023-11-03 00:00:00+05:30,219.8,232.8,214.05,226.15,689142
2023-11-06 00:00:00+05:30,229.4,234.0,223.0,224.85,374443
2023-11-07 00:00:00+05:30,225.6,229.7,218.4,222.0,214529
2023-11-08 00:00:00+05:30,224.0,235.6,223.05,229.95,848598
2023-11-09 00:00:00+05:30,217.05,224.2,211.0,213.45,487211
2023-11-10 00:00:00+05:30,213.05,213.05,206.0,206.35,313669
2023-11-12 00:00:00+05:30,209.7,212.0,207.0,207.9,80520
2023-11-13 00:00:00+05:30,208.15,210.55,197.1,202.9,414117
2023-11-15 00:00:00+05:30,204.95,208.7,203.35,204.3,168518
2023-11-16 00:00:00+05:30,205.65,207.7,199.55,200.25,266605
2023-11-17 00:00:00+05:30,200.15,206.9,200.15,205.75,249044
2023-11-20 00:00:00+05:30,206.7,209.8,201.0,202.0,159444
2023-11-21 00:00:00+05:30,205.0,207.15,201.15,202.1,98202
2023-11-22 00:00:00+05:30,202.95,204.95,198.3,200.45,161798
2023-11-23 00:00:00+05:30,201.7,203.55,197.7,199.2,112313
2023-11-24 00:00:00+05:30,199.9,209.8,199.85,205.95,293303
2023-11-28 00:00:00+05:30,206.9,211.7,203.95,205.7,173046
2023-11-29 00:00:00+05:30,207.6,207.65,202.7,203.45,126949
2023-11-30 00:00:00+05:30,202.25,205.4,199.7,202.8,177792
2023-12-01 00:00:00+05:30,204.65,204.65,198.0,198.2,208717
2023-12-04 00:00:00+05:30,201.1,201.1,190.0,192.85,283526
2023-12-05 00:00:00+05:30,192.85,193.2,188.15,190.9,312956
2023-12-06 00:00:00+05:30,192.25,198.7,192.2,197.9,221489
2023-12-07 00:00:00+05:30,198.85,204.4,194.5,195.85,533117
2023-12-08 00:00:00+05:30,196.0,198.8,188.9,191.05,225136
2023-12-11 00:00:00+05:30,192.25,195.7,190.1,192.25,161101
2023-12-12 00:00:00+05:30,193.6,197.4,193.0,196.0,219719
2023-12-13 00:00:00+05:30,197.0,198.4,195.1,196.5,178513
2023-12-14 00:00:00+05:30,197.0,198.1,191.8,193.15,131135
2023-12-15 00:00:00+05:30,194.1,195.5,190.2,191.4,160454
2023-12-18 00:00:00+05:30,192.2,208.9,190.05,195.65,646010
2023-12-19 00:00:00+05:30,196.65,205.95,195.9,199.25,470196
2023-12-20 00:00:00+05:30,201.0,202.45,190.3,191.3,301583
2023-12-21 00:00:00+05:30,190.75,195.25,189.45,192.35,135911
2023-12-22 00:00:00+05:30,193.3,195.0,191.6,192.9,125331
2023-12-26 00:00:00+05:30,197.35,200.5,194.3,195.85,168389
2023-12-27 00:00:00+05:30,196.9,201.2,194.4,196.15,145297
2023-12-28 00:00:00+05:30,197.5,197.75,193.55,194.6,89249
2023-12-29 00:00:00+05:30,195.3,195.3,192.0,192.55,126316
2024-01-01 00:00:00+05:30,193.35,194.7,192.0,192.4,99401
