date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,50.9,50.9,50.1,50.45,9396
2019-01-02 00:00:00+05:30,50.25,50.55,49.75,50.2,5457
2019-01-03 00:00:00+05:30,50.45,50.45,49.1,49.45,4687
2019-01-04 00:00:00+05:30,49.95,49.95,49.1,49.45,6578
2019-01-07 00:00:00+05:30,49.15,49.9,48.8,49.0,14050
2019-01-08 00:00:00+05:30,49.05,49.75,48.15,48.45,12649
2019-01-09 00:00:00+05:30,48.9,48.9,47.4,48.4,7459
2019-01-10 00:00:00+05:30,48.8,48.8,47.75,48.0,7629
2019-01-11 00:00:00+05:30,48.8,48.8,47.2,47.6,4718
2019-01-14 00:00:00+05:30,47.7,47.8,46.6,47.0,37459
2019-01-15 00:00:00+05:30,47.35,48.0,46.9,47.4,7945
2019-01-16 00:00:00+05:30,47.8,47.8,47.2,47.6,3783
2019-01-17 00:00:00+05:30,48.3,48.3,47.05,47.2,5523
2019-01-18 00:00:00+05:30,48.15,48.15,46.9,46.95,2876
2019-01-21 00:00:00+05:30,47.8,47.8,46.5,46.75,3961
2019-01-22 00:00:00+05:30,46.75,47.1,44.25,44.6,7741
2019-01-23 00:00:00+05:30,44.6,46.2,44.0,45.6,15536
2019-01-24 00:00:00+05:30,46.4,46.4,44.3,45.6,25065
2019-01-25 00:00:00+05:30,45.1,46.05,44.15,44.5,32235
2019-01-28 00:00:00+05:30,43.85,46.4,42.9,45.25,13679
2019-01-29 00:00:00+05:30,45.3,46.9,44.95,46.2,17829
2019-01-30 00:00:00+05:30,47.05,47.2,45.35,46.65,7509
2019-01-31 00:00:00+05:30,46.1,47.75,45.15,46.65,13606
2019-02-01 00:00:00+05:30,47.5,47.65,46.4,47.2,9481
2019-02-04 00:00:00+05:30,47.85,47.85,45.3,45.7,5487
2019-02-05 00:00:00+05:30,45.6,45.95,44.15,44.4,4751
2019-02-06 00:00:00+05:30,44.15,44.35,43.35,43.6,4304
2019-02-07 00:00:00+05:30,44.0,45.1,43.85,44.35,24918
2019-02-08 00:00:00+05:30,44.35,45.2,43.4,44.45,2951
2019-02-11 00:00:00+05:30,49.2,49.2,43.4,45.15,6555
2019-02-12 00:00:00+05:30,45.15,45.75,44.1,45.65,4511
2019-02-13 00:00:00+05:30,45.6,46.25,45.3,45.65,2889
2019-02-14 00:00:00+05:30,46.4,46.4,45.45,45.75,2697
2019-02-15 00:00:00+05:30,46.15,46.15,44.0,44.65,6178
2019-02-18 00:00:00+05:30,46.85,46.85,44.8,44.95,7410
2019-02-19 00:00:00+05:30,45.4,45.9,44.5,44.55,7904
2019-02-20 00:00:00+05:30,46.35,51.75,43.2,44.1,284256
2019-02-21 00:00:00+05:30,45.1,46.25,44.0,44.65,112287
2019-02-22 00:00:00+05:30,44.55,44.55,43.7,43.95,72099
2019-02-25 00:00:00+05:30,44.4,44.8,42.75,43.85,74533
2019-02-26 00:00:00+05:30,44.2,44.2,41.55,43.05,94494
2019-02-27 00:00:00+05:30,43.4,43.4,42.3,43.15,40272
2019-02-28 00:00:00+05:30,43.05,43.9,42.1,43.05,252793
2019-03-01 00:00:00+05:30,43.4,43.8,42.4,42.85,31530
2019-03-05 00:00:00+05:30,43.6,46.4,38.95,44.5,957784
2019-03-06 00:00:00+05:30,45.5,45.5,44.4,44.9,69063
2019-03-07 00:00:00+05:30,45.55,47.3,44.7,46.75,1066840
2019-03-08 00:00:00+05:30,46.75,47.3,45.7,46.7,73967
2019-03-11 00:00:00+05:30,46.75,48.2,46.4,46.75,139735
2019-03-12 00:00:00+05:30,48.0,48.8,46.8,48.05,950856
2019-03-13 00:00:00+05:30,48.8,49.35,47.3,48.2,741541
2019-03-14 00:00:00+05:30,49.55,49.75,47.85,48.75,213195
2019-03-15 00:00:00+05:30,49.5,50.4,48.15,49.1,139842
2019-03-18 00:00:00+05:30,49.1,49.6,47.4,48.2,66226
2019-03-19 00:00:00+05:30,48.0,48.9,47.6,48.65,51824
2019-03-20 00:00:00+05:30,49.55,49.55,48.1,48.3,99802
2019-03-22 00:00:00+05:30,49.5,49.5,48.1,48.5,37020
2019-03-25 00:00:00+05:30,48.65,48.65,45.2,46.1,42053
2019-03-26 00:00:00+05:30,45.2,48.0,43.6,47.0,359653
2019-03-27 00:00:00+05:30,46.8,47.05,45.6,46.0,50588
2019-03-28 00:00:00+05:30,46.6,49.5,46.0,47.85,117369
2019-03-29 00:00:00+05:30,48.0,48.15,46.2,46.45,210949
2019-04-01 00:00:00+05:30,47.9,47.9,46.2,46.8,47048
2019-04-02 00:00:00+05:30,47.2,47.2,45.3,45.9,63928
2019-04-03 00:00:00+05:30,46.35,46.4,45.45,45.65,25252
2019-04-04 00:00:00+05:30,46.1,46.1,44.85,45.5,26940
2019-04-05 00:00:00+05:30,45.55,47.2,45.0,46.95,47713
2019-04-08 00:00:00+05:30,46.95,47.95,44.45,45.35,79072
2019-04-09 00:00:00+05:30,45.6,46.4,45.5,46.1,34458
2019-04-10 00:00:00+05:30,46.4,47.85,45.85,47.15,51798
2019-04-11 00:00:00+05:30,47.15,47.2,45.3,45.55,55980
2019-04-12 00:00:00+05:30,45.8,46.5,45.5,45.85,43534
2019-04-15 00:00:00+05:30,46.3,46.5,45.4,45.55,73215
2019-04-16 00:00:00+05:30,46.35,46.35,45.1,45.5,31514
2019-04-18 00:00:00+05:30,45.75,45.9,44.8,45.4,35328
