date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,60.6,60.9,60.35,60.5,135
2019-01-02 00:00:00+05:30,60.25,61.9,58.4,60.35,32649
2019-01-03 00:00:00+05:30,60.1,61.5,59.15,59.65,3235
2019-01-04 00:00:00+05:30,60.65,60.95,58.75,59.5,21008
2019-01-07 00:00:00+05:30,59.55,60.45,59.0,59.2,13336
2019-01-08 00:00:00+05:30,61.25,61.25,58.15,59.6,29923
2019-01-09 00:00:00+05:30,60.55,63.0,58.3,60.9,77887
2019-01-10 00:00:00+05:30,63.1,63.1,60.3,61.35,43995
2019-01-11 00:00:00+05:30,62.05,62.4,61.0,61.85,5990
2019-01-14 00:00:00+05:30,61.8,62.45,61.0,61.25,5091
2019-01-15 00:00:00+05:30,61.65,62.4,61.05,61.45,24484
2019-01-16 00:00:00+05:30,61.05,61.15,59.25,59.75,8221
2019-01-17 00:00:00+05:30,59.85,60.05,59.2,59.6,8630
2019-01-18 00:00:00+05:30,60.0,61.55,59.0,59.8,28406
2019-01-21 00:00:00+05:30,59.25,60.85,57.35,57.85,7006
2019-01-22 00:00:00+05:30,58.0,59.85,56.7,58.95,5329
2019-01-23 00:00:00+05:30,58.25,58.5,57.3,58.05,2735
2019-01-24 00:00:00+05:30,58.45,60.0,57.15,58.9,3461
2019-01-25 00:00:00+05:30,60.2,60.2,56.25,56.6,3465
2019-01-28 00:00:00+05:30,56.25,58.2,55.6,56.95,6739
2019-01-29 00:00:00+05:30,59.35,59.4,56.15,57.75,5376
2019-01-30 00:00:00+05:30,57.05,59.45,55.25,58.15,6311
2019-01-31 00:00:00+05:30,58.05,60.25,57.6,58.8,11156
2019-02-01 00:00:00+05:30,57.85,60.0,57.8,58.8,26674
2019-02-04 00:00:00+05:30,60.5,60.5,57.25,57.45,2739
2019-02-05 00:00:00+05:30,57.25,58.85,56.15,56.4,2856
2019-02-06 00:00:00+05:30,56.45,58.45,56.0,56.7,3586
2019-02-07 00:00:00+05:30,56.2,58.55,54.1,55.35,25576
2019-02-08 00:00:00+05:30,57.85,57.85,53.3,55.05,6614
2019-02-11 00:00:00+05:30,56.0,56.95,54.25,55.9,14286
2019-02-12 00:00:00+05:30,56.45,58.2,52.55,54.2,3561
2019-02-13 00:00:00+05:30,53.55,55.95,51.1,51.7,10516
2019-02-14 00:00:00+05:30,51.05,56.0,50.4,54.6,13023
2019-02-15 00:00:00+05:30,54.25,55.65,51.5,51.95,2822
2019-02-18 00:00:00+05:30,54.9,54.9,48.35,49.55,6657
2019-02-19 00:00:00+05:30,51.0,51.45,48.0,50.85,17557
2019-02-20 00:00:00+05:30,50.95,52.9,48.5,49.35,9712
2019-02-21 00:00:00+05:30,50.3,52.45,48.5,51.7,14391
2019-02-22 00:00:00+05:30,53.95,54.75,50.3,53.35,9606
2019-02-25 00:00:00+05:30,55.5,55.5,50.8,51.85,3070
2019-02-26 00:00:00+05:30,51.55,52.8,49.25,51.75,3916
2019-02-27 00:00:00+05:30,52.8,54.4,51.1,51.55,1755
2019-02-28 00:00:00+05:30,51.25,54.2,50.15,51.2,29556
2019-03-01 00:00:00+05:30,52.1,52.8,50.25,51.25,47057
2019-03-05 00:00:00+05:30,55.95,55.95,50.2,54.95,93649
2019-03-06 00:00:00+05:30,55.05,58.9,55.0,57.95,35579
2019-03-07 00:00:00+05:30,57.25,61.9,56.7,59.65,77714
2019-03-08 00:00:00+05:30,61.35,61.35,55.75,57.75,4541
2019-03-11 00:00:00+05:30,57.8,60.0,57.75,59.35,41267
2019-03-12 00:00:00+05:30,61.75,61.75,59.3,59.5,8838
2019-03-13 00:00:00+05:30,59.0,62.0,57.75,59.95,35543
2019-03-14 00:00:00+05:30,59.05,60.55,58.55,60.0,35512
2019-03-15 00:00:00+05:30,59.2,61.8,58.55,60.0,45527
2019-03-18 00:00:00+05:30,60.8,60.8,57.2,57.4,4522
2019-03-19 00:00:00+05:30,59.45,59.45,57.0,57.45,4412
2019-03-20 00:00:00+05:30,58.0,58.0,56.1,56.5,6713
2019-03-22 00:00:00+05:30,58.0,58.0,56.1,57.25,6788
2019-03-25 00:00:00+05:30,57.9,57.95,54.35,54.95,15602
2019-03-26 00:00:00+05:30,56.85,56.9,53.7,54.75,6524
2019-03-27 00:00:00+05:30,53.9,56.05,53.85,55.5,18502
