date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,1.25,1.25,1.25,1.25,260475
2019-01-02 00:00:00+05:30,1.2,1.25,1.2,1.25,604350
2019-01-03 00:00:00+05:30,1.25,1.25,1.2,1.2,392925
2019-01-04 00:00:00+05:30,1.25,1.25,1.25,1.25,2820375
2019-01-07 00:00:00+05:30,1.25,1.3,1.25,1.3,6681225
2019-01-08 00:00:00+05:30,1.25,1.3,1.25,1.3,2808375
2019-01-09 00:00:00+05:30,1.3,1.3,1.3,1.3,2916075
2019-01-10 00:00:00+05:30,1.3,1.3,1.3,1.3,2179875
2019-01-11 00:00:00+05:30,1.3,1.3,1.3,1.3,1339500
2019-01-14 00:00:00+05:30,1.35,1.35,1.3,1.3,7385400
2019-01-15 00:00:00+05:30,1.35,1.35,1.3,1.35,10590525
2019-01-16 00:00:00+05:30,1.4,1.4,1.35,1.35,5220750
2019-01-17 00:00:00+05:30,1.35,1.35,1.3,1.3,2153550
2019-01-18 00:00:00+05:30,1.3,1.35,1.3,1.35,4039650
2019-01-21 00:00:00+05:30,1.35,1.4,1.35,1.35,2665800
2019-01-22 00:00:00+05:30,1.35,1.4,1.35,1.35,2434350
2019-01-23 00:00:00+05:30,1.4,1.4,1.35,1.35,958650
2019-01-24 00:00:00+05:30,1.35,1.4,1.35,1.4,3522825
2019-01-25 00:00:00+05:30,1.4,1.45,1.35,1.45,7605675
2019-01-28 00:00:00+05:30,1.45,1.45,1.4,1.4,1876950
2019-01-29 00:00:00+05:30,1.35,1.4,1.35,1.35,332325
2019-01-30 00:00:00+05:30,1.35,1.35,1.3,1.35,1739925
2019-01-31 00:00:00+05:30,1.35,1.4,1.35,1.35,927450
2019-02-01 00:00:00+05:30,1.35,1.4,1.35,1.35,966450
2019-02-04 00:00:00+05:30,1.4,1.4,1.3,1.35,2893200
2019-02-05 00:00:00+05:30,1.35,1.35,1.3,1.3,12245100
2019-02-06 00:00:00+05:30,1.3,1.35,1.25,1.3,11106375
2019-02-07 00:00:00+05:30,1.25,1.3,1.2,1.2,892500
2019-02-08 00:00:00+05:30,1.2,1.25,1.15,1.2,372450
2019-02-11 00:00:00+05:30,1.2,1.25,1.15,1.15,1255350
2019-02-12 00:00:00+05:30,1.2,1.2,1.1,1.1,3243675
2019-02-13 00:00:00+05:30,1.15,1.2,1.1,1.2,5422425
2019-02-14 00:00:00+05:30,1.25,1.25,1.15,1.2,2148375
2019-02-15 00:00:00+05:30,1.2,1.25,1.15,1.2,2561025
2019-02-18 00:00:00+05:30,1.25,1.25,1.2,1.25,6769800
2019-02-19 00:00:00+05:30,1.25,1.35,1.2,1.25,4460325
2019-02-20 00:00:00+05:30,1.25,1.3,1.25,1.3,8180250
2019-02-21 00:00:00+05:30,1.3,1.35,1.25,1.25,5065650
2019-02-22 00:00:00+05:30,1.25,1.3,1.25,1.25,829425
2019-02-25 00:00:00+05:30,1.25,1.3,1.2,1.25,773775
2019-02-26 00:00:00+05:30,1.25,1.25,1.2,1.2,1009800
2019-02-27 00:00:00+05:30,1.25,1.25,1.1,1.15,2280975
2019-02-28 00:00:00+05:30,1.25,1.3,1.15,1.3,6224175
2019-03-01 00:00:00+05:30,1.3,1.3,1.2,1.2,3031050
2019-03-05 00:00:00+05:30,1.3,1.3,1.2,1.3,7953825
2019-03-06 00:00:00+05:30,1.25,1.3,1.25,1.3,722550
2019-03-07 00:00:00+05:30,1.3,1.3,1.3,1.3,3676125
2019-03-08 00:00:00+05:30,1.3,1.3,1.25,1.3,1738500
2019-03-11 00:00:00+05:30,1.3,1.3,1.3,1.3,1294950
2019-03-12 00:00:00+05:30,1.3,1.3,1.25,1.3,866475
2019-03-13 00:00:00+05:30,1.3,1.3,1.25,1.25,76800
2019-03-14 00:00:00+05:30,1.3,1.3,1.25,1.25,517125
2019-03-15 00:00:00+05:30,1.3,1.35,1.25,1.25,15910125
2019-03-18 00:00:00+05:30,1.3,1.3,1.25,1.3,4019850
2019-03-19 00:00:00+05:30,1.3,1.35,1.3,1.35,16486275
2019-03-20 00:00:00+05:30,1.35,1.35,1.35,1.35,5462700
2019-03-22 00:00:00+05:30,1.35,1.4,1.35,1.4,10477125
2019-03-25 00:00:00+05:30,1.4,1.4,1.35,1.4,19581300
2019-03-26 00:00:00+05:30,1.4,1.4,1.3,1.4,8545650
2019-03-27 00:00:00+05:30,1.4,1.45,1.4,1.45,36437175
2019-03-28 00:00:00+05:30,1.45,1.45,1.4,1.45,3683550
2019-03-29 00:00:00+05:30,1.45,1.55,1.45,1.5,9232875
2019-04-01 00:00:00+05:30,1.55,1.55,1.5,1.55,3730800
2019-04-02 00:00:00+05:30,1.55,1.55,1.5,1.5,1627875
2019-04-03 00:00:00+05:30,1.55,1.6,1.55,1.55,6399750
2019-04-04 00:00:00+05:30,1.55,1.55,1.55,1.55,3951225
2019-04-05 00:00:00+05:30,1.6,1.6,1.5,1.55,11038050
2019-04-08 00:00:00+05:30,1.55,1.55,1.5,1.55,2719425
2019-04-09 00:00:00+05:30,1.55,1.65,1.45,1.6,18504825
2019-04-10 00:00:00+05:30,1.65,1.65,1.6,1.6,5388525
2019-04-11 00:00:00+05:30,1.65,1.65,1.6,1.6,10730025
2019-04-12 00:00:00+05:30,1.65,1.65,1.6,1.6,1483725
2019-04-15 00:00:00+05:30,1.7,1.7,1.6,1.65,19315050
2019-04-16 00:00:00+05:30,1.65,1.7,1.6,1.65,5913975
2019-04-18 00:00:00+05:30,1.7,1.7,1.45,1.5,8746950
2019-04-22 00:00:00+05:30,1.45,1.5,1.4,1.5,11550525
2019-04-23 00:00:00+05:30,1.5,1.5,1.35,1.35,4064175
2019-04-24 00:00:00+05:30,1.4,1.4,1.4,1.4,2525100
2019-04-25 00:00:00+05:30,1.4,1.45,1.35,1.4,15683250
2019-04-26 00:00:00+05:30,1.4,1.45,1.35,1.35,10060800
2019-04-30 00:00:00+05:30,1.4,1.4,1.35,1.35,5235675
2019-05-02 00:00:00+05:30,1.35,1.4,1.35,1.35,5439375
2019-05-03 00:00:00+05:30,1.35,1.35,1.3,1.3,1888125
2019-05-06 00:00:00+05:30,1.3,1.4,1.15,1.35,9662100
2019-05-07 00:00:00+05:30,1.35,1.45,1.35,1.35,8555100
2019-05-08 00:00:00+05:30,1.35,1.4,1.35,1.35,2061525
2019-05-09 00:00:00+05:30,1.35,1.6,1.3,1.35,22275825
2019-05-10 00:00:00+05:30,1.4,1.5,1.3,1.35,24863325
2019-05-13 00:00:00+05:30,1.3,1.35,1.3,1.3,14782350
2019-05-14 00:00:00+05:30,1.3,1.45,1.3,1.3,18027675
2019-05-15 00:00:00+05:30,1.3,1.3,1.2,1.25,8481000
2019-05-16 00:00:00+05:30,1.25,1.5,1.25,1.5,65704500
2019-05-17 00:00:00+05:30,1.5,1.55,1.4,1.5,73824600
2019-05-20 00:00:00+05:30,1.5,1.55,1.5,1.55,11354775
2019-05-21 00:00:00+05:30,1.5,1.55,1.35,1.35,19887750
2019-05-22 00:00:00+05:30,1.35,1.4,1.3,1.35,9847575
2019-05-23 00:00:00+05:30,1.4,1.45,1.35,1.4,8875725
2019-05-24 00:00:00+05:30,1.4,1.45,1.4,1.4,5187450
2019-05-27 00:00:00+05:30,1.45,1.45,1.4,1.4,2140500
2019-05-28 00:00:00+05:30,1.45,1.5,1.4,1.45,12147300
2019-05-29 00:00:00+05:30,1.5,1.55,1.35,1.35,18195600
2019-05-30 00:00:00+05:30,1.4,1.4,1.3,1.35,2456250
2019-05-31 00:00:00+05:30,1.35,1.35,1.3,1.3,1272450
2019-06-03 00:00:00+05:30,1.3,1.3,1.3,1.3,943500
2019-06-04 00:00:00+05:30,1.3,1.35,1.25,1.3,8461575
2019-06-06 00:00:00+05:30,1.3,1.35,1.25,1.25,1249725
2019-06-07 00:00:00+05:30,1.25,1.3,1.25,1.25,4589625
2019-06-10 00:00:00+05:30,1.25,1.3,1.25,1.25,6136350
2019-06-11 00:00:00+05:30,1.25,1.35,1.25,1.35,20660250
2019-06-12 00:00:00+05:30,1.35,1.55,1.35,1.35,9408900
2019-06-13 00:00:00+05:30,1.35,1.4,1.35,1.35,6274800
2019-06-14 00:00:00+05:30,1.4,1.4,1.35,1.35,7016025
2019-06-17 00:00:00+05:30,1.4,1.4,1.25,1.3,9492150
2019-06-18 00:00:00+05:30,1.25,1.35,1.25,1.25,11303025
2019-06-19 00:00:00+05:30,1.3,1.3,1.2,1.2,5049150
2019-06-20 00:00:00+05:30,1.2,1.25,1.2,1.2,6143100
2019-06-21 00:00:00+05:30,1.25,1.25,1.15,1.2,4694475
2019-06-24 00:00:00+05:30,1.2,1.2,1.2,1.2,303900
2019-06-25 00:00:00+05:30,1.2,1.25,1.1,1.25,10908450
2019-06-26 00:00:00+05:30,1.25,1.25,1.2,1.25,2247600
2019-06-27 00:00:00+05:30,1.25,1.25,1.2,1.25,2346975
2019-06-28 00:00:00+05:30,1.25,1.3,1.2,1.25,2788650
2019-07-01 00:00:00+05:30,1.25,1.25,1.2,1.2,1127100
2019-07-02 00:00:00+05:30,1.2,1.25,1.2,1.2,2132850
2019-07-03 00:00:00+05:30,1.25,1.25,1.2,1.2,2523375
2019-07-04 00:00:00+05:30,1.2,1.2,1.15,1.15,757200
2019-07-05 00:00:00+05:30,1.2,1.2,1.15,1.15,519525
2019-07-08 00:00:00+05:30,1.15,1.15,1.05,1.1,852750
2019-07-09 00:00:00+05:30,1.05,1.1,1.05,1.1,689925
2019-07-10 00:00:00+05:30,1.1,1.1,1.05,1.05,838950
2019-07-11 00:00:00+05:30,1.05,1.15,1.05,1.15,8215050
2019-07-12 00:00:00+05:30,1.1,1.15,1.05,1.1,3038400
2019-07-15 00:00:00+05:30,1.05,1.15,1.05,1.1,6873150
2019-07-16 00:00:00+05:30,1.15,1.25,1.15,1.2,40230525
2019-07-17 00:00:00+05:30,1.2,1.25,1.05,1.05,25858800
2019-07-18 00:00:00+05:30,1.1,1.1,1.0,1.05,20029500
2019-07-19 00:00:00+05:30,1.1,1.1,1.0,1.0,3790650
2019-07-22 00:00:00+05:30,1.05,1.05,0.8,0.8,17153475
2019-07-23 00:00:00+05:30,0.8,0.9,0.75,0.8,20716425
2019-07-24 00:00:00+05:30,0.8,0.8,0.7,0.75,6118350
2019-07-25 00:00:00+05:30,0.75,0.75,0.7,0.7,4868025
2019-07-26 00:00:00+05:30,0.7,0.8,0.7,0.75,12532200
2019-07-29 00:00:00+05:30,0.8,0.8,0.75,0.8,17151075
2019-07-30 00:00:00+05:30,0.85,0.85,0.75,0.8,1603125
2019-07-31 00:00:00+05:30,0.8,0.8,0.75,0.8,578550
2019-08-01 00:00:00+05:30,0.8,0.8,0.75,0.75,1005675
2019-08-02 00:00:00+05:30,0.75,0.75,0.75,0.75,1091100
2019-08-05 00:00:00+05:30,0.7,0.7,0.7,0.7,1313625
2019-08-06 00:00:00+05:30,0.7,0.7,0.65,0.7,1758375
2019-08-07 00:00:00+05:30,0.7,0.75,0.7,0.75,496275
2019-08-08 00:00:00+05:30,0.75,0.85,0.7,0.8,6624750
2019-08-09 00:00:00+05:30,0.8,0.8,0.75,0.75,1330050
2019-08-13 00:00:00+05:30,0.75,0.75,0.7,0.7,306750
2019-08-14 00:00:00+05:30,0.75,0.75,0.75,0.75,1020825
2019-08-16 00:00:00+05:30,0.75,0.75,0.7,0.7,398025
2019-08-19 00:00:00+05:30,0.7,0.75,0.7,0.7,353700
2019-08-20 00:00:00+05:30,0.75,0.85,0.7,0.75,432000
2019-08-21 00:00:00+05:30,0.7,0.75,0.7,0.75,396150
2019-08-22 00:00:00+05:30,0.75,0.75,0.7,0.7,1086675
2019-08-23 00:00:00+05:30,0.75,0.75,0.7,0.7,309675
2019-08-26 00:00:00+05:30,0.75,0.75,0.7,0.7,968100
2019-08-27 00:00:00+05:30,0.7,0.75,0.7,0.7,973275
2019-08-28 00:00:00+05:30,0.8,0.8,0.7,0.75,341775
2019-08-29 00:00:00+05:30,0.75,0.75,0.7,0.7,46800
2019-08-30 00:00:00+05:30,0.7,0.75,0.7,0.75,502350
2019-09-03 00:00:00+05:30,0.7,0.75,0.7,0.75,552300
2019-09-04 00:00:00+05:30,0.75,0.8,0.7,0.75,1002300
2019-09-05 00:00:00+05:30,0.75,0.8,0.75,0.75,239700
2019-09-06 00:00:00+05:30,0.75,0.75,0.75,0.75,683775
2019-09-09 00:00:00+05:30,0.8,0.8,0.75,0.8,2376150
2019-09-11 00:00:00+05:30,0.75,0.85,0.75,0.8,4221300
