date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,578.7,578.95,571.45,577.1,302522
2019-01-02 00:00:00+05:30,577.1,581.9,564.25,565.2,756154
2019-01-03 00:00:00+05:30,569.4,573.45,561.0,562.1,458259
2019-01-04 00:00:00+05:30,562.1,575.65,562.1,571.65,880714
2019-01-07 00:00:00+05:30,576.2,578.9,567.55,574.15,1167752
2019-01-08 00:00:00+05:30,574.0,575.9,551.9,565.0,944170
2019-01-09 00:00:00+05:30,569.6,581.75,566.9,577.1,1206091
2019-01-10 00:00:00+05:30,580.0,584.0,570.25,579.25,787468
2019-01-11 00:00:00+05:30,577.5,583.0,570.5,575.75,505821
2019-01-14 00:00:00+05:30,571.55,578.9,569.1,576.2,545568
2019-01-15 00:00:00+05:30,576.0,581.2,573.3,579.25,485032
2019-01-16 00:00:00+05:30,574.2,580.6,571.55,574.25,534422
2019-01-17 00:00:00+05:30,573.4,574.0,566.1,569.95,578654
2019-01-18 00:00:00+05:30,569.1,571.9,560.5,569.65,625098
2019-01-21 00:00:00+05:30,571.0,581.0,569.15,579.9,757942
2019-01-22 00:00:00+05:30,582.85,588.95,571.25,575.1,1618877
2019-01-23 00:00:00+05:30,578.25,584.0,575.7,578.5,745315
2019-01-24 00:00:00+05:30,580.0,582.85,572.5,578.15,423909
2019-01-25 00:00:00+05:30,581.8,583.6,571.2,573.65,955137
2019-01-28 00:00:00+05:30,574.85,575.8,552.35,563.15,2517674
2019-01-29 00:00:00+05:30,560.0,560.95,542.0,550.5,2575635
2019-01-30 00:00:00+05:30,552.0,565.0,551.25,563.0,1164482
2019-01-31 00:00:00+05:30,565.0,573.75,555.55,568.65,1330990
2019-02-01 00:00:00+05:30,568.9,580.95,566.45,577.2,642726
2019-02-04 00:00:00+05:30,579.45,600.0,573.5,594.5,2096586
2019-02-05 00:00:00+05:30,600.0,607.45,582.95,585.6,2851206
2019-02-06 00:00:00+05:30,584.15,589.75,578.8,584.15,859597
2019-02-07 00:00:00+05:30,584.5,594.8,577.95,580.1,1970033
2019-02-08 00:00:00+05:30,579.7,585.05,570.7,572.85,1218281
2019-02-11 00:00:00+05:30,573.1,575.95,559.75,564.6,1090830
2019-02-12 00:00:00+05:30,564.5,571.85,560.2,563.5,943928
2019-02-13 00:00:00+05:30,565.85,570.35,550.0,554.0,979152
2019-02-14 00:00:00+05:30,558.95,558.95,545.5,551.45,1157745
2019-02-15 00:00:00+05:30,551.0,556.75,543.45,548.55,878754
2019-02-18 00:00:00+05:30,549.0,557.0,545.5,548.3,912427
2019-02-19 00:00:00+05:30,545.0,554.5,544.0,546.65,614103
2019-02-20 00:00:00+05:30,550.0,556.3,546.65,554.75,759871
2019-02-21 00:00:00+05:30,556.5,561.85,550.55,559.5,1325462
2019-02-22 00:00:00+05:30,558.8,565.85,558.8,563.85,1247101
2019-02-25 00:00:00+05:30,563.9,578.5,557.3,574.3,1189374
2019-02-26 00:00:00+05:30,567.0,578.8,560.6,576.0,996819
2019-02-27 00:00:00+05:30,577.15,588.0,568.95,571.75,1543374
2019-02-28 00:00:00+05:30,572.0,581.0,571.55,577.85,1230096
2019-03-01 00:00:00+05:30,580.0,597.7,578.1,595.8,1527384
2019-03-05 00:00:00+05:30,595.0,611.0,592.4,609.45,2592636
2019-03-06 00:00:00+05:30,614.35,628.9,612.0,627.5,3806078
2019-03-07 00:00:00+05:30,628.85,632.4,617.45,622.45,3413214
2019-03-08 00:00:00+05:30,620.0,641.95,618.0,638.1,3784443
2019-03-11 00:00:00+05:30,642.4,658.9,634.1,642.9,6114207
2019-03-12 00:00:00+05:30,638.3,642.55,630.55,633.25,3855895
2019-03-13 00:00:00+05:30,634.75,640.0,623.3,627.25,2025239
2019-03-14 00:00:00+05:30,631.0,644.8,624.0,636.9,3522703
2019-03-15 00:00:00+05:30,642.0,653.95,640.25,648.15,20765318
2019-03-18 00:00:00+05:30,648.0,656.2,634.0,636.45,1800319
2019-03-19 00:00:00+05:30,638.7,650.2,635.6,648.3,1347013
2019-03-20 00:00:00+05:30,646.95,648.0,636.0,644.75,1467224
2019-03-22 00:00:00+05:30,644.9,661.5,633.45,636.3,2431895
2019-03-25 00:00:00+05:30,629.0,640.2,627.0,637.35,748182
2019-03-26 00:00:00+05:30,635.0,655.75,635.0,654.2,2038545
2019-03-27 00:00:00+05:30,660.95,678.6,656.0,668.5,4903592
2019-03-28 00:00:00+05:30,671.95,687.35,670.35,684.3,4373710
2019-03-29 00:00:00+05:30,683.7,691.45,677.8,680.35,2112307
2019-04-01 00:00:00+05:30,681.95,690.25,676.55,679.8,1113679
2019-04-02 00:00:00+05:30,679.5,682.9,669.15,678.75,934378
2019-04-03 00:00:00+05:30,683.0,683.1,660.1,663.05,740526
2019-04-04 00:00:00+05:30,660.0,662.95,646.55,649.25,1599956
2019-04-05 00:00:00+05:30,650.5,673.8,650.5,671.05,1408867
2019-04-08 00:00:00+05:30,675.2,675.4,651.85,655.95,971015
2019-04-09 00:00:00+05:30,657.0,669.35,651.7,668.1,905333
2019-04-10 00:00:00+05:30,667.9,679.2,665.1,674.05,917932
2019-04-11 00:00:00+05:30,673.8,674.7,658.85,664.6,779214
2019-04-12 00:00:00+05:30,665.0,673.85,665.0,667.35,487732
2019-04-15 00:00:00+05:30,670.7,674.45,666.0,668.8,470345
2019-04-16 00:00:00+05:30,670.0,682.3,668.4,680.3,1021695
2019-04-18 00:00:00+05:30,684.2,686.45,668.1,675.45,3414687
2019-04-22 00:00:00+05:30,676.95,682.9,663.15,681.1,1681191
