date,open,high,low,close,volume
2023-10-31 00:00:00+05:30,59.0,61.95,56.05,61.1,4995000
2023-11-01 00:00:00+05:30,63.0,63.0,59.8,62.05,603000
2023-11-02 00:00:00+05:30,60.55,61.45,59.1,59.15,552000
2023-11-03 00:00:00+05:30,58.8,58.8,56.4,56.45,297000
2023-11-06 00:00:00+05:30,55.45,55.7,53.8,54.35,324000
2023-11-07 00:00:00+05:30,54.0,57.05,53.0,57.05,195000
2023-11-08 00:00:00+05:30,59.25,59.9,58.0,59.9,165000
2023-11-09 00:00:00+05:30,62.0,62.75,59.9,60.2,165000
2023-11-10 00:00:00+05:30,60.2,60.2,57.7,58.15,33000
2023-11-12 00:00:00+05:30,55.25,57.5,55.25,56.45,75000
2023-11-13 00:00:00+05:30,56.15,57.25,54.85,57.25,21000
2023-11-15 00:00:00+05:30,57.55,57.75,55.0,55.5,51000
2023-11-16 00:00:00+05:30,53.0,55.0,52.8,53.65,51000
2023-11-17 00:00:00+05:30,53.25,58.0,52.95,55.85,165000
2023-11-20 00:00:00+05:30,55.85,56.8,55.0,55.85,48000
2023-11-21 00:00:00+05:30,56.95,56.95,54.8,55.0,45000
2023-11-22 00:00:00+05:30,56.0,56.0,54.5,54.7,30000
2023-11-23 00:00:00+05:30,54.7,54.7,52.65,53.55,33000
2023-11-24 00:00:00+05:30,54.0,54.0,52.3,52.75,66000
2023-11-28 00:00:00+05:30,53.0,53.0,51.25,51.3,72000
2023-11-29 00:00:00+05:30,51.25,51.25,49.05,49.6,102000
2023-11-30 00:00:00+05:30,48.2,48.3,46.55,47.15,96000
2023-12-01 00:00:00+05:30,47.5,47.5,45.05,47.5,63000
2023-12-04 00:00:00+05:30,49.15,49.15,47.75,47.75,15000
2023-12-05 00:00:00+05:30,47.6,52.0,47.6,50.0,171000
2023-12-06 00:00:00+05:30,50.0,50.0,47.6,47.8,18000
2023-12-07 00:00:00+05:30,47.0,49.0,47.0,48.05,30000
2023-12-08 00:00:00+05:30,50.85,50.85,47.65,47.9,27000
2023-12-11 00:00:00+05:30,47.55,48.6,47.4,47.4,27000
2023-12-12 00:00:00+05:30,47.4,51.0,47.4,49.05,159000
2023-12-13 00:00:00+05:30,49.2,50.0,48.0,49.0,78000
2023-12-14 00:00:00+05:30,48.0,49.9,48.0,48.1,24000
2023-12-15 00:00:00+05:30,47.75,48.1,47.15,47.15,45000
2023-12-18 00:00:00+05:30,46.5,46.95,45.5,46.4,21000
2023-12-19 00:00:00+05:30,46.5,50.0,46.5,49.9,288000
