date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,91.15,91.65,90.1,90.5,7199880
2019-01-02 00:00:00+05:30,90.0,91.4,89.0,89.3,8350070
2019-01-03 00:00:00+05:30,89.2,92.2,89.1,91.0,9948615
2019-01-04 00:00:00+05:30,91.5,92.1,89.85,91.15,6965268
2019-01-07 00:00:00+05:30,91.85,92.4,89.05,89.95,11668792
2019-01-08 00:00:00+05:30,90.3,91.5,90.0,91.2,5155595
2019-01-09 00:00:00+05:30,91.45,91.75,89.4,90.65,6889262
2019-01-10 00:00:00+05:30,90.75,93.5,90.65,92.15,12254418
2019-01-11 00:00:00+05:30,92.15,93.7,91.65,93.4,10372901
2019-01-14 00:00:00+05:30,93.0,94.1,92.3,93.4,7971005
2019-01-15 00:00:00+05:30,93.75,94.9,93.5,94.55,7095680
2019-01-16 00:00:00+05:30,94.45,95.45,93.6,94.1,6436930
2019-01-17 00:00:00+05:30,94.45,97.25,94.35,96.25,15002962
2019-01-18 00:00:00+05:30,96.3,97.0,93.95,94.6,8819647
2019-01-21 00:00:00+05:30,95.55,95.55,91.75,92.05,6699662
2019-01-22 00:00:00+05:30,91.9,92.95,90.25,92.2,6009146
2019-01-23 00:00:00+05:30,92.5,94.15,90.4,90.7,6818296
2019-01-24 00:00:00+05:30,90.85,92.35,90.75,91.9,5243208
2019-01-25 00:00:00+05:30,92.2,92.8,89.5,90.55,7940530
2019-01-28 00:00:00+05:30,90.75,91.0,88.3,89.2,4653879
2019-01-29 00:00:00+05:30,89.2,93.55,88.95,92.35,11175603
2019-01-30 00:00:00+05:30,92.65,94.5,91.95,94.0,14804859
2019-01-31 00:00:00+05:30,94.35,95.0,92.1,93.55,18944978
2019-02-01 00:00:00+05:30,93.3,94.45,91.75,93.8,4600740
2019-02-04 00:00:00+05:30,93.3,93.3,90.05,91.0,4479952
2019-02-05 00:00:00+05:30,90.45,91.55,87.2,87.6,5485107
2019-02-06 00:00:00+05:30,86.7,90.45,86.65,89.35,8812951
2019-02-07 00:00:00+05:30,89.85,94.4,89.55,93.85,8516755
