date,open,high,low,close,volume
2019-01-09 00:00:00+05:30,4.9,4.9,4.7,4.7,1182
2019-01-10 00:00:00+05:30,4.9,4.9,4.5,4.5,1523
2019-01-11 00:00:00+05:30,4.5,4.7,4.35,4.45,4709
2019-01-14 00:00:00+05:30,4.35,4.35,4.35,4.35,504
2019-01-15 00:00:00+05:30,4.5,4.55,4.5,4.55,517
2019-01-16 00:00:00+05:30,4.55,4.75,4.55,4.55,3056
2019-01-17 00:00:00+05:30,4.55,4.75,4.55,4.55,308
2019-01-18 00:00:00+05:30,4.75,4.75,4.55,4.7,3397
2019-01-21 00:00:00+05:30,4.85,4.9,4.5,4.5,2778
2019-01-22 00:00:00+05:30,4.4,4.4,4.4,4.4,955
2019-01-23 00:00:00+05:30,4.3,4.35,4.3,4.3,1880
2019-01-24 00:00:00+05:30,4.3,4.5,4.3,4.5,2470
2019-01-25 00:00:00+05:30,4.5,4.5,4.3,4.3,1035
2019-01-28 00:00:00+05:30,4.15,4.5,4.15,4.5,700
2019-01-29 00:00:00+05:30,4.55,4.55,4.3,4.3,715
2019-01-31 00:00:00+05:30,4.15,4.5,4.15,4.45,2106
2019-02-01 00:00:00+05:30,4.3,4.5,4.3,4.5,796
2019-02-04 00:00:00+05:30,4.5,4.6,4.3,4.35,3004
2019-02-05 00:00:00+05:30,4.2,4.3,4.15,4.15,903
2019-02-06 00:00:00+05:30,4.1,4.15,3.95,4.1,3005
2019-02-07 00:00:00+05:30,3.7,4.0,3.7,4.0,795
2019-02-08 00:00:00+05:30,3.6,4.15,3.6,4.0,954
2019-02-11 00:00:00+05:30,4.0,4.0,3.6,3.65,7500
2019-02-12 00:00:00+05:30,3.4,3.95,3.4,3.45,635
2019-02-13 00:00:00+05:30,3.7,3.7,3.25,3.5,4251
2019-02-15 00:00:00+05:30,3.8,3.85,3.25,3.85,3348
2019-02-18 00:00:00+05:30,3.85,4.2,3.5,3.65,1835
2019-02-20 00:00:00+05:30,3.4,4.0,3.4,3.55,810
2019-02-21 00:00:00+05:30,3.6,3.6,3.6,3.6,123
2019-02-25 00:00:00+05:30,3.75,3.95,3.65,3.65,742
2019-02-26 00:00:00+05:30,3.65,3.8,3.4,3.5,3550
2019-02-27 00:00:00+05:30,3.55,3.55,3.55,3.55,932
2019-02-28 00:00:00+05:30,3.55,3.55,3.55,3.55,850
2019-03-01 00:00:00+05:30,3.65,3.8,3.65,3.8,102
2019-03-05 00:00:00+05:30,3.85,4.15,3.85,3.95,303
2019-03-06 00:00:00+05:30,3.65,4.1,3.65,4.1,152
2019-03-07 00:00:00+05:30,4.1,4.1,3.8,3.95,203
2019-03-08 00:00:00+05:30,4.05,4.1,4.05,4.1,334
2019-03-11 00:00:00+05:30,4.25,4.25,3.9,4.25,2417
2019-03-12 00:00:00+05:30,4.25,4.45,4.25,4.45,3563
2019-03-13 00:00:00+05:30,4.45,4.65,4.35,4.65,3841
2019-03-14 00:00:00+05:30,4.55,4.85,4.55,4.55,1531
2019-03-15 00:00:00+05:30,4.55,4.55,4.55,4.55,1365
2019-03-18 00:00:00+05:30,4.75,4.75,4.55,4.55,174
2019-03-19 00:00:00+05:30,4.35,4.55,4.35,4.35,4277
2019-03-20 00:00:00+05:30,4.25,4.45,4.2,4.45,637
2019-03-22 00:00:00+05:30,4.25,4.4,4.25,4.25,443
2019-03-25 00:00:00+05:30,4.05,4.35,4.05,4.1,3110
2019-03-26 00:00:00+05:30,3.95,4.3,3.9,4.25,1502
2019-03-27 00:00:00+05:30,4.25,4.25,4.05,4.05,1729
2019-03-28 00:00:00+05:30,4.1,4.1,3.85,4.1,2304
2019-03-29 00:00:00+05:30,4.1,4.3,3.9,3.95,2930
2019-04-01 00:00:00+05:30,4.1,4.1,3.95,3.95,2598
