date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,111.9,112.0,110.25,111.95,7024
2019-01-02 00:00:00+05:30,111.05,112.0,110.3,110.9,6276
2019-01-03 00:00:00+05:30,110.35,112.0,110.2,111.85,9180
2019-01-04 00:00:00+05:30,111.4,112.0,108.1,108.55,11249
2019-01-07 00:00:00+05:30,110.15,112.0,106.65,110.35,31816
2019-01-08 00:00:00+05:30,111.5,111.5,101.95,107.2,65248
2019-01-09 00:00:00+05:30,107.35,111.0,107.15,108.75,11636
2019-01-10 00:00:00+05:30,108.75,110.45,104.5,106.05,9038
2019-01-11 00:00:00+05:30,107.0,107.1,105.1,106.1,6398
2019-01-14 00:00:00+05:30,105.05,107.0,105.05,106.95,3408
2019-01-15 00:00:00+05:30,106.95,107.0,103.5,104.75,14124
2019-01-16 00:00:00+05:30,105.6,105.6,104.15,105.0,13114
2019-01-17 00:00:00+05:30,105.1,106.0,103.5,104.9,5663
2019-01-18 00:00:00+05:30,104.7,105.8,103.95,105.0,16845
2019-01-21 00:00:00+05:30,105.25,109.0,101.1,104.35,25052
2019-01-22 00:00:00+05:30,104.05,104.05,99.8,102.15,40873
2019-01-23 00:00:00+05:30,101.95,102.7,97.1,98.05,17840
2019-01-24 00:00:00+05:30,97.95,101.0,96.0,98.85,21110
2019-01-25 00:00:00+05:30,98.0,102.0,96.6,97.5,9212
2019-01-28 00:00:00+05:30,99.0,99.0,91.95,95.35,33303
2019-01-29 00:00:00+05:30,99.0,99.0,93.2,94.7,16142
2019-01-30 00:00:00+05:30,94.7,99.75,93.3,95.65,16046
2019-01-31 00:00:00+05:30,96.0,96.9,93.55,94.25,22531
2019-02-01 00:00:00+05:30,94.15,98.0,94.0,97.55,8175
2019-02-04 00:00:00+05:30,97.85,100.0,94.0,99.75,25812
2019-02-05 00:00:00+05:30,102.0,102.0,94.0,95.0,28478
2019-02-06 00:00:00+05:30,94.05,95.0,90.0,93.2,24246
2019-02-07 00:00:00+05:30,92.1,93.55,89.55,90.6,34117
2019-02-08 00:00:00+05:30,91.0,91.8,87.3,87.85,35319
2019-02-11 00:00:00+05:30,88.45,90.55,86.0,87.55,60443
2019-02-12 00:00:00+05:30,88.15,88.15,85.1,85.35,13594
2019-02-13 00:00:00+05:30,85.75,87.4,85.0,86.5,11690
2019-02-14 00:00:00+05:30,86.55,87.45,83.0,86.35,11060
2019-02-15 00:00:00+05:30,86.85,86.85,82.9,84.95,17783
2019-02-18 00:00:00+05:30,85.7,85.7,83.1,83.35,53478
2019-02-19 00:00:00+05:30,84.0,85.05,83.75,84.3,7852
2019-02-20 00:00:00+05:30,84.45,86.0,83.2,84.2,6232
2019-02-21 00:00:00+05:30,85.5,95.9,83.7,94.5,13075
2019-02-22 00:00:00+05:30,94.5,94.5,91.9,92.9,28456
2019-02-25 00:00:00+05:30,91.65,95.85,91.65,94.0,7175
2019-02-26 00:00:00+05:30,94.0,97.2,91.35,94.8,8828
2019-02-27 00:00:00+05:30,94.55,96.3,91.5,92.65,10883
2019-02-28 00:00:00+05:30,94.0,94.0,92.1,93.0,5649
2019-03-01 00:00:00+05:30,92.95,95.0,92.25,94.4,78906
2019-03-05 00:00:00+05:30,95.8,98.25,94.5,98.05,274054
2019-03-06 00:00:00+05:30,98.3,100.6,98.0,98.95,125613
2019-03-07 00:00:00+05:30,99.4,99.5,97.5,98.0,362965
2019-03-08 00:00:00+05:30,100.0,105.0,98.0,104.65,123619
2019-03-11 00:00:00+05:30,104.0,116.0,101.5,111.6,108699
2019-03-12 00:00:00+05:30,112.9,115.45,108.5,113.3,53266
2019-03-13 00:00:00+05:30,115.45,115.45,108.15,110.65,59544
2019-03-14 00:00:00+05:30,112.1,112.1,107.25,107.6,33810
2019-03-15 00:00:00+05:30,108.9,108.95,102.2,104.45,20210
2019-03-18 00:00:00+05:30,104.75,107.95,103.5,103.95,38427
2019-03-19 00:00:00+05:30,102.0,104.4,100.5,101.85,29333
2019-03-20 00:00:00+05:30,102.95,104.9,101.0,102.75,18537
2019-03-22 00:00:00+05:30,102.55,103.7,98.2,100.05,117747
2019-03-25 00:00:00+05:30,99.5,102.0,99.45,100.35,18976
2019-03-26 00:00:00+05:30,100.4,102.45,99.1,100.4,54732
2019-03-27 00:00:00+05:30,100.1,104.7,99.65,102.95,37823
2019-03-28 00:00:00+05:30,102.55,110.8,102.35,106.1,132166
2019-03-29 00:00:00+05:30,107.0,112.0,105.15,111.15,32269
2019-04-01 00:00:00+05:30,112.05,121.9,109.1,115.85,52172
2019-04-02 00:00:00+05:30,115.9,125.5,114.35,121.25,116887
2019-04-03 00:00:00+05:30,121.95,122.45,114.2,115.4,22109
2019-04-04 00:00:00+05:30,116.85,117.25,110.3,116.1,13634
2019-04-05 00:00:00+05:30,115.55,118.0,113.6,117.45,7240
2019-04-08 00:00:00+05:30,117.05,118.85,114.4,116.7,12861
2019-04-09 00:00:00+05:30,116.5,124.0,113.25,120.05,65711
2019-04-10 00:00:00+05:30,119.7,119.7,115.5,116.55,8919
2019-04-11 00:00:00+05:30,117.45,117.45,112.45,114.25,19817
2019-04-12 00:00:00+05:30,115.8,121.9,114.25,120.0,31284
2019-04-15 00:00:00+05:30,118.2,142.4,118.2,131.75,216918
2019-04-16 00:00:00+05:30,130.55,136.75,128.3,134.8,78370
2019-04-18 00:00:00+05:30,135.0,135.0,127.45,129.1,16391
2019-04-22 00:00:00+05:30,127.25,127.25,124.4,125.0,18262
2019-04-23 00:00:00+05:30,125.9,128.55,125.0,125.65,7278
2019-04-24 00:00:00+05:30,126.95,130.55,126.05,128.25,236768
2019-04-25 00:00:00+05:30,128.9,131.0,128.0,130.3,12189
2019-04-26 00:00:00+05:30,130.35,133.5,126.4,130.6,10024
2019-04-30 00:00:00+05:30,130.3,133.3,128.0,130.35,62779
2019-05-02 00:00:00+05:30,129.0,130.95,126.7,127.45,16563
2019-05-03 00:00:00+05:30,126.9,127.45,126.0,127.0,4600
2019-05-06 00:00:00+05:30,125.85,125.95,120.3,121.45,5825
2019-05-07 00:00:00+05:30,118.05,122.15,118.05,119.8,13694
2019-05-08 00:00:00+05:30,121.0,121.15,120.0,120.3,2712
2019-05-09 00:00:00+05:30,121.0,126.2,120.6,124.55,4468
2019-05-10 00:00:00+05:30,124.9,124.9,120.0,121.25,5447
2019-05-13 00:00:00+05:30,121.45,121.45,115.2,117.95,10448
2019-05-14 00:00:00+05:30,117.25,117.25,112.0,113.45,19287
2019-05-15 00:00:00+05:30,113.5,117.0,112.85,114.95,7039
2019-05-16 00:00:00+05:30,114.95,117.7,113.0,116.85,8512
2019-05-17 00:00:00+05:30,117.65,118.0,113.35,116.1,7436
2019-05-20 00:00:00+05:30,120.0,123.0,117.1,120.45,11095
2019-05-21 00:00:00+05:30,124.75,124.75,118.25,118.6,6720
2019-05-22 00:00:00+05:30,119.7,119.7,116.1,117.55,10275
2019-05-23 00:00:00+05:30,118.3,123.7,115.0,118.7,17601
2019-05-24 00:00:00+05:30,118.0,118.05,114.2,117.5,19562
2019-05-27 00:00:00+05:30,116.0,130.0,115.0,126.5,49865
2019-05-28 00:00:00+05:30,126.7,133.8,122.85,130.75,19251
2019-05-29 00:00:00+05:30,128.65,132.0,127.75,129.1,11909
2019-05-30 00:00:00+05:30,130.8,130.85,125.15,126.05,20563
2019-05-31 00:00:00+05:30,125.0,127.0,123.1,123.6,3370
2019-06-03 00:00:00+05:30,122.8,129.0,121.9,126.85,13161
2019-06-04 00:00:00+05:30,126.15,129.0,125.5,128.35,4331
2019-06-06 00:00:00+05:30,129.0,130.05,122.0,123.05,5385
2019-06-07 00:00:00+05:30,123.95,126.0,123.2,123.65,7096
2019-06-10 00:00:00+05:30,123.65,124.3,117.25,118.35,5948
2019-06-11 00:00:00+05:30,119.85,119.85,115.2,117.75,3840
2019-06-12 00:00:00+05:30,117.95,120.0,115.2,118.7,11861
2019-06-13 00:00:00+05:30,117.85,118.8,114.55,116.45,8639
2019-06-14 00:00:00+05:30,116.35,118.25,114.0,114.65,38062
2019-06-17 00:00:00+05:30,114.3,115.1,105.1,108.75,26247
2019-06-18 00:00:00+05:30,108.5,111.8,108.5,110.5,13385
2019-06-19 00:00:00+05:30,108.35,112.85,106.1,108.75,13591
2019-06-20 00:00:00+05:30,105.2,109.65,103.25,106.15,19464
2019-06-21 00:00:00+05:30,104.15,112.0,104.15,110.6,10732
2019-06-24 00:00:00+05:30,109.25,110.95,104.2,105.55,11633
2019-06-25 00:00:00+05:30,104.25,109.15,104.25,108.15,8443
2019-06-26 00:00:00+05:30,106.05,114.0,106.05,113.45,6755
2019-06-27 00:00:00+05:30,114.95,117.65,111.2,115.8,9369
2019-06-28 00:00:00+05:30,114.95,118.9,113.9,118.7,16555
2019-07-01 00:00:00+05:30,118.15,119.5,112.1,114.55,6240
2019-07-02 00:00:00+05:30,116.15,116.15,111.35,113.35,6699
2019-07-03 00:00:00+05:30,112.05,113.0,112.0,112.15,11090
2019-07-04 00:00:00+05:30,113.05,113.05,111.1,111.3,14827
2019-07-05 00:00:00+05:30,110.6,112.95,108.6,111.55,11726
2019-07-08 00:00:00+05:30,112.0,114.15,108.55,110.85,20174
2019-07-09 00:00:00+05:30,109.65,112.0,109.0,109.55,6654
2019-07-10 00:00:00+05:30,109.0,111.15,108.05,108.75,8493
