date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,212.15,216.0,210.25,213.15,9733
2019-01-02 00:00:00+05:30,217.0,218.35,212.0,215.85,4525
2019-01-03 00:00:00+05:30,214.9,219.0,214.0,214.65,3550
2019-01-04 00:00:00+05:30,215.4,217.7,215.0,216.85,11385
2019-01-07 00:00:00+05:30,214.5,220.0,214.2,215.25,8860
2019-01-08 00:00:00+05:30,215.15,216.95,215.0,215.05,5053
2019-01-09 00:00:00+05:30,220.0,222.0,216.0,218.75,8804
2019-01-10 00:00:00+05:30,215.6,217.5,211.85,213.15,10494
2019-01-11 00:00:00+05:30,215.05,218.0,213.35,215.4,5653
2019-01-14 00:00:00+05:30,216.25,217.15,210.0,211.55,8258
2019-01-15 00:00:00+05:30,213.65,215.0,212.0,214.5,1978
2019-01-16 00:00:00+05:30,214.05,215.95,214.0,214.55,839
2019-01-17 00:00:00+05:30,212.0,243.6,212.0,227.45,132236
2019-01-18 00:00:00+05:30,228.0,241.8,228.0,236.8,65860
2019-01-21 00:00:00+05:30,237.0,245.7,236.0,238.2,25014
2019-01-22 00:00:00+05:30,240.0,240.0,231.15,233.95,4420
2019-01-23 00:00:00+05:30,238.0,238.7,234.25,234.7,5120
2019-01-24 00:00:00+05:30,236.95,237.25,232.0,234.2,7424
2019-01-25 00:00:00+05:30,231.5,235.5,231.5,234.8,4258
2019-01-28 00:00:00+05:30,235.5,235.5,222.0,226.55,5447
2019-01-29 00:00:00+05:30,220.0,228.45,220.0,224.0,3061
2019-01-30 00:00:00+05:30,224.05,228.9,220.0,220.1,3553
2019-01-31 00:00:00+05:30,218.0,223.9,217.25,219.95,9131
2019-02-01 00:00:00+05:30,218.8,226.0,210.0,214.05,22466
2019-02-04 00:00:00+05:30,218.9,219.0,214.55,217.25,5175
2019-02-05 00:00:00+05:30,216.7,216.95,210.35,212.8,7026
2019-02-06 00:00:00+05:30,212.1,218.5,210.65,216.2,6269
2019-02-07 00:00:00+05:30,212.1,219.0,212.05,217.5,5351
2019-02-08 00:00:00+05:30,213.1,220.5,213.0,220.05,3759
2019-02-11 00:00:00+05:30,215.3,218.0,215.25,215.75,1758
2019-02-12 00:00:00+05:30,215.0,220.3,214.0,217.1,6384
2019-02-13 00:00:00+05:30,217.9,219.3,213.0,216.95,4155
2019-02-14 00:00:00+05:30,215.45,216.2,210.05,211.55,3962
2019-02-15 00:00:00+05:30,201.0,204.9,197.0,198.15,18198
2019-02-18 00:00:00+05:30,196.15,198.0,189.9,190.95,8324
2019-02-19 00:00:00+05:30,190.3,191.25,183.8,185.55,9237
2019-02-20 00:00:00+05:30,185.65,187.25,178.0,179.35,8763
2019-02-21 00:00:00+05:30,178.15,184.0,176.6,177.75,15738
2019-02-22 00:00:00+05:30,177.6,182.0,176.1,178.9,8037
2019-02-25 00:00:00+05:30,179.95,183.0,179.8,180.2,14767
2019-02-26 00:00:00+05:30,177.0,180.0,172.15,179.4,5406
2019-02-27 00:00:00+05:30,179.4,182.5,179.4,181.45,10290
2019-02-28 00:00:00+05:30,182.5,182.5,179.3,180.1,8495
2019-03-01 00:00:00+05:30,181.9,183.0,180.0,181.7,6453
2019-03-05 00:00:00+05:30,182.0,188.45,178.0,184.85,32269
2019-03-06 00:00:00+05:30,186.0,196.15,184.3,191.0,32709
2019-03-07 00:00:00+05:30,191.5,193.0,185.0,187.55,13086
2019-03-08 00:00:00+05:30,186.05,191.9,185.0,188.95,3223
2019-03-11 00:00:00+05:30,188.05,194.9,187.0,193.45,17382
2019-03-12 00:00:00+05:30,198.5,198.5,194.1,195.15,12333
2019-03-13 00:00:00+05:30,195.1,199.6,190.0,195.8,32444
2019-03-14 00:00:00+05:30,197.8,197.8,185.95,193.45,29733
2019-03-15 00:00:00+05:30,208.0,208.0,171.95,179.8,86727
2019-03-18 00:00:00+05:30,180.5,190.0,180.0,181.95,45171
2019-03-19 00:00:00+05:30,183.0,183.75,181.1,181.45,19291
2019-03-20 00:00:00+05:30,180.1,183.25,175.45,179.05,186043
2019-03-22 00:00:00+05:30,179.0,180.0,175.55,177.35,13935
2019-03-25 00:00:00+05:30,176.55,176.55,169.5,171.45,16781
2019-03-26 00:00:00+05:30,170.15,175.2,168.85,170.15,183901
2019-03-27 00:00:00+05:30,170.05,171.8,164.8,166.6,28479
2019-03-28 00:00:00+05:30,166.0,185.0,165.1,177.2,216923
2019-03-29 00:00:00+05:30,175.0,185.05,174.1,181.55,63546
2019-04-01 00:00:00+05:30,181.55,185.0,177.1,178.5,28162
2019-04-02 00:00:00+05:30,179.2,190.0,178.55,183.1,63716
2019-04-03 00:00:00+05:30,184.65,185.85,179.45,179.8,13191
2019-04-04 00:00:00+05:30,178.2,185.9,175.3,176.95,11630
2019-04-05 00:00:00+05:30,178.65,181.0,177.2,179.7,4262
2019-04-08 00:00:00+05:30,175.5,179.95,173.25,173.95,13484
2019-04-09 00:00:00+05:30,174.15,175.35,167.0,171.75,13026
2019-04-10 00:00:00+05:30,170.25,174.35,170.25,172.05,7668
2019-04-11 00:00:00+05:30,171.5,177.4,170.95,175.05,6661
2019-04-12 00:00:00+05:30,172.05,176.8,172.05,173.55,3129
2019-04-15 00:00:00+05:30,173.55,176.3,172.9,173.25,5548
2019-04-16 00:00:00+05:30,171.0,173.8,169.8,170.25,12249
2019-04-18 00:00:00+05:30,169.5,172.0,166.5,166.8,9487
2019-04-22 00:00:00+05:30,167.0,167.05,163.25,164.8,5102
2019-04-23 00:00:00+05:30,166.0,166.0,161.0,161.7,14167
2019-04-24 00:00:00+05:30,161.55,163.3,160.65,161.35,7885
2019-04-25 00:00:00+05:30,161.45,163.25,151.95,154.05,26155
2019-04-26 00:00:00+05:30,156.0,157.75,154.5,155.6,12457
2019-04-30 00:00:00+05:30,152.25,154.3,147.05,148.35,15309
2019-05-02 00:00:00+05:30,147.0,150.0,145.5,146.05,9937
2019-05-03 00:00:00+05:30,145.25,147.9,144.95,147.0,10826
2019-05-06 00:00:00+05:30,147.5,148.5,146.05,147.6,4073
2019-05-07 00:00:00+05:30,145.25,148.55,144.1,144.85,6096
2019-05-08 00:00:00+05:30,144.85,144.9,141.0,141.65,5502
2019-05-09 00:00:00+05:30,143.8,143.8,140.75,141.3,3619
2019-05-10 00:00:00+05:30,140.65,145.15,140.65,141.25,5223
2019-05-13 00:00:00+05:30,142.7,142.9,135.3,136.15,6222
2019-05-14 00:00:00+05:30,136.7,139.5,136.0,137.1,5536
2019-05-15 00:00:00+05:30,137.1,138.5,132.2,134.9,9518
2019-05-16 00:00:00+05:30,135.1,135.2,132.15,133.1,4915
2019-05-17 00:00:00+05:30,134.0,145.6,132.05,132.7,16319
2019-05-20 00:00:00+05:30,135.5,138.0,133.0,133.9,11056
2019-05-21 00:00:00+05:30,134.0,135.9,130.1,131.75,8587
2019-05-22 00:00:00+05:30,132.4,135.0,130.25,132.7,12574
2019-05-23 00:00:00+05:30,134.0,137.7,132.0,132.4,9435
2019-05-24 00:00:00+05:30,132.95,135.5,131.1,132.3,29370
2019-05-27 00:00:00+05:30,132.8,140.05,132.8,134.95,39133
2019-05-28 00:00:00+05:30,136.0,138.05,133.8,134.35,39199
2019-05-29 00:00:00+05:30,130.0,130.0,113.25,114.95,800891
2019-05-30 00:00:00+05:30,117.55,117.9,108.2,111.7,214560
2019-05-31 00:00:00+05:30,113.4,113.4,110.35,111.1,34356
2019-06-03 00:00:00+05:30,112.0,121.5,108.2,114.45,113096
2019-06-04 00:00:00+05:30,116.0,116.4,109.5,110.0,44965
2019-06-06 00:00:00+05:30,107.6,110.75,104.05,104.55,114011
2019-06-07 00:00:00+05:30,104.25,105.5,101.0,102.75,27681
2019-06-10 00:00:00+05:30,103.2,108.15,103.2,104.75,69026
2019-06-11 00:00:00+05:30,104.9,104.9,98.65,99.6,69756
2019-06-12 00:00:00+05:30,97.5,99.55,94.75,95.0,95097
2019-06-13 00:00:00+05:30,95.8,95.8,90.0,90.55,30636
2019-06-14 00:00:00+05:30,90.85,90.85,86.0,86.95,35734
2019-06-17 00:00:00+05:30,84.25,87.0,81.5,84.6,38829
2019-06-18 00:00:00+05:30,83.5,97.4,83.5,93.3,189111
2019-06-19 00:00:00+05:30,93.5,95.7,87.0,92.0,67877
2019-06-20 00:00:00+05:30,90.55,91.75,87.05,89.85,33703
2019-06-21 00:00:00+05:30,87.25,91.65,84.5,88.4,32788
2019-06-24 00:00:00+05:30,87.6,90.15,87.05,87.9,14073
2019-06-25 00:00:00+05:30,86.1,89.4,86.1,86.6,11869
2019-06-26 00:00:00+05:30,86.05,89.25,86.05,88.1,12262
2019-06-27 00:00:00+05:30,89.95,89.95,86.3,87.1,14898
2019-06-28 00:00:00+05:30,85.7,88.0,85.7,87.25,13511
2019-07-01 00:00:00+05:30,85.65,88.5,85.65,86.8,5623
2019-07-02 00:00:00+05:30,86.85,92.4,86.85,87.3,52238
2019-07-03 00:00:00+05:30,88.0,88.0,85.6,86.25,8528
2019-07-04 00:00:00+05:30,85.55,87.25,85.05,85.65,10955
2019-07-05 00:00:00+05:30,86.0,87.0,83.45,83.85,11168
2019-07-08 00:00:00+05:30,82.05,85.0,76.3,79.35,17075
2019-07-09 00:00:00+05:30,79.5,80.35,78.45,79.1,7427
2019-07-10 00:00:00+05:30,78.45,80.0,77.25,78.0,5606
2019-07-11 00:00:00+05:30,78.05,78.7,73.55,74.3,23462
2019-07-12 00:00:00+05:30,77.0,77.0,73.0,73.85,8582
2019-07-15 00:00:00+05:30,74.0,75.55,73.4,74.25,9131
2019-07-16 00:00:00+05:30,78.9,78.9,72.15,72.35,12789
2019-07-17 00:00:00+05:30,73.0,73.45,71.45,71.9,23457
2019-07-18 00:00:00+05:30,71.85,72.2,67.0,69.85,33597
2019-07-19 00:00:00+05:30,70.95,70.95,68.35,68.95,18438
2019-07-22 00:00:00+05:30,70.0,70.0,68.35,68.9,22507
2019-07-23 00:00:00+05:30,68.9,69.9,68.05,68.45,29260
2019-07-24 00:00:00+05:30,68.35,69.35,66.15,67.25,13369
2019-07-25 00:00:00+05:30,66.0,71.1,65.8,68.3,20861
2019-07-26 00:00:00+05:30,67.0,70.5,67.0,69.55,6000
2019-07-29 00:00:00+05:30,71.2,71.25,66.4,67.0,6667
2019-07-30 00:00:00+05:30,67.1,69.95,65.05,65.3,6086
2019-07-31 00:00:00+05:30,65.0,66.4,63.1,63.4,20772
2019-08-01 00:00:00+05:30,65.9,65.9,62.1,63.1,6189
2019-08-02 00:00:00+05:30,62.55,64.8,60.8,62.55,7222
2019-08-05 00:00:00+05:30,62.4,63.0,59.1,60.55,20589
2019-08-06 00:00:00+05:30,60.0,65.8,60.0,63.25,28866
2019-08-07 00:00:00+05:30,63.1,64.0,59.8,60.35,18407
2019-08-08 00:00:00+05:30,62.7,62.7,58.0,58.85,20653
2019-08-09 00:00:00+05:30,58.65,62.5,58.6,60.2,51924
2019-08-13 00:00:00+05:30,61.3,61.5,57.0,57.7,103091
2019-08-14 00:00:00+05:30,57.1,57.9,56.5,56.65,36137
2019-08-16 00:00:00+05:30,56.55,56.8,54.35,54.7,30455
2019-08-19 00:00:00+05:30,54.05,56.5,51.95,54.0,90624
2019-08-20 00:00:00+05:30,54.0,54.95,53.2,53.55,13939
2019-08-21 00:00:00+05:30,53.55,54.25,52.3,52.7,48433
2019-08-22 00:00:00+05:30,53.65,53.65,47.35,48.15,69387
2019-08-23 00:00:00+05:30,47.2,57.75,47.15,57.75,93792
2019-08-26 00:00:00+05:30,62.9,68.7,58.15,61.55,270308
2019-08-27 00:00:00+05:30,60.7,70.0,59.1,63.1,157051
2019-08-28 00:00:00+05:30,63.05,70.0,61.5,65.3,109354
2019-08-29 00:00:00+05:30,66.6,69.7,63.25,65.3,66640
2019-08-30 00:00:00+05:30,65.0,65.8,63.0,63.95,21588
2019-09-03 00:00:00+05:30,63.95,66.25,61.5,62.05,28704
2019-09-04 00:00:00+05:30,63.05,64.5,60.0,62.05,19157
2019-09-05 00:00:00+05:30,61.55,63.9,61.55,63.5,6656
2019-09-06 00:00:00+05:30,63.8,66.55,63.3,65.9,13741
2019-09-09 00:00:00+05:30,67.85,69.0,64.5,65.0,57237
2019-09-11 00:00:00+05:30,66.0,67.5,64.35,64.85,37295
2019-09-12 00:00:00+05:30,65.0,69.8,60.0,63.55,73569
2019-09-13 00:00:00+05:30,61.25,63.85,61.2,62.8,25110
2019-09-16 00:00:00+05:30,62.15,68.5,62.05,66.15,33467
2019-09-17 00:00:00+05:30,66.8,69.0,63.1,63.7,22203
2019-09-18 00:00:00+05:30,64.05,66.05,63.1,64.55,59503
2019-09-19 00:00:00+05:30,66.55,66.6,62.6,63.4,8231
2019-09-20 00:00:00+05:30,62.7,66.05,62.1,64.7,58458
2019-09-23 00:00:00+05:30,66.0,66.8,62.2,63.2,138003
2019-09-24 00:00:00+05:30,64.85,65.55,62.25,65.1,64555
2019-09-25 00:00:00+05:30,65.25,67.0,64.0,64.35,17935
2019-09-26 00:00:00+05:30,61.7,65.5,61.5,62.15,21981
2019-09-27 00:00:00+05:30,62.2,67.7,60.95,66.1,140621
2019-09-30 00:00:00+05:30,66.9,67.3,61.1,62.75,76488
2019-10-01 00:00:00+05:30,62.55,63.8,60.2,60.7,35144
2019-10-03 00:00:00+05:30,61.2,63.25,61.2,63.0,8678
2019-10-04 00:00:00+05:30,63.75,66.0,62.65,63.25,12313
2019-10-07 00:00:00+05:30,63.0,63.3,61.1,61.1,22282
2019-10-09 00:00:00+05:30,61.2,62.7,60.0,60.35,16752
2019-10-10 00:00:00+05:30,60.05,61.95,59.1,60.95,33896
2019-10-11 00:00:00+05:30,60.2,61.65,59.1,59.7,6931
2019-10-14 00:00:00+05:30,60.1,61.0,57.65,59.95,7945
2019-10-15 00:00:00+05:30,60.25,62.5,59.75,61.9,25767
2019-10-16 00:00:00+05:30,62.55,62.7,61.0,61.05,3236
2019-10-17 00:00:00+05:30,60.6,60.8,57.35,58.7,38516
2019-10-18 00:00:00+05:30,58.15,62.45,58.15,61.7,11740
2019-10-22 00:00:00+05:30,62.9,62.9,58.8,62.15,10366
2019-10-23 00:00:00+05:30,61.0,62.4,60.25,61.25,1817
2019-10-24 00:00:00+05:30,61.0,61.4,57.55,58.05,18964
2019-10-25 00:00:00+05:30,60.25,61.4,58.35,60.05,14615
2019-10-27 00:00:00+05:30,60.25,61.8,60.2,60.85,861
2019-10-29 00:00:00+05:30,63.8,63.8,60.9,61.1,7876
2019-10-30 00:00:00+05:30,61.15,62.5,60.0,60.45,6531
2019-10-31 00:00:00+05:30,60.25,61.7,60.1,60.95,7698
2019-11-01 00:00:00+05:30,60.4,62.5,60.3,61.85,5694
2019-11-04 00:00:00+05:30,62.45,70.0,61.85,69.3,126423
2019-11-05 00:00:00+05:30,71.9,74.9,70.1,71.5,71061
2019-11-06 00:00:00+05:30,71.7,72.0,66.2,67.3,26158
2019-11-07 00:00:00+05:30,67.3,69.9,64.1,65.35,33630
2019-11-08 00:00:00+05:30,65.35,72.0,62.3,71.6,87815
2019-11-11 00:00:00+05:30,73.65,77.7,71.7,76.4,110562
2019-11-13 00:00:00+05:30,75.0,76.15,70.15,75.3,105088
2019-11-14 00:00:00+05:30,75.3,75.9,73.0,74.9,18378
2019-11-15 00:00:00+05:30,74.05,75.9,70.15,71.0,20099
2019-11-18 00:00:00+05:30,70.2,74.95,68.3,72.35,19161
2019-11-19 00:00:00+05:30,72.3,77.9,71.15,75.1,37111
2019-11-20 00:00:00+05:30,74.1,90.1,74.1,90.1,257314
2019-11-21 00:00:00+05:30,99.0,102.4,88.3,96.55,319060
2019-11-22 00:00:00+05:30,96.55,98.4,90.25,91.7,36665
2019-11-25 00:00:00+05:30,91.7,98.0,88.0,95.75,59668
2019-11-26 00:00:00+05:30,93.4,99.15,93.4,96.3,57966
2019-11-27 00:00:00+05:30,96.0,98.95,94.3,96.95,19593
2019-11-28 00:00:00+05:30,95.0,99.9,95.0,98.5,23053
