date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,76.8,78.15,76.55,77.25,31575
2019-01-02 00:00:00+05:30,76.8,78.4,75.95,76.4,55972
2019-01-03 00:00:00+05:30,77.25,77.25,76.0,76.2,27046
2019-01-04 00:00:00+05:30,76.3,76.55,74.5,75.1,59698
2019-01-07 00:00:00+05:30,76.6,76.6,74.5,75.3,33129
2019-01-08 00:00:00+05:30,76.4,76.95,75.2,76.5,81192
2019-01-09 00:00:00+05:30,76.6,77.25,75.2,76.55,61719
2019-01-10 00:00:00+05:30,78.65,78.65,75.6,76.1,38085
2019-01-11 00:00:00+05:30,75.85,77.05,75.1,75.5,42307
2019-01-14 00:00:00+05:30,75.8,77.75,74.35,76.8,50825
2019-01-15 00:00:00+05:30,77.75,77.75,75.4,76.5,37520
2019-01-16 00:00:00+05:30,77.2,77.2,74.8,75.05,46134
2019-01-17 00:00:00+05:30,74.55,75.75,74.3,74.75,43127
2019-01-18 00:00:00+05:30,74.35,74.8,72.05,73.3,49602
2019-01-21 00:00:00+05:30,74.25,74.8,72.85,73.25,29489
2019-01-22 00:00:00+05:30,72.35,74.3,71.8,72.8,46298
2019-01-23 00:00:00+05:30,73.25,73.8,72.6,72.85,20152
2019-01-24 00:00:00+05:30,73.45,74.0,72.1,72.8,28877
2019-01-25 00:00:00+05:30,71.9,74.8,70.95,71.9,50206
2019-01-28 00:00:00+05:30,71.4,73.35,69.4,71.4,70300
2019-01-29 00:00:00+05:30,71.45,71.45,70.0,71.25,25381
2019-01-30 00:00:00+05:30,70.9,71.75,69.2,70.3,45847
2019-01-31 00:00:00+05:30,70.4,71.45,69.85,70.05,38891
2019-02-01 00:00:00+05:30,70.6,70.65,68.95,69.5,50516
2019-02-04 00:00:00+05:30,71.35,71.75,68.95,69.25,40197
2019-02-05 00:00:00+05:30,70.6,70.6,68.95,69.1,41783
2019-02-06 00:00:00+05:30,70.35,70.35,67.4,68.6,41032
2019-02-07 00:00:00+05:30,68.95,68.95,67.25,68.1,23793
2019-02-08 00:00:00+05:30,69.4,69.4,67.5,67.95,29802
2019-02-11 00:00:00+05:30,67.45,68.45,63.05,64.85,84505
2019-02-12 00:00:00+05:30,65.55,66.45,63.25,64.0,35906
2019-02-13 00:00:00+05:30,64.15,65.3,62.55,63.4,39951
2019-02-14 00:00:00+05:30,62.6,63.7,61.55,62.35,39073
2019-02-15 00:00:00+05:30,62.85,62.85,57.95,59.9,86165
2019-02-18 00:00:00+05:30,60.85,62.0,58.15,59.75,74609
2019-02-19 00:00:00+05:30,60.5,62.5,59.95,61.4,42217
2019-02-20 00:00:00+05:30,61.8,62.8,60.25,61.95,19725
2019-02-21 00:00:00+05:30,62.45,69.9,54.25,67.5,642154
2019-02-22 00:00:00+05:30,67.95,71.9,67.95,69.9,135449
2019-02-25 00:00:00+05:30,70.9,75.3,70.85,72.5,123105
2019-02-26 00:00:00+05:30,71.4,71.9,69.65,70.75,68433
2019-02-27 00:00:00+05:30,72.15,72.15,66.15,69.1,61906
2019-02-28 00:00:00+05:30,70.4,70.8,67.45,70.25,46235
2019-03-01 00:00:00+05:30,70.65,72.85,68.95,72.1,80214
2019-03-05 00:00:00+05:30,70.9,79.3,70.9,75.35,224411
2019-03-06 00:00:00+05:30,76.3,80.2,74.55,79.45,268814
2019-03-07 00:00:00+05:30,80.45,80.9,76.85,78.35,135295
2019-03-08 00:00:00+05:30,78.75,79.9,77.35,77.7,64733
2019-03-11 00:00:00+05:30,77.7,79.3,77.7,78.45,51775
2019-03-12 00:00:00+05:30,79.6,80.25,77.05,77.75,73539
2019-03-13 00:00:00+05:30,77.3,78.3,76.1,76.25,76122
2019-03-14 00:00:00+05:30,77.2,77.55,73.6,74.0,66780
2019-03-15 00:00:00+05:30,72.85,75.15,72.45,72.65,55646
2019-03-18 00:00:00+05:30,73.05,73.2,70.15,70.55,69849
2019-03-19 00:00:00+05:30,71.7,73.6,70.5,72.35,94417
2019-03-20 00:00:00+05:30,72.4,74.35,70.95,72.1,86376
2019-03-22 00:00:00+05:30,72.2,75.8,72.0,75.15,247506
2019-03-25 00:00:00+05:30,75.55,76.8,73.85,75.1,65880
2019-03-26 00:00:00+05:30,74.0,77.45,74.0,76.4,88420
