date,open,high,low,close,volume
2023-12-21 00:00:00+05:30,65.0,68.25,63.0,68.25,826000
2023-12-22 00:00:00+05:30,71.65,71.65,71.65,71.65,96000
2023-12-26 00:00:00+05:30,75.2,75.2,75.2,75.2,64000
2023-12-27 00:00:00+05:30,78.95,78.95,78.95,78.95,50000
2023-12-28 00:00:00+05:30,82.8,82.85,78.0,82.85,660000
2023-12-29 00:00:00+05:30,86.5,86.95,84.55,86.95,176000
2024-01-01 00:00:00+05:30,89.95,91.25,82.6,85.05,388000
2024-01-02 00:00:00+05:30,84.8,84.8,80.8,81.0,230000
2024-01-03 00:00:00+05:30,78.0,85.05,78.0,85.05,172000
2024-01-04 00:00:00+05:30,89.0,89.3,85.05,89.3,158000
2024-01-05 00:00:00+05:30,93.5,97.2,85.0,91.65,214000
2024-01-08 00:00:00+05:30,93.5,93.5,87.0,89.15,92000
2024-01-09 00:00:00+05:30,87.0,103.95,87.0,100.5,286000
2024-01-10 00:00:00+05:30,101.4,102.0,95.0,97.0,68000
2024-01-11 00:00:00+05:30,96.95,98.4,92.65,96.85,66000
2024-01-12 00:00:00+05:30,95.05,97.7,92.5,96.05,50000
2024-01-15 00:00:00+05:30,86.0,96.1,86.0,91.7,46000
2024-01-16 00:00:00+05:30,92.0,95.0,91.0,91.5,34000
2024-01-17 00:00:00+05:30,90.0,92.7,89.45,91.0,56000
2024-01-18 00:00:00+05:30,91.0,91.0,86.0,86.5,64000
2024-01-19 00:00:00+05:30,89.5,90.0,87.0,89.8,30000
2024-01-20 00:00:00+05:30,92.0,94.0,89.0,89.65,28000
2024-01-23 00:00:00+05:30,87.05,87.05,82.15,83.75,42000
2024-01-24 00:00:00+05:30,84.4,85.0,81.75,83.4,32000
2024-01-25 00:00:00+05:30,83.6,90.0,83.5,86.65,26000
2024-01-29 00:00:00+05:30,87.0,88.0,85.0,85.5,18000
2024-01-30 00:00:00+05:30,83.5,88.6,82.5,87.15,48000
2024-01-31 00:00:00+05:30,89.85,89.85,87.0,87.5,28000
2024-02-01 00:00:00+05:30,85.0,87.85,84.15,85.65,56000
2024-02-02 00:00:00+05:30,84.15,86.65,84.0,84.1,8000
2024-02-05 00:00:00+05:30,84.0,86.0,80.8,83.65,66000
2024-02-06 00:00:00+05:30,78.5,81.4,78.5,79.85,34000
2024-02-07 00:00:00+05:30,79.85,81.8,78.0,80.15,80000
2024-02-08 00:00:00+05:30,81.0,96.15,81.0,96.15,204000
2024-02-09 00:00:00+05:30,97.95,98.9,87.55,93.45,58000
2024-02-12 00:00:00+05:30,88.4,90.0,85.8,85.9,24000
2024-02-13 00:00:00+05:30,88.0,89.0,84.4,87.0,26000
2024-02-14 00:00:00+05:30,87.0,87.0,85.0,86.95,8000
2024-02-15 00:00:00+05:30,86.95,87.0,84.7,85.85,12000
2024-02-16 00:00:00+05:30,87.0,95.0,87.0,91.55,36000
2024-02-19 00:00:00+05:30,91.55,97.5,91.55,92.85,42000
2024-02-20 00:00:00+05:30,96.3,96.8,92.5,92.75,22000
2024-02-21 00:00:00+05:30,91.05,93.0,91.0,91.0,12000
2024-02-22 00:00:00+05:30,90.0,90.0,88.1,88.1,6000
2024-02-23 00:00:00+05:30,92.0,105.7,92.0,101.05,218000
2024-02-26 00:00:00+05:30,99.1,99.1,96.5,97.9,30000
2024-02-27 00:00:00+05:30,97.9,97.9,95.4,97.0,22000
2024-02-28 00:00:00+05:30,100.0,108.95,98.15,98.9,80000
2024-02-29 00:00:00+05:30,99.95,101.0,96.1,97.5,22000
2024-03-01 00:00:00+05:30,98.0,105.3,98.0,104.85,42000
2024-03-04 00:00:00+05:30,105.0,105.0,100.0,104.1,38000
2024-03-05 00:00:00+05:30,105.0,105.0,102.0,102.0,6000
2024-03-06 00:00:00+05:30,102.0,105.8,102.0,105.05,24000
2024-03-07 00:00:00+05:30,105.15,105.5,105.1,105.5,10000
2024-03-11 00:00:00+05:30,105.0,105.5,96.0,101.4,36000
2024-03-12 00:00:00+05:30,96.2,99.9,96.2,98.0,20000
2024-03-13 00:00:00+05:30,92.0,99.5,87.95,94.65,76000
2024-03-14 00:00:00+05:30,95.0,99.45,95.0,97.0,22000
2024-03-15 00:00:00+05:30,100.0,102.0,98.5,100.0,34000
2024-03-18 00:00:00+05:30,96.75,106.0,96.75,104.0,22000
2024-03-19 00:00:00+05:30,104.0,111.2,104.0,108.85,58000
2024-03-20 00:00:00+05:30,110.0,115.0,110.0,110.5,34000
2024-03-21 00:00:00+05:30,112.0,120.0,112.0,119.75,40000
2024-03-22 00:00:00+05:30,124.0,128.4,123.0,124.1,26000
2024-03-26 00:00:00+05:30,124.0,130.0,121.0,126.05,40000
2024-03-27 00:00:00+05:30,122.6,126.2,120.0,120.0,14000
