date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,169.4,169.95,166.7,167.4,40084
2019-01-02 00:00:00+05:30,167.05,167.8,164.1,165.65,21643
2019-01-03 00:00:00+05:30,164.1,167.0,162.0,163.0,15782
2019-01-04 00:00:00+05:30,162.05,167.0,161.3,164.9,17531
2019-01-07 00:00:00+05:30,165.7,168.45,165.05,166.25,25769
2019-01-08 00:00:00+05:30,167.0,169.75,164.8,166.65,35489
2019-01-09 00:00:00+05:30,167.95,167.95,163.6,164.9,19874
2019-01-10 00:00:00+05:30,164.85,168.0,161.6,163.0,41576
2019-01-11 00:00:00+05:30,162.25,164.9,162.2,162.6,17804
2019-01-14 00:00:00+05:30,163.6,163.65,158.2,160.0,24649
2019-01-15 00:00:00+05:30,160.9,165.55,156.1,158.35,90593
2019-01-16 00:00:00+05:30,158.65,162.0,155.95,156.9,62609
2019-01-17 00:00:00+05:30,158.45,158.95,147.5,150.05,76075
2019-01-18 00:00:00+05:30,151.5,151.5,145.0,149.55,55203
2019-01-21 00:00:00+05:30,149.85,151.1,146.0,146.65,36845
2019-01-22 00:00:00+05:30,146.2,147.1,145.0,145.35,16060
2019-01-23 00:00:00+05:30,145.0,152.0,145.0,148.85,57868
2019-01-24 00:00:00+05:30,148.7,150.1,141.25,142.0,48059
2019-01-25 00:00:00+05:30,141.8,146.0,141.05,141.55,28964
2019-01-28 00:00:00+05:30,142.65,145.0,138.0,139.25,40829
2019-01-29 00:00:00+05:30,140.0,140.0,130.1,133.55,59164
2019-01-30 00:00:00+05:30,134.55,135.9,131.0,132.45,58756
2019-01-31 00:00:00+05:30,133.45,144.0,131.55,141.65,49212
2019-02-01 00:00:00+05:30,142.0,148.0,134.0,135.8,35377
2019-02-04 00:00:00+05:30,132.1,137.35,131.85,133.45,18573
2019-02-05 00:00:00+05:30,134.8,135.0,128.35,130.45,27010
2019-02-06 00:00:00+05:30,128.0,135.75,128.0,130.7,60585
2019-02-07 00:00:00+05:30,132.65,137.0,130.5,135.15,43273
2019-02-08 00:00:00+05:30,134.15,136.75,132.0,133.2,19343
2019-02-11 00:00:00+05:30,128.5,132.85,128.0,130.15,21068
2019-02-12 00:00:00+05:30,128.0,131.3,127.35,129.25,16796
2019-02-13 00:00:00+05:30,129.15,134.85,127.0,128.55,36547
2019-02-14 00:00:00+05:30,127.5,127.5,115.5,120.5,127183
2019-02-15 00:00:00+05:30,120.9,129.0,116.0,126.55,88721
2019-02-18 00:00:00+05:30,128.0,132.0,127.25,128.1,41422
2019-02-19 00:00:00+05:30,125.15,130.0,125.15,129.85,21422
2019-02-20 00:00:00+05:30,131.8,132.0,125.6,126.45,23944
2019-02-21 00:00:00+05:30,126.45,130.0,126.1,128.85,19488
2019-02-22 00:00:00+05:30,126.5,129.85,126.5,128.75,18088
2019-02-25 00:00:00+05:30,129.0,129.8,127.1,128.05,20926
2019-02-26 00:00:00+05:30,127.05,127.8,122.0,122.7,30250
2019-02-27 00:00:00+05:30,123.05,127.0,121.0,124.85,38887
2019-02-28 00:00:00+05:30,123.5,131.0,123.45,130.05,138698
2019-03-01 00:00:00+05:30,129.0,133.9,125.55,127.85,71732
2019-03-05 00:00:00+05:30,129.8,144.5,129.05,143.05,374584
2019-03-06 00:00:00+05:30,144.1,145.15,138.0,141.1,63457
2019-03-07 00:00:00+05:30,142.3,142.5,138.8,141.7,42058
2019-03-08 00:00:00+05:30,141.3,142.9,138.7,141.95,25389
2019-03-11 00:00:00+05:30,141.95,153.0,141.4,151.35,90760
2019-03-12 00:00:00+05:30,152.0,154.0,150.65,151.5,36910
2019-03-13 00:00:00+05:30,150.85,152.3,144.55,147.1,44820
2019-03-14 00:00:00+05:30,147.95,153.6,145.95,151.6,24938
2019-03-15 00:00:00+05:30,152.0,158.95,151.05,153.2,61568
2019-03-18 00:00:00+05:30,154.0,155.85,147.1,150.15,25558
2019-03-19 00:00:00+05:30,153.9,153.9,149.0,151.55,8606
2019-03-20 00:00:00+05:30,155.85,155.85,150.95,152.3,17792
2019-03-22 00:00:00+05:30,157.3,157.65,152.1,154.5,22868
2019-03-25 00:00:00+05:30,149.25,153.1,149.0,152.55,12764
2019-03-26 00:00:00+05:30,152.85,158.55,151.85,156.05,34202
2019-03-27 00:00:00+05:30,157.35,159.8,154.35,157.15,23129
2019-03-28 00:00:00+05:30,157.55,163.85,157.5,160.7,21757
