date,open,high,low,close,volume
2019-03-05 00:00:00+05:30,25.05,25.05,25.05,25.05,4375
2019-04-09 00:00:00+05:30,25.05,25.05,25.05,25.05,48125
2019-04-10 00:00:00+05:30,25.05,25.05,25.05,25.05,39375
2019-04-18 00:00:00+05:30,25.05,25.05,25.05,25.05,78750
2019-04-26 00:00:00+05:30,25.05,25.05,25.05,25.05,78750
2019-05-03 00:00:00+05:30,25.05,25.05,25.05,25.05,39375
2019-05-06 00:00:00+05:30,25.05,25.05,25.05,25.05,78750
2019-05-08 00:00:00+05:30,25.05,25.05,25.05,25.05,35000
2019-05-17 00:00:00+05:30,25.35,25.35,25.35,25.35,39375
2019-05-20 00:00:00+05:30,25.35,25.35,25.35,25.35,91875
2019-05-23 00:00:00+05:30,25.35,25.35,25.35,25.35,61250
2019-05-24 00:00:00+05:30,25.35,25.35,25.35,25.35,175000
2019-05-28 00:00:00+05:30,26.75,26.75,26.75,26.75,4375
2019-05-29 00:00:00+05:30,25.35,27.75,25.35,27.75,87500
2019-06-13 00:00:00+05:30,27.45,27.45,27.45,27.45,109375
2019-06-14 00:00:00+05:30,27.45,27.45,27.45,27.45,153125
2019-06-17 00:00:00+05:30,27.45,27.45,27.45,27.45,13125
2019-06-18 00:00:00+05:30,27.45,27.45,27.45,27.45,35000
2019-06-21 00:00:00+05:30,27.45,27.45,27.45,27.45,30625
2019-06-27 00:00:00+05:30,27.45,27.45,27.45,27.45,30625
2019-07-10 00:00:00+05:30,27.45,27.45,27.45,27.45,13125
2019-08-07 00:00:00+05:30,27.45,27.45,27.45,27.45,56875
2019-08-08 00:00:00+05:30,27.45,27.45,27.45,27.45,8750
2019-08-14 00:00:00+05:30,27.45,27.45,27.45,27.45,56875
2019-10-11 00:00:00+05:30,26.75,26.75,26.75,26.75,4375
2020-02-04 00:00:00+05:30,28.65,28.65,28.65,28.65,4375
2020-03-11 00:00:00+05:30,27.45,27.45,27.45,27.45,4375
2020-03-24 00:00:00+05:30,27.45,27.45,27.45,27.45,56875
2020-03-25 00:00:00+05:30,27.75,27.75,27.75,27.75,78750
2020-05-11 00:00:00+05:30,26.4,26.4,26.4,26.4,4375
2020-05-29 00:00:00+05:30,26.4,26.4,26.4,26.4,188125
2020-06-24 00:00:00+05:30,26.4,26.4,26.4,26.4,74375
2020-07-06 00:00:00+05:30,26.4,26.4,26.4,26.4,56875
2020-07-10 00:00:00+05:30,26.45,26.45,26.45,26.45,61250
2020-07-22 00:00:00+05:30,26.5,26.55,26.5,26.55,293125
2020-07-28 00:00:00+05:30,26.6,26.75,26.6,26.75,105000
2020-11-23 00:00:00+05:30,30.15,30.15,30.15,30.15,17500
2020-12-04 00:00:00+05:30,30.15,30.15,30.15,30.15,4375
2021-01-07 00:00:00+05:30,31.55,36.15,31.55,36.15,17500
2021-01-13 00:00:00+05:30,33.45,33.45,33.45,33.45,4375
2021-02-19 00:00:00+05:30,31.25,31.25,31.25,31.25,4375
2021-02-24 00:00:00+05:30,32.0,35.15,32.0,35.15,13125
2021-03-02 00:00:00+05:30,42.15,42.15,38.4,38.45,35000
2021-03-03 00:00:00+05:30,41.1,46.1,41.1,46.1,145433
2021-03-04 00:00:00+05:30,48.0,55.35,48.0,54.65,566278
2021-03-05 00:00:00+05:30,53.05,53.05,44.7,46.85,339625
2021-03-08 00:00:00+05:30,44.55,47.05,39.15,43.25,114191
2021-03-09 00:00:00+05:30,42.85,47.0,42.85,43.95,59936
2021-03-10 00:00:00+05:30,44.55,46.5,42.95,43.1,30067
2021-03-12 00:00:00+05:30,44.55,44.55,39.85,41.25,36657
2021-03-15 00:00:00+05:30,41.3,42.7,39.25,39.95,30743
2021-03-16 00:00:00+05:30,42.2,42.5,38.55,39.45,26619
2021-03-17 00:00:00+05:30,40.35,40.95,35.55,37.5,39545
2021-03-18 00:00:00+05:30,37.8,38.55,36.85,37.45,6635
2021-03-19 00:00:00+05:30,33.95,37.45,33.95,35.55,21701
2021-03-22 00:00:00+05:30,35.55,35.55,31.6,33.45,32778
2021-03-23 00:00:00+05:30,38.1,40.1,36.0,40.1,124459
2021-03-24 00:00:00+05:30,47.55,48.15,45.0,47.75,445512
2021-03-25 00:00:00+05:30,48.85,57.15,45.45,47.3,1037104
2021-03-26 00:00:00+05:30,47.4,49.7,40.1,43.55,217820
2021-03-30 00:00:00+05:30,42.0,42.8,39.85,40.25,78943
2021-03-31 00:00:00+05:30,41.9,48.25,40.3,48.25,315609
2021-04-01 00:00:00+05:30,50.55,55.7,46.7,47.7,532665
2021-04-05 00:00:00+05:30,49.2,49.65,44.55,45.55,112260
2021-04-06 00:00:00+05:30,47.1,47.1,41.65,43.5,75982
2021-04-07 00:00:00+05:30,44.15,51.3,42.95,46.5,410284
2021-04-08 00:00:00+05:30,47.85,48.65,45.75,46.2,74890
2021-04-09 00:00:00+05:30,46.9,46.9,43.15,45.45,134845
2021-04-12 00:00:00+05:30,45.25,45.75,42.35,43.3,38082
2021-04-13 00:00:00+05:30,43.65,46.3,43.4,45.15,155608
2021-04-15 00:00:00+05:30,43.4,46.75,43.4,44.05,148919
2021-04-16 00:00:00+05:30,43.7,45.8,43.7,44.8,86025
2021-04-19 00:00:00+05:30,44.8,44.8,40.1,42.7,91410
2021-04-20 00:00:00+05:30,43.95,43.95,39.0,41.2,102541
2021-04-22 00:00:00+05:30,41.2,41.85,38.85,40.55,104782
2021-04-23 00:00:00+05:30,41.4,48.2,40.0,43.2,229454
2021-04-26 00:00:00+05:30,44.5,46.05,43.7,43.95,37616
2021-04-27 00:00:00+05:30,43.85,44.7,42.95,43.4,30921
2021-04-28 00:00:00+05:30,44.05,44.15,42.85,43.1,27440
2021-04-29 00:00:00+05:30,42.85,45.45,42.85,43.4,20712
2021-04-30 00:00:00+05:30,42.55,43.65,42.1,42.65,19227
2021-05-03 00:00:00+05:30,43.2,43.5,42.45,42.85,26577
2021-05-04 00:00:00+05:30,42.05,44.55,42.05,42.7,37083
2021-05-05 00:00:00+05:30,44.45,44.5,39.8,42.15,52059
2021-05-06 00:00:00+05:30,45.45,47.85,43.4,45.75,237043
2021-05-07 00:00:00+05:30,46.3,46.3,40.35,40.8,378744
2021-05-10 00:00:00+05:30,41.85,42.45,38.6,39.2,212842
2021-05-11 00:00:00+05:30,39.25,40.25,37.8,38.35,146209
2021-05-12 00:00:00+05:30,39.15,39.35,37.55,38.05,41330
2021-05-14 00:00:00+05:30,39.15,39.2,38.15,38.3,33431
2021-05-17 00:00:00+05:30,40.0,40.0,37.8,38.05,12840
2021-05-18 00:00:00+05:30,38.9,39.0,35.0,37.15,53851
2021-05-19 00:00:00+05:30,38.25,38.4,36.5,38.05,17507
2021-05-20 00:00:00+05:30,38.95,39.45,38.1,38.55,24431
2021-05-21 00:00:00+05:30,39.05,39.35,36.9,37.95,25027
2021-05-24 00:00:00+05:30,37.95,38.55,37.45,37.95,13630
2021-05-25 00:00:00+05:30,38.85,39.0,36.45,37.05,20725
2021-05-26 00:00:00+05:30,38.3,38.3,36.85,37.4,22666
2021-05-27 00:00:00+05:30,38.5,38.5,36.5,37.2,17772
2021-05-28 00:00:00+05:30,38.1,38.1,36.25,36.8,19888
2021-05-31 00:00:00+05:30,36.8,37.9,36.0,36.8,22192
2021-06-01 00:00:00+05:30,37.55,37.55,36.25,37.1,14635
2021-06-02 00:00:00+05:30,38.0,38.0,36.45,36.65,12502
2021-06-03 00:00:00+05:30,37.35,37.35,36.45,36.85,11638
2021-06-04 00:00:00+05:30,37.3,38.55,36.45,38.1,36539
2021-06-07 00:00:00+05:30,38.65,40.05,36.75,37.1,142242
2021-06-08 00:00:00+05:30,38.3,38.3,36.4,36.45,85054
2021-06-09 00:00:00+05:30,37.2,37.25,35.75,36.0,62252
2021-06-10 00:00:00+05:30,36.95,36.95,34.7,34.95,75411
2021-06-11 00:00:00+05:30,34.95,36.0,33.7,34.4,60656
2021-06-14 00:00:00+05:30,35.25,35.25,32.9,34.65,32971
2021-06-15 00:00:00+05:30,34.7,35.35,33.8,34.2,40992
2021-06-16 00:00:00+05:30,33.85,35.1,33.8,34.3,19178
2021-06-17 00:00:00+05:30,34.3,34.95,33.0,34.1,59302
2021-06-18 00:00:00+05:30,33.9,34.7,32.1,33.1,35510
2021-06-21 00:00:00+05:30,32.25,33.85,32.25,32.55,32166
2021-06-22 00:00:00+05:30,32.55,39.1,32.5,38.2,1068833
2021-06-23 00:00:00+05:30,38.25,39.4,35.55,36.3,221120
2021-06-24 00:00:00+05:30,36.1,36.65,33.55,34.4,81277
2021-06-25 00:00:00+05:30,34.35,35.3,33.5,34.1,49244
2021-06-28 00:00:00+05:30,34.15,35.75,33.45,34.5,74953
2021-06-29 00:00:00+05:30,34.5,35.15,34.05,34.3,38278
2021-06-30 00:00:00+05:30,34.4,34.95,33.4,33.8,37076
2021-07-01 00:00:00+05:30,33.8,34.2,33.45,33.65,191570
2021-07-02 00:00:00+05:30,33.85,40.3,33.85,39.7,1030543
2021-07-05 00:00:00+05:30,39.25,39.25,36.0,36.9,327639
2021-07-06 00:00:00+05:30,37.65,37.95,36.05,36.15,68521
2021-07-07 00:00:00+05:30,37.1,37.1,36.1,36.85,32410
2021-07-08 00:00:00+05:30,36.9,37.65,35.75,36.0,47999
2021-07-09 00:00:00+05:30,36.2,36.7,35.7,36.15,200242
2021-07-12 00:00:00+05:30,37.2,37.65,35.75,35.95,38014
2021-07-13 00:00:00+05:30,36.0,36.85,35.8,35.95,21634
2021-07-14 00:00:00+05:30,36.65,36.65,35.35,36.1,19367
2021-07-15 00:00:00+05:30,35.75,36.4,35.6,35.7,185346
2021-07-16 00:00:00+05:30,36.8,39.45,36.15,38.1,327137
2021-07-19 00:00:00+05:30,36.9,37.55,36.1,36.55,231699
2021-07-20 00:00:00+05:30,37.1,37.1,35.8,36.0,28359
2021-07-22 00:00:00+05:30,37.3,37.3,35.55,35.85,30335
2021-07-23 00:00:00+05:30,35.6,36.15,34.15,34.45,56200
2021-07-26 00:00:00+05:30,35.75,35.75,34.25,34.35,35817
2021-07-27 00:00:00+05:30,34.35,35.1,33.5,34.1,38833
2021-07-28 00:00:00+05:30,34.95,34.95,33.25,33.7,21142
2021-07-29 00:00:00+05:30,35.0,35.0,33.0,34.05,17677
2021-07-30 00:00:00+05:30,34.2,34.65,33.0,33.1,87390
2021-08-02 00:00:00+05:30,34.05,34.05,32.85,33.05,26534
2021-08-03 00:00:00+05:30,33.1,33.85,32.75,33.3,40668
2021-08-04 00:00:00+05:30,33.0,33.3,31.7,32.25,54184
2021-08-05 00:00:00+05:30,32.85,32.85,31.3,31.65,15531
2021-08-06 00:00:00+05:30,32.0,32.85,31.6,32.15,21401
2021-08-09 00:00:00+05:30,32.55,32.65,31.7,32.15,11048
2021-08-10 00:00:00+05:30,31.7,32.35,30.0,31.0,37524
2021-08-11 00:00:00+05:30,31.65,31.65,28.7,30.15,25253
2021-08-12 00:00:00+05:30,30.05,32.1,29.55,30.4,33534
2021-08-13 00:00:00+05:30,30.7,31.4,30.45,31.1,15030
2021-08-16 00:00:00+05:30,31.95,31.95,30.0,30.3,12496
2021-08-17 00:00:00+05:30,29.45,30.4,29.35,29.45,9315
2021-08-18 00:00:00+05:30,29.45,29.9,28.25,29.05,29274
2021-08-20 00:00:00+05:30,29.05,29.9,28.3,28.65,17803
2021-08-23 00:00:00+05:30,28.65,29.55,28.1,28.75,8630
2021-08-24 00:00:00+05:30,29.75,29.75,27.45,28.2,21870
2021-08-25 00:00:00+05:30,28.55,29.0,28.3,28.9,4631
2021-08-26 00:00:00+05:30,28.6,28.85,28.3,28.7,10501
2021-08-27 00:00:00+05:30,29.55,29.6,28.55,28.95,5567
2021-08-30 00:00:00+05:30,29.8,29.8,29.15,29.7,13154
2021-08-31 00:00:00+05:30,29.7,29.7,28.5,29.0,7499
2021-09-01 00:00:00+05:30,29.55,29.55,28.8,28.9,3246
2021-09-02 00:00:00+05:30,28.7,29.55,28.7,29.05,8052
2021-09-03 00:00:00+05:30,28.65,29.55,28.65,29.05,4795
2021-09-06 00:00:00+05:30,28.75,29.3,28.75,29.2,15722
2021-09-07 00:00:00+05:30,29.15,29.15,28.45,28.9,10283
2021-09-08 00:00:00+05:30,28.65,30.0,28.65,29.05,4524
2021-09-09 00:00:00+05:30,29.55,29.55,28.6,28.75,10922
2021-09-13 00:00:00+05:30,29.45,30.05,28.6,28.65,9867
2021-09-14 00:00:00+05:30,28.55,29.45,28.55,28.85,16468
2021-09-15 00:00:00+05:30,28.55,29.25,28.55,29.05,15824
2021-09-16 00:00:00+05:30,29.05,30.15,28.3,29.5,68683
2021-09-17 00:00:00+05:30,29.25,31.55,28.45,29.65,41801
2021-09-20 00:00:00+05:30,29.55,29.7,28.7,29.05,23010
2021-09-21 00:00:00+05:30,29.55,30.7,28.55,28.8,5626
2021-09-22 00:00:00+05:30,28.7,29.4,28.5,28.95,5608
2021-09-23 00:00:00+05:30,29.85,29.85,28.9,29.0,8612
2021-09-24 00:00:00+05:30,29.55,29.55,28.4,28.55,12929
2021-09-27 00:00:00+05:30,28.55,29.05,27.0,28.2,20425
2021-09-28 00:00:00+05:30,28.8,29.1,27.6,27.8,16729
2021-09-29 00:00:00+05:30,28.95,28.95,27.75,27.85,12639
2021-09-30 00:00:00+05:30,28.65,29.1,28.0,28.65,20841
2021-10-01 00:00:00+05:30,28.6,29.05,28.55,28.8,5525
2021-10-04 00:00:00+05:30,28.6,29.55,28.15,29.1,17613
2021-10-05 00:00:00+05:30,29.55,29.55,24.45,26.8,67250
2021-10-06 00:00:00+05:30,27.45,32.15,27.45,32.15,410978
2021-10-07 00:00:00+05:30,37.2,38.15,34.7,35.85,936190
2021-10-08 00:00:00+05:30,35.85,37.7,34.3,36.65,213964
2021-10-11 00:00:00+05:30,36.0,36.2,34.7,34.95,97360
2021-10-12 00:00:00+05:30,35.95,35.95,32.7,32.95,83976
2021-10-13 00:00:00+05:30,32.85,33.95,31.75,31.9,51867
2021-10-14 00:00:00+05:30,31.9,32.9,30.95,31.9,32621
2021-10-18 00:00:00+05:30,31.55,32.45,31.3,31.4,27413
2021-10-19 00:00:00+05:30,31.7,36.85,31.7,33.85,266972
2021-10-20 00:00:00+05:30,34.2,35.0,31.65,32.7,28018
2021-10-21 00:00:00+05:30,32.35,33.25,31.35,32.0,19020
2021-10-22 00:00:00+05:30,33.15,33.15,31.05,31.6,13249
2021-10-25 00:00:00+05:30,31.6,32.85,31.6,32.0,14489
2021-10-26 00:00:00+05:30,33.15,37.2,31.9,35.75,167701
2021-10-27 00:00:00+05:30,35.5,35.5,33.2,33.6,49343
2021-10-28 00:00:00+05:30,33.45,34.55,30.1,31.5,49177
2021-10-29 00:00:00+05:30,32.45,32.45,26.75,29.6,69649
2021-11-01 00:00:00+05:30,29.85,31.5,29.85,30.45,22084
2021-11-02 00:00:00+05:30,31.65,31.65,30.75,30.85,8132
2021-11-03 00:00:00+05:30,30.85,31.3,30.45,30.55,8174
2021-11-04 00:00:00+05:30,30.55,31.35,30.45,30.85,2064
2021-11-08 00:00:00+05:30,30.85,32.05,30.1,31.0,10991
2021-11-09 00:00:00+05:30,31.45,31.45,30.75,30.9,11265
2021-11-10 00:00:00+05:30,31.35,33.45,30.65,32.5,50513
2021-11-11 00:00:00+05:30,32.55,32.55,31.65,31.9,3315
2021-11-12 00:00:00+05:30,32.3,32.3,30.95,31.35,3101
2021-11-15 00:00:00+05:30,29.3,32.25,29.3,30.75,40852
2021-11-16 00:00:00+05:30,31.8,31.85,30.15,31.45,40457
2021-11-17 00:00:00+05:30,31.15,31.5,30.45,30.65,45487
2021-11-18 00:00:00+05:30,31.05,31.55,30.0,31.3,50265
2021-11-22 00:00:00+05:30,31.7,31.7,30.0,30.25,5030
2021-11-23 00:00:00+05:30,31.1,31.1,30.0,30.35,72419
2021-11-24 00:00:00+05:30,31.2,31.2,29.95,30.15,13777
2021-11-25 00:00:00+05:30,30.5,30.8,30.35,30.6,5265
2021-11-26 00:00:00+05:30,29.15,31.2,29.15,29.65,9781
2021-11-29 00:00:00+05:30,29.3,30.2,26.9,28.1,25568
2021-11-30 00:00:00+05:30,27.25,28.9,27.25,27.9,9878
2021-12-01 00:00:00+05:30,28.65,28.65,26.85,27.85,13521
2021-12-02 00:00:00+05:30,28.1,28.85,27.85,28.05,7023
2021-12-03 00:00:00+05:30,27.95,33.7,26.45,28.45,1807826
2021-12-06 00:00:00+05:30,27.45,29.9,25.1,25.4,661288
2021-12-07 00:00:00+05:30,25.95,27.05,25.35,25.85,95947
2021-12-08 00:00:00+05:30,25.85,26.6,25.8,26.4,44916
2021-12-09 00:00:00+05:30,26.4,27.05,26.25,26.85,44202
2021-12-10 00:00:00+05:30,27.3,27.3,26.25,26.5,1118348
2021-12-13 00:00:00+05:30,27.05,27.05,26.35,26.6,39100
2021-12-14 00:00:00+05:30,27.2,27.2,26.35,26.45,27074
2021-12-15 00:00:00+05:30,27.05,27.95,26.6,27.3,75558
2021-12-16 00:00:00+05:30,28.15,28.15,26.85,27.6,32009
2021-12-17 00:00:00+05:30,28.05,28.05,26.5,26.7,872115
2021-12-20 00:00:00+05:30,26.75,27.4,25.7,26.75,107317
2021-12-21 00:00:00+05:30,27.6,27.6,25.9,26.55,48915
2021-12-22 00:00:00+05:30,27.05,27.05,26.3,26.5,24480
2021-12-23 00:00:00+05:30,27.25,27.25,26.4,26.7,12966
2021-12-24 00:00:00+05:30,27.35,27.35,26.4,26.6,48936
2021-12-27 00:00:00+05:30,26.6,27.0,26.4,26.65,10632
2021-12-28 00:00:00+05:30,26.6,27.75,26.55,26.85,45305
2021-12-29 00:00:00+05:30,26.75,27.75,26.75,27.45,76771
2021-12-30 00:00:00+05:30,27.85,27.85,26.85,27.1,78178
2021-12-31 00:00:00+05:30,27.5,27.55,26.75,27.15,115343
2022-01-03 00:00:00+05:30,27.5,27.5,27.2,27.3,14953
2022-01-04 00:00:00+05:30,28.55,31.95,27.45,29.9,690806
2022-01-05 00:00:00+05:30,30.25,30.25,27.7,28.1,97602
2022-01-06 00:00:00+05:30,28.7,31.65,27.7,30.7,382474
2022-01-07 00:00:00+05:30,31.25,32.05,30.45,31.1,361804
2022-01-10 00:00:00+05:30,31.95,31.95,30.15,30.6,299208
2022-01-11 00:00:00+05:30,30.75,31.35,30.15,30.75,249646
2022-01-12 00:00:00+05:30,31.05,31.3,29.2,29.5,158991
2022-01-13 00:00:00+05:30,29.9,30.45,29.55,29.75,130618
2022-01-14 00:00:00+05:30,29.25,30.75,29.25,29.8,86812
2022-01-17 00:00:00+05:30,29.25,30.5,29.25,29.75,120576
2022-01-18 00:00:00+05:30,30.15,35.65,28.3,30.45,2381346
2022-01-19 00:00:00+05:30,29.5,31.55,28.45,29.65,665594
2022-01-20 00:00:00+05:30,29.8,31.1,28.8,29.15,296204
2022-01-21 00:00:00+05:30,28.45,29.65,28.3,28.5,148868
2022-01-24 00:00:00+05:30,28.95,29.15,26.0,27.05,181726
2022-01-25 00:00:00+05:30,27.1,28.5,26.25,27.9,73457
2022-01-27 00:00:00+05:30,28.2,28.2,26.2,26.65,97462
2022-01-28 00:00:00+05:30,27.25,27.7,26.5,26.85,50558
2022-01-31 00:00:00+05:30,27.45,27.45,26.4,26.6,137038
2022-02-01 00:00:00+05:30,27.2,27.35,26.55,26.65,95344
2022-02-02 00:00:00+05:30,27.15,28.25,26.6,27.35,502717
2022-02-03 00:00:00+05:30,28.0,30.7,26.8,29.1,730294
2022-02-04 00:00:00+05:30,29.1,29.85,28.95,29.15,165358
