date,open,high,low,close,volume
2023-06-20 00:00:00+05:30,24.25,25.0,23.05,23.65,109415
2023-06-21 00:00:00+05:30,24.2,24.45,23.25,23.75,39831
2023-06-22 00:00:00+05:30,24.2,24.25,23.0,23.4,33086
2023-06-23 00:00:00+05:30,23.7,23.7,22.5,23.1,23100
2023-06-26 00:00:00+05:30,23.15,23.5,22.0,22.95,41732
2023-06-27 00:00:00+05:30,23.0,23.55,22.4,22.7,37778
2023-06-28 00:00:00+05:30,22.75,24.15,22.7,23.45,98949
2023-06-30 00:00:00+05:30,23.9,24.0,22.55,23.1,52797
2023-07-03 00:00:00+05:30,23.1,23.85,22.5,23.1,30172
2023-07-04 00:00:00+05:30,23.65,23.65,22.5,22.9,128532
2023-07-05 00:00:00+05:30,22.9,23.0,22.15,22.65,245320
2023-07-06 00:00:00+05:30,22.5,23.3,22.5,22.75,319652
2023-07-07 00:00:00+05:30,23.15,23.15,22.55,22.65,115264
2023-07-10 00:00:00+05:30,23.0,23.2,22.55,22.85,23580
2023-07-11 00:00:00+05:30,23.5,23.5,22.55,22.85,18716
2023-07-12 00:00:00+05:30,23.35,23.35,21.5,22.45,30685
2023-07-13 00:00:00+05:30,22.65,26.25,22.25,24.55,675914
2023-07-14 00:00:00+05:30,25.1,27.0,24.2,25.25,313003
2023-07-17 00:00:00+05:30,25.85,26.5,25.25,25.9,230214
2023-07-18 00:00:00+05:30,25.9,26.35,24.4,24.85,70435
2023-07-19 00:00:00+05:30,24.3,26.0,24.3,25.5,63600
2023-07-20 00:00:00+05:30,24.7,26.0,24.7,25.65,70213
2023-07-21 00:00:00+05:30,26.5,26.5,24.8,25.3,367583
2023-07-24 00:00:00+05:30,25.45,25.45,23.2,24.0,90456
2023-07-25 00:00:00+05:30,24.8,25.0,23.6,23.8,69833
2023-07-26 00:00:00+05:30,24.1,24.45,23.65,23.8,33939
2023-07-27 00:00:00+05:30,24.3,24.3,22.9,23.55,882370
2023-07-28 00:00:00+05:30,24.3,24.35,23.5,23.6,554661
2023-07-31 00:00:00+05:30,24.15,28.3,23.1,28.15,877283
2023-08-01 00:00:00+05:30,28.25,32.0,28.25,30.55,1716791
2023-08-02 00:00:00+05:30,31.6,32.0,27.35,28.0,1386648
2023-08-03 00:00:00+05:30,28.2,29.7,27.2,28.5,1466082
2023-08-04 00:00:00+05:30,29.1,30.15,28.8,29.05,288685
2023-08-07 00:00:00+05:30,29.5,29.5,28.35,28.8,184054
2023-08-08 00:00:00+05:30,28.35,28.6,27.35,28.1,442770
2023-08-09 00:00:00+05:30,28.3,29.1,27.6,27.75,164634
2023-08-10 00:00:00+05:30,28.25,28.3,27.25,27.5,417617
2023-08-11 00:00:00+05:30,26.9,27.35,24.6,24.9,487457
2023-08-14 00:00:00+05:30,26.7,26.7,23.8,24.05,473469
2023-08-16 00:00:00+05:30,24.7,24.9,23.4,24.4,59921
2023-08-17 00:00:00+05:30,24.6,24.9,23.55,23.95,1660870
2023-08-18 00:00:00+05:30,24.4,24.4,23.5,24.0,1209419
2023-08-21 00:00:00+05:30,24.35,24.35,23.7,23.95,26899
2023-08-22 00:00:00+05:30,24.0,25.1,23.6,25.05,196475
2023-08-23 00:00:00+05:30,26.0,26.0,24.05,25.55,111779
2023-08-24 00:00:00+05:30,25.55,26.5,24.6,26.4,744899
2023-08-25 00:00:00+05:30,26.4,27.55,25.6,27.45,208308
2023-08-28 00:00:00+05:30,28.6,28.8,26.4,28.55,267080
2023-08-29 00:00:00+05:30,28.35,29.95,27.25,29.85,198667
2023-08-30 00:00:00+05:30,30.0,30.85,28.7,30.55,287638
2023-08-31 00:00:00+05:30,30.05,31.5,29.2,30.6,202894
2023-09-01 00:00:00+05:30,31.25,31.25,29.1,29.45,126288
2023-09-04 00:00:00+05:30,30.5,30.7,28.0,30.15,157224
2023-09-05 00:00:00+05:30,29.95,30.45,28.65,30.1,306368
2023-09-06 00:00:00+05:30,29.95,30.0,28.8,29.7,110067
2023-09-07 00:00:00+05:30,30.15,30.15,28.75,29.45,79479
2023-09-08 00:00:00+05:30,29.5,29.5,28.6,28.75,123352
2023-09-11 00:00:00+05:30,29.3,29.45,27.4,28.35,45475
2023-09-12 00:00:00+05:30,28.95,29.75,27.2,29.0,280533
2023-09-13 00:00:00+05:30,28.85,29.0,27.85,28.1,138452
2023-09-14 00:00:00+05:30,28.8,29.0,27.5,28.4,196440
2023-09-15 00:00:00+05:30,28.7,29.4,27.6,28.9,3042619
2023-09-18 00:00:00+05:30,29.45,29.5,27.55,28.85,284826
2023-09-20 00:00:00+05:30,29.15,29.9,27.75,28.8,271511
2023-09-21 00:00:00+05:30,29.35,29.35,27.85,27.9,59628
2023-09-22 00:00:00+05:30,27.3,28.5,27.0,27.9,31909
2023-09-25 00:00:00+05:30,28.25,28.25,27.3,27.8,9567
2023-09-26 00:00:00+05:30,28.0,28.15,27.1,27.55,12676
2023-09-27 00:00:00+05:30,27.55,27.95,26.65,27.4,12249
2023-09-28 00:00:00+05:30,28.0,28.0,26.65,27.1,10337
2023-09-29 00:00:00+05:30,27.1,27.45,26.7,27.0,18354
2023-10-03 00:00:00+05:30,27.05,27.55,26.0,26.3,49717
2023-10-04 00:00:00+05:30,27.0,27.0,25.9,26.0,23644
2023-10-05 00:00:00+05:30,26.85,26.85,25.8,26.0,57240
2023-10-06 00:00:00+05:30,26.0,27.0,25.9,26.05,104764
2023-10-09 00:00:00+05:30,26.05,26.7,24.75,25.3,27921
2023-10-10 00:00:00+05:30,24.8,25.8,24.5,25.55,28943
2023-10-11 00:00:00+05:30,26.25,26.25,25.0,25.45,16713
2023-10-12 00:00:00+05:30,26.0,26.0,24.85,24.9,50254
2023-10-13 00:00:00+05:30,25.85,25.85,24.7,24.85,31287
2023-10-16 00:00:00+05:30,25.35,25.35,24.4,24.9,29221
2023-10-17 00:00:00+05:30,24.9,25.5,24.25,24.55,19529
