date,open,high,low,close,volume
2019-02-25 00:00:00+05:30,7.9,7.9,7.9,7.9,12120
2019-02-26 00:00:00+05:30,7.65,7.65,7.65,7.65,12120
2019-02-27 00:00:00+05:30,7.9,7.9,7.8,7.8,16160
2019-02-28 00:00:00+05:30,7.65,8.3,7.65,8.3,16160
2019-03-01 00:00:00+05:30,7.9,7.9,7.9,7.9,8080
2019-03-05 00:00:00+05:30,7.9,7.9,7.7,7.8,20200
2019-03-06 00:00:00+05:30,7.8,7.9,7.8,7.9,12120
2019-03-07 00:00:00+05:30,7.9,7.9,7.9,7.9,8080
2019-03-11 00:00:00+05:30,7.9,7.9,7.9,7.9,4040
2019-03-12 00:00:00+05:30,7.65,8.4,7.65,8.4,20200
2019-03-13 00:00:00+05:30,7.95,7.95,7.95,7.95,8080
2019-03-14 00:00:00+05:30,8.0,8.4,8.0,8.4,8080
2019-03-15 00:00:00+05:30,7.95,7.95,7.95,7.95,8080
2019-03-18 00:00:00+05:30,7.95,7.95,7.95,7.95,8080
2019-03-19 00:00:00+05:30,7.95,7.95,7.95,7.95,8080
2019-03-20 00:00:00+05:30,7.95,7.95,7.95,7.95,16160
2019-03-22 00:00:00+05:30,7.95,7.95,7.95,7.95,16160
2019-03-25 00:00:00+05:30,7.95,7.95,7.95,7.95,12120
2019-03-26 00:00:00+05:30,7.95,7.95,7.55,7.55,24240
2019-03-27 00:00:00+05:30,8.05,8.05,8.05,8.05,20200
2019-03-28 00:00:00+05:30,8.1,8.1,8.1,8.1,4040
2019-04-03 00:00:00+05:30,7.45,7.45,7.45,7.45,4040
2019-04-05 00:00:00+05:30,7.45,7.45,7.45,7.45,8080
2019-04-08 00:00:00+05:30,7.45,7.45,7.45,7.45,8080
2019-04-15 00:00:00+05:30,7.45,7.45,7.45,7.45,4040
2019-04-22 00:00:00+05:30,7.45,7.45,7.45,7.45,4040
2019-04-25 00:00:00+05:30,7.9,7.9,7.9,7.9,4040
2019-04-26 00:00:00+05:30,7.65,7.65,7.65,7.65,4040
2019-05-08 00:00:00+05:30,7.45,7.45,7.45,7.45,4040
2019-05-14 00:00:00+05:30,7.45,7.65,7.45,7.65,8080
2019-05-15 00:00:00+05:30,8.15,8.15,8.15,8.15,4040
2019-05-21 00:00:00+05:30,8.4,8.4,8.2,8.2,8080
2019-05-23 00:00:00+05:30,8.2,8.2,8.2,8.2,4040
2019-05-27 00:00:00+05:30,8.9,8.9,8.9,8.9,4040
2019-05-28 00:00:00+05:30,8.9,9.4,8.9,9.15,12120
2019-06-03 00:00:00+05:30,9.4,9.8,9.4,9.8,20200
2019-06-04 00:00:00+05:30,9.4,9.7,8.95,9.7,12120
2019-06-17 00:00:00+05:30,8.9,8.9,8.9,8.9,4040
2019-06-19 00:00:00+05:30,8.4,8.4,8.4,8.4,4040
2019-06-20 00:00:00+05:30,8.4,8.4,8.4,8.4,4040
2019-06-27 00:00:00+05:30,8.65,8.65,8.65,8.65,8080
2019-07-05 00:00:00+05:30,7.9,7.9,7.9,7.9,8080
2019-07-11 00:00:00+05:30,7.9,7.9,7.9,7.9,4040
2019-07-12 00:00:00+05:30,7.45,7.45,7.45,7.45,4040
2019-07-16 00:00:00+05:30,6.95,7.6,6.95,7.6,16160
2019-07-24 00:00:00+05:30,6.95,7.3,6.15,7.3,12120
2019-07-25 00:00:00+05:30,7.05,7.05,7.05,7.05,4040
2019-07-26 00:00:00+05:30,6.25,6.65,6.0,6.55,24240
2019-07-30 00:00:00+05:30,6.45,6.45,5.95,6.4,12120
2019-07-31 00:00:00+05:30,5.45,5.95,5.45,5.95,8080
2019-08-01 00:00:00+05:30,6.05,6.05,6.05,6.05,4040
2019-08-02 00:00:00+05:30,5.95,5.95,5.95,5.95,4040
2019-08-05 00:00:00+05:30,5.45,6.0,5.45,6.0,8080
2019-08-07 00:00:00+05:30,6.05,6.05,6.05,6.05,4040
2019-08-09 00:00:00+05:30,6.05,6.05,6.05,6.05,4040
2019-08-19 00:00:00+05:30,6.4,6.45,6.4,6.45,8080
2019-08-23 00:00:00+05:30,6.2,6.2,6.2,6.2,4040
2019-08-29 00:00:00+05:30,6.45,6.45,5.95,5.95,28280
2019-09-05 00:00:00+05:30,5.7,5.7,5.7,5.7,4040
2019-09-13 00:00:00+05:30,5.45,5.45,5.45,5.45,8080
2019-09-24 00:00:00+05:30,5.7,5.7,5.7,5.7,4040
2019-09-26 00:00:00+05:30,5.6,5.6,5.6,5.6,4040
2019-09-30 00:00:00+05:30,5.45,5.45,5.45,5.45,4040
2019-10-09 00:00:00+05:30,5.2,5.2,4.35,4.85,28280
2019-10-10 00:00:00+05:30,4.45,4.45,4.0,4.3,16160
2019-10-11 00:00:00+05:30,4.05,4.1,4.05,4.1,8080
2019-10-14 00:00:00+05:30,4.05,4.05,4.05,4.05,4040
2019-10-24 00:00:00+05:30,4.1,4.35,4.1,4.35,8080
2019-10-31 00:00:00+05:30,4.45,4.45,4.45,4.45,8080
2019-11-01 00:00:00+05:30,4.6,4.6,4.6,4.6,4040
2019-11-19 00:00:00+05:30,4.45,4.45,4.45,4.45,4040
2019-11-27 00:00:00+05:30,4.2,4.2,4.2,4.2,4040
2019-11-29 00:00:00+05:30,3.95,4.1,3.95,4.1,8080
2019-12-02 00:00:00+05:30,3.95,3.95,3.75,3.75,12120
2019-12-03 00:00:00+05:30,3.75,4.3,3.75,4.3,16160
2019-12-04 00:00:00+05:30,4.55,4.55,4.55,4.55,4040
2019-12-06 00:00:00+05:30,4.45,4.55,4.45,4.55,8080
2019-12-09 00:00:00+05:30,4.9,4.9,4.9,4.9,4040
2019-12-12 00:00:00+05:30,4.7,4.7,4.45,4.45,8080
2019-12-16 00:00:00+05:30,4.3,4.3,4.3,4.3,4040
2019-12-18 00:00:00+05:30,4.35,4.35,4.35,4.35,4040
2019-12-31 00:00:00+05:30,4.25,4.25,4.25,4.25,4040
2020-01-01 00:00:00+05:30,4.35,4.35,4.35,4.35,4040
2020-01-06 00:00:00+05:30,4.1,4.1,4.1,4.1,4040
2020-01-20 00:00:00+05:30,4.05,4.05,4.05,4.05,4040
2020-01-23 00:00:00+05:30,4.2,4.2,4.2,4.2,4040
2020-01-29 00:00:00+05:30,4.25,4.25,4.25,4.25,4040
2020-02-06 00:00:00+05:30,4.2,4.2,4.2,4.2,4040
2020-02-10 00:00:00+05:30,4.25,4.25,4.25,4.25,4040
2020-02-13 00:00:00+05:30,4.05,4.1,4.05,4.1,8080
2020-02-17 00:00:00+05:30,4.2,4.2,4.2,4.2,12120
2020-02-18 00:00:00+05:30,4.2,4.2,4.2,4.2,4040
2020-02-20 00:00:00+05:30,4.05,4.05,3.95,3.95,20200
2020-02-25 00:00:00+05:30,3.95,3.95,3.95,3.95,4040
2020-02-27 00:00:00+05:30,3.8,3.8,3.55,3.55,8080
2020-02-28 00:00:00+05:30,3.45,3.45,3.35,3.35,44440
2020-03-02 00:00:00+05:30,3.45,4.05,3.45,3.9,40400
2020-03-06 00:00:00+05:30,3.95,3.95,3.95,3.95,4040
2020-03-09 00:00:00+05:30,3.8,3.8,3.8,3.8,4040
2020-03-12 00:00:00+05:30,3.45,3.45,3.45,3.45,4040
2020-03-13 00:00:00+05:30,3.45,3.45,3.45,3.45,4040
2020-03-17 00:00:00+05:30,3.7,3.75,3.7,3.75,8080
2020-03-19 00:00:00+05:30,3.2,3.35,3.2,3.35,8080
2020-03-25 00:00:00+05:30,3.35,3.35,3.35,3.35,4040
2020-03-26 00:00:00+05:30,3.2,3.35,3.2,3.35,8080
2020-03-27 00:00:00+05:30,3.5,3.5,3.5,3.5,4040
2020-04-01 00:00:00+05:30,3.7,3.7,3.7,3.7,4040
2020-04-08 00:00:00+05:30,3.95,3.95,3.95,3.95,4040
2020-05-06 00:00:00+05:30,3.95,3.95,3.95,3.95,4040
2020-05-15 00:00:00+05:30,4.35,4.35,4.35,4.35,8080
2020-05-18 00:00:00+05:30,4.6,4.6,4.6,4.6,4040
2020-05-19 00:00:00+05:30,4.45,4.45,4.45,4.45,4040
2020-06-01 00:00:00+05:30,4.45,4.45,4.45,4.45,4040
2020-06-02 00:00:00+05:30,4.65,4.9,4.65,4.9,8080
2020-06-03 00:00:00+05:30,4.7,4.9,4.7,4.9,8080
2020-06-05 00:00:00+05:30,4.7,4.7,4.7,4.7,4040
2020-06-22 00:00:00+05:30,4.9,4.9,4.9,4.9,4040
2020-06-26 00:00:00+05:30,4.7,4.7,4.7,4.7,4040
2020-07-08 00:00:00+05:30,4.5,4.5,4.5,4.5,4040
2020-07-14 00:00:00+05:30,4.45,4.45,4.45,4.45,4040
2020-07-30 00:00:00+05:30,4.25,4.45,4.25,4.45,8080
2020-08-05 00:00:00+05:30,4.25,4.25,4.25,4.25,4040
2020-08-14 00:00:00+05:30,4.05,4.05,4.05,4.05,4040
2020-08-17 00:00:00+05:30,4.0,4.0,4.0,4.0,4040
2020-08-20 00:00:00+05:30,3.2,4.8,3.2,4.65,48480
2020-08-21 00:00:00+05:30,5.1,5.55,5.1,5.55,44440
2020-08-25 00:00:00+05:30,5.7,5.7,5.7,5.7,8080
2020-08-26 00:00:00+05:30,5.95,5.95,5.95,5.95,8080
2020-08-27 00:00:00+05:30,5.7,5.7,5.7,5.7,4040
2020-08-31 00:00:00+05:30,5.45,5.6,5.1,5.6,12120
2020-09-07 00:00:00+05:30,5.05,5.05,5.05,5.05,4040
2020-09-08 00:00:00+05:30,4.6,4.6,4.6,4.6,4040
2020-09-15 00:00:00+05:30,4.2,4.2,4.2,4.2,4040
2020-09-18 00:00:00+05:30,4.4,4.4,4.4,4.4,4040
2020-09-21 00:00:00+05:30,4.6,4.6,4.6,4.6,4040
2020-09-22 00:00:00+05:30,4.8,4.85,4.8,4.85,8080
2020-09-24 00:00:00+05:30,4.7,4.7,4.6,4.6,8080
2020-10-06 00:00:00+05:30,4.6,4.6,4.6,4.6,4040
2020-10-12 00:00:00+05:30,4.85,4.85,4.85,4.85,4040
2020-10-13 00:00:00+05:30,4.6,4.6,4.6,4.6,4040
2020-10-21 00:00:00+05:30,4.6,4.6,4.6,4.6,8080
2020-10-22 00:00:00+05:30,4.6,4.6,4.6,4.6,4040
2020-10-26 00:00:00+05:30,4.65,4.7,4.65,4.7,8080
2020-11-05 00:00:00+05:30,4.9,4.9,4.9,4.9,8080
2020-11-17 00:00:00+05:30,4.95,4.95,4.7,4.7,8080
2020-12-03 00:00:00+05:30,4.45,4.45,4.45,4.45,4040
2020-12-04 00:00:00+05:30,4.65,4.65,4.65,4.65,4040
2020-12-07 00:00:00+05:30,4.5,4.5,4.45,4.45,12120
2020-12-09 00:00:00+05:30,4.45,4.45,4.45,4.45,8080
2020-12-11 00:00:00+05:30,4.25,4.25,4.25,4.25,4040
2020-12-14 00:00:00+05:30,4.05,4.05,4.05,4.05,8080
2020-12-16 00:00:00+05:30,4.25,4.25,4.25,4.25,12120
2020-12-17 00:00:00+05:30,4.45,4.45,4.45,4.45,4040
2020-12-22 00:00:00+05:30,4.25,4.25,4.25,4.25,4040
2020-12-28 00:00:00+05:30,4.1,4.1,4.1,4.1,8080
2021-01-04 00:00:00+05:30,4.25,4.25,4.25,4.25,4040
2021-01-05 00:00:00+05:30,4.45,4.45,4.45,4.45,4040
2021-01-11 00:00:00+05:30,4.45,4.45,4.45,4.45,4040
2021-01-15 00:00:00+05:30,4.45,4.7,4.45,4.7,12120
2021-01-18 00:00:00+05:30,4.45,4.45,4.45,4.45,12120
2021-01-25 00:00:00+05:30,4.45,4.45,4.45,4.45,4040
2021-02-01 00:00:00+05:30,4.3,4.3,4.3,4.3,4040
2021-02-02 00:00:00+05:30,4.2,4.2,4.2,4.2,4040
2021-02-08 00:00:00+05:30,4.05,4.35,4.05,4.35,24240
2021-02-12 00:00:00+05:30,4.45,4.45,4.45,4.45,4040
2021-02-19 00:00:00+05:30,4.25,4.25,4.25,4.25,4040
2021-03-02 00:00:00+05:30,4.45,4.45,4.45,4.45,4040
2021-03-12 00:00:00+05:30,4.45,4.45,4.45,4.45,4040
2021-03-16 00:00:00+05:30,4.45,4.45,4.35,4.45,16160
2021-03-25 00:00:00+05:30,4.25,4.25,4.25,4.25,8080
2021-03-26 00:00:00+05:30,4.45,4.45,4.05,4.2,24240
2021-03-31 00:00:00+05:30,4.2,4.2,4.2,4.2,8080
2021-04-07 00:00:00+05:30,4.05,4.05,4.05,4.05,8080
2021-04-08 00:00:00+05:30,3.9,3.9,3.9,3.9,4040
2021-04-13 00:00:00+05:30,4.05,4.1,3.8,3.8,16160
2021-04-16 00:00:00+05:30,3.65,4.0,3.65,4.0,12120
2021-04-19 00:00:00+05:30,4.2,4.2,4.2,4.2,20200
2021-04-20 00:00:00+05:30,4.4,4.4,4.4,4.4,4040
2021-04-26 00:00:00+05:30,4.6,4.6,4.6,4.6,4040
2021-04-27 00:00:00+05:30,4.6,4.8,4.6,4.8,8080
2021-04-28 00:00:00+05:30,5.0,5.0,5.0,5.0,4040
2021-04-29 00:00:00+05:30,5.25,5.25,5.25,5.25,4040
2021-05-03 00:00:00+05:30,5.5,5.5,5.5,5.5,12120
2021-05-04 00:00:00+05:30,5.8,5.8,5.8,5.8,4040
2021-05-05 00:00:00+05:30,6.05,6.05,6.05,6.05,4040
2021-05-06 00:00:00+05:30,6.35,6.35,6.35,6.35,4040
2021-05-07 00:00:00+05:30,6.65,6.65,6.65,6.65,4040
2021-05-10 00:00:00+05:30,7.0,7.0,7.0,7.0,4040
2021-05-11 00:00:00+05:30,7.35,7.35,7.35,7.35,8080
2021-05-12 00:00:00+05:30,7.65,7.65,7.65,7.65,4040
2021-05-14 00:00:00+05:30,8.05,8.05,8.05,8.05,8080
2021-05-17 00:00:00+05:30,8.45,8.45,8.45,8.45,4040
2021-05-18 00:00:00+05:30,8.85,8.85,8.85,8.85,12120
2021-05-19 00:00:00+05:30,8.45,8.45,8.45,8.45,16160
2021-05-20 00:00:00+05:30,8.0,8.0,8.0,8.0,8080
2021-05-25 00:00:00+05:30,7.7,7.7,7.6,7.6,16160
2021-05-26 00:00:00+05:30,7.6,8.0,7.6,8.0,8080
2021-05-28 00:00:00+05:30,7.6,7.6,7.6,7.6,4040
2021-05-31 00:00:00+05:30,7.95,7.95,7.95,7.95,8080
2021-06-01 00:00:00+05:30,8.35,8.35,8.35,8.35,4040
2021-06-02 00:00:00+05:30,8.65,8.75,8.65,8.75,24240
2021-06-03 00:00:00+05:30,9.15,9.15,9.15,9.15,12120
2021-06-04 00:00:00+05:30,9.6,9.6,9.6,9.6,4040
2021-06-07 00:00:00+05:30,10.0,10.05,10.0,10.05,16160
2021-06-08 00:00:00+05:30,10.5,10.5,10.5,10.5,4040
2021-06-09 00:00:00+05:30,11.0,11.0,11.0,11.0,4040
2021-06-10 00:00:00+05:30,11.55,11.55,11.55,11.55,4040
2021-06-11 00:00:00+05:30,12.1,12.1,11.0,11.0,8080
2021-06-15 00:00:00+05:30,11.5,11.5,11.5,11.5,4040
2021-06-16 00:00:00+05:30,10.95,10.95,10.9,10.9,20200
2021-06-17 00:00:00+05:30,10.35,10.35,10.35,10.35,8080
2021-06-18 00:00:00+05:30,10.2,10.2,10.2,10.2,4040
2021-06-21 00:00:00+05:30,9.7,9.7,9.7,9.7,4040
2021-06-22 00:00:00+05:30,9.25,9.25,9.25,9.25,8080
2021-06-23 00:00:00+05:30,8.8,8.8,8.8,8.8,4040
2021-06-24 00:00:00+05:30,8.35,8.35,8.35,8.35,4040
2021-06-25 00:00:00+05:30,7.95,7.95,7.95,7.95,4040
2021-07-06 00:00:00+05:30,7.6,7.6,7.55,7.55,12120
2021-07-07 00:00:00+05:30,7.2,7.2,7.2,7.2,8080
2021-07-08 00:00:00+05:30,6.85,6.85,6.85,6.85,4040
2021-07-12 00:00:00+05:30,6.55,6.55,6.55,6.55,4040
