date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,458.05,465.45,450.6,461.15,68167
2019-01-02 00:00:00+05:30,462.0,477.25,458.3,473.55,161281
2019-01-03 00:00:00+05:30,478.0,485.0,451.0,456.5,176716
2019-01-04 00:00:00+05:30,453.05,456.6,437.55,440.55,348274
2019-01-07 00:00:00+05:30,442.0,456.0,442.0,452.25,580144
2019-01-08 00:00:00+05:30,452.8,456.75,445.05,454.4,75961
2019-01-09 00:00:00+05:30,456.0,489.0,450.4,481.3,431832
2019-01-10 00:00:00+05:30,487.5,494.0,469.0,475.5,303377
2019-01-11 00:00:00+05:30,474.35,474.6,453.0,455.2,208410
2019-01-14 00:00:00+05:30,455.2,455.35,450.0,453.3,37887
2019-01-15 00:00:00+05:30,454.55,479.95,451.6,475.0,247293
2019-01-16 00:00:00+05:30,480.0,481.0,457.0,461.35,161572
2019-01-17 00:00:00+05:30,462.0,514.4,460.55,503.9,1415288
2019-01-18 00:00:00+05:30,513.0,514.2,485.0,502.25,593642
2019-01-21 00:00:00+05:30,495.0,506.95,490.0,503.4,205277
2019-01-22 00:00:00+05:30,501.5,507.45,497.95,504.8,152803
2019-01-23 00:00:00+05:30,506.8,512.65,500.15,503.1,98767
2019-01-24 00:00:00+05:30,501.0,513.0,497.35,502.5,147789
2019-01-25 00:00:00+05:30,506.0,506.0,490.0,490.15,96375
2019-01-28 00:00:00+05:30,495.0,495.0,470.5,484.05,72595
2019-01-29 00:00:00+05:30,483.0,484.0,466.25,469.1,52700
2019-01-30 00:00:00+05:30,472.0,473.5,458.9,463.8,76160
2019-01-31 00:00:00+05:30,461.05,483.7,461.05,472.0,160541
2019-02-01 00:00:00+05:30,471.0,484.0,468.85,478.45,197936
2019-02-04 00:00:00+05:30,481.0,488.9,473.4,477.05,126087
2019-02-05 00:00:00+05:30,477.05,486.9,470.4,477.95,120176
2019-02-06 00:00:00+05:30,484.0,486.0,470.5,480.55,105845
2019-02-07 00:00:00+05:30,480.6,482.0,471.5,477.1,67200
2019-02-08 00:00:00+05:30,475.05,480.0,467.9,475.05,99264
2019-02-11 00:00:00+05:30,480.0,480.0,462.35,464.4,46349
2019-02-12 00:00:00+05:30,463.55,463.55,449.0,450.15,226363
2019-02-13 00:00:00+05:30,455.0,475.0,454.0,458.45,221274
2019-02-14 00:00:00+05:30,456.5,456.5,435.4,441.9,137290
2019-02-15 00:00:00+05:30,444.0,445.45,433.5,435.0,95844
2019-02-18 00:00:00+05:30,430.5,457.95,426.95,442.0,200645
2019-02-19 00:00:00+05:30,446.0,459.0,437.45,440.5,169814
2019-02-20 00:00:00+05:30,442.9,449.0,440.05,444.9,172762
2019-02-21 00:00:00+05:30,448.45,456.0,441.0,444.3,139806
2019-02-22 00:00:00+05:30,447.8,451.5,440.0,441.7,163281
2019-02-25 00:00:00+05:30,453.95,457.0,438.0,439.9,327645
2019-02-26 00:00:00+05:30,437.0,437.0,426.2,429.85,174095
2019-02-27 00:00:00+05:30,431.0,446.9,431.0,435.65,305500
2019-02-28 00:00:00+05:30,433.0,441.0,432.95,438.0,209943
2019-03-01 00:00:00+05:30,442.0,443.2,435.0,435.4,186249
2019-03-05 00:00:00+05:30,437.7,446.95,437.7,442.2,187761
2019-03-06 00:00:00+05:30,444.2,449.0,439.0,440.35,100286
2019-03-07 00:00:00+05:30,442.0,444.05,436.75,437.5,51917
2019-03-08 00:00:00+05:30,436.0,443.5,434.35,438.5,81549
2019-03-11 00:00:00+05:30,440.7,442.7,435.0,441.8,162307
2019-03-12 00:00:00+05:30,444.0,454.0,441.2,448.35,217466
2019-03-13 00:00:00+05:30,451.95,453.0,439.05,440.5,207965
2019-03-14 00:00:00+05:30,441.0,443.1,428.05,434.9,372022
2019-03-15 00:00:00+05:30,437.8,437.8,427.15,428.75,268867
2019-03-18 00:00:00+05:30,430.1,444.8,430.1,438.6,311601
2019-03-19 00:00:00+05:30,442.9,461.0,441.0,457.85,464779
2019-03-20 00:00:00+05:30,459.6,462.0,455.0,457.4,226548
2019-03-22 00:00:00+05:30,461.0,467.4,454.8,461.15,618538
2019-03-25 00:00:00+05:30,459.35,463.45,448.45,451.9,145203
