date,open,high,low,close,volume
2019-02-26 00:00:00+05:30,30.5,31.4,30.5,31.4,24000
2019-02-27 00:00:00+05:30,31.5,31.9,31.5,31.9,24000
2019-02-28 00:00:00+05:30,31.6,31.75,31.25,31.25,24000
2019-03-01 00:00:00+05:30,31.75,32.0,31.75,32.0,26000
2019-03-05 00:00:00+05:30,30.0,30.0,30.0,30.0,2000
2019-03-11 00:00:00+05:30,29.9,30.0,29.9,30.0,50000
2019-03-12 00:00:00+05:30,31.0,31.6,31.0,31.6,48000
2019-03-13 00:00:00+05:30,30.5,30.5,30.5,30.5,4000
2019-03-20 00:00:00+05:30,30.4,30.4,30.4,30.4,2000
2019-03-22 00:00:00+05:30,30.9,30.9,30.9,30.9,2000
2019-03-25 00:00:00+05:30,30.85,30.85,30.85,30.85,4000
2019-03-26 00:00:00+05:30,30.25,30.3,30.25,30.3,30000
2019-04-03 00:00:00+05:30,29.0,29.0,29.0,29.0,2000
2019-04-05 00:00:00+05:30,28.0,28.0,28.0,28.0,2000
2019-04-18 00:00:00+05:30,26.0,26.0,26.0,26.0,2000
2019-04-22 00:00:00+05:30,26.0,26.0,26.0,26.0,2000
2019-05-10 00:00:00+05:30,27.4,27.5,27.4,27.5,4000
2019-05-17 00:00:00+05:30,26.0,26.0,26.0,26.0,2000
2019-05-29 00:00:00+05:30,26.0,27.5,26.0,27.5,6000
2019-06-07 00:00:00+05:30,26.0,26.0,25.0,25.0,12000
2019-06-19 00:00:00+05:30,24.0,24.0,24.0,24.0,2000
2019-06-21 00:00:00+05:30,25.0,25.0,25.0,25.0,18000
2019-07-03 00:00:00+05:30,25.3,25.3,25.3,25.3,2000
2019-07-17 00:00:00+05:30,23.5,23.5,23.5,23.5,14000
2019-07-18 00:00:00+05:30,23.1,23.1,23.1,23.1,30000
2019-07-19 00:00:00+05:30,25.3,25.3,25.3,25.3,2000
2019-07-22 00:00:00+05:30,27.4,27.4,27.4,27.4,2000
2019-07-25 00:00:00+05:30,27.45,27.5,27.45,27.45,4000
2019-08-06 00:00:00+05:30,28.4,28.4,28.0,28.0,6000
2019-08-20 00:00:00+05:30,27.5,27.5,27.5,27.5,4000
2019-08-21 00:00:00+05:30,30.4,30.4,30.4,30.4,2000
2019-09-04 00:00:00+05:30,26.5,26.5,24.55,24.55,4000
2019-09-18 00:00:00+05:30,28.85,28.85,28.85,28.85,2000
2019-09-24 00:00:00+05:30,26.5,26.5,26.5,26.5,2000
2019-10-07 00:00:00+05:30,25.5,25.5,23.5,24.0,6000
2019-10-09 00:00:00+05:30,23.0,23.0,20.0,20.0,8000
2019-10-10 00:00:00+05:30,21.0,21.0,21.0,21.0,2000
2019-10-14 00:00:00+05:30,22.95,23.0,22.95,23.0,4000
2019-10-15 00:00:00+05:30,24.3,24.3,24.3,24.3,2000
2019-10-30 00:00:00+05:30,26.0,26.0,26.0,26.0,2000
2019-11-13 00:00:00+05:30,27.5,27.5,25.05,25.05,4000
2019-11-19 00:00:00+05:30,27.5,27.5,27.5,27.5,4000
2019-11-20 00:00:00+05:30,27.5,27.5,27.5,27.5,2000
2019-12-02 00:00:00+05:30,30.0,30.0,30.0,30.0,100000
2019-12-06 00:00:00+05:30,29.8,29.8,29.8,29.8,48000
2019-12-09 00:00:00+05:30,27.5,27.5,27.5,27.5,2000
2019-12-11 00:00:00+05:30,27.5,27.5,27.5,27.5,2000
2019-12-16 00:00:00+05:30,32.0,32.0,32.0,32.0,18000
2019-12-18 00:00:00+05:30,25.6,25.6,25.6,25.6,4000
2019-12-27 00:00:00+05:30,29.9,29.9,22.4,25.95,6000
2020-01-02 00:00:00+05:30,30.0,30.0,30.0,30.0,2000
2020-01-06 00:00:00+05:30,31.0,31.0,30.0,30.0,54000
2020-01-07 00:00:00+05:30,29.8,35.8,29.8,35.8,52000
2020-01-08 00:00:00+05:30,28.65,35.5,28.65,35.5,6000
2020-01-09 00:00:00+05:30,35.35,35.35,28.5,32.0,6000
2020-01-13 00:00:00+05:30,31.95,31.95,31.95,31.95,2000
2020-01-15 00:00:00+05:30,32.0,32.0,32.0,32.0,2000
2020-01-31 00:00:00+05:30,29.15,29.15,29.15,29.15,2000
2020-03-11 00:00:00+05:30,25.0,28.95,25.0,28.95,4000
2020-03-13 00:00:00+05:30,28.9,28.9,28.9,28.9,24000
2020-03-16 00:00:00+05:30,30.0,30.0,30.0,30.0,8000
2020-03-18 00:00:00+05:30,24.0,24.0,24.0,24.0,2000
2020-03-30 00:00:00+05:30,19.2,21.5,19.2,21.5,4000
2020-03-31 00:00:00+05:30,19.6,19.6,19.6,19.6,2000
2020-04-23 00:00:00+05:30,20.75,20.75,20.75,20.75,2000
2020-05-19 00:00:00+05:30,20.75,20.75,20.75,20.75,2000
2020-05-27 00:00:00+05:30,24.85,24.85,24.85,24.85,2000
2020-06-02 00:00:00+05:30,24.9,28.8,24.9,28.75,76000
2020-06-03 00:00:00+05:30,28.9,28.9,28.9,28.9,34000
2020-06-10 00:00:00+05:30,29.0,29.0,28.0,28.0,38000
2020-06-22 00:00:00+05:30,29.0,29.05,26.25,26.25,218000
2020-06-23 00:00:00+05:30,25.15,25.15,25.15,25.15,2000
2020-06-26 00:00:00+05:30,27.0,27.45,26.95,27.45,14000
2020-06-29 00:00:00+05:30,26.0,26.5,26.0,26.4,16000
2020-07-09 00:00:00+05:30,27.0,27.0,27.0,27.0,2000
2020-07-13 00:00:00+05:30,22.25,26.5,22.25,24.35,4000
2020-07-15 00:00:00+05:30,26.5,26.5,23.15,23.15,4000
2020-07-28 00:00:00+05:30,20.5,22.4,20.15,20.95,12000
2020-08-06 00:00:00+05:30,24.65,24.65,24.65,24.65,2000
2020-08-21 00:00:00+05:30,24.0,24.0,24.0,24.0,4000
2020-09-03 00:00:00+05:30,27.0,28.0,27.0,28.0,4000
2020-09-14 00:00:00+05:30,22.4,22.8,22.4,22.8,4000
2020-09-15 00:00:00+05:30,27.35,27.35,27.35,27.35,2000
2020-10-05 00:00:00+05:30,30.0,30.0,30.0,30.0,2000
2020-10-06 00:00:00+05:30,30.0,30.5,30.0,30.5,4000
2020-10-08 00:00:00+05:30,32.0,32.0,32.0,32.0,2000
2020-10-19 00:00:00+05:30,30.75,30.75,30.75,30.75,2000
2020-10-20 00:00:00+05:30,29.5,29.5,29.5,29.5,2000
2020-10-21 00:00:00+05:30,31.0,31.0,28.3,28.3,4000
2020-10-23 00:00:00+05:30,27.25,27.25,27.25,27.25,2000
2020-10-29 00:00:00+05:30,24.15,32.5,24.15,32.15,36000
2020-11-03 00:00:00+05:30,26.0,32.0,26.0,32.0,4000
2020-11-09 00:00:00+05:30,31.5,31.5,26.05,27.95,10000
2020-11-12 00:00:00+05:30,26.25,26.25,26.25,26.25,2000
2020-11-13 00:00:00+05:30,25.25,25.25,25.25,25.25,4000
2020-11-14 00:00:00+05:30,29.9,29.9,24.65,24.65,6000
2020-11-20 00:00:00+05:30,29.45,29.45,25.4,27.8,20000
2020-11-23 00:00:00+05:30,31.7,31.7,31.7,31.7,2000
2020-11-24 00:00:00+05:30,37.4,38.0,36.8,37.95,12000
2020-11-25 00:00:00+05:30,34.5,37.8,34.2,37.8,18000
2020-11-26 00:00:00+05:30,34.05,36.0,34.05,35.95,12000
2020-12-03 00:00:00+05:30,36.9,36.9,36.9,36.9,2000
2020-12-04 00:00:00+05:30,33.3,34.55,33.3,34.45,6000
2020-12-09 00:00:00+05:30,31.1,35.5,31.1,35.5,4000
2020-12-14 00:00:00+05:30,34.6,34.6,31.95,31.95,6000
2020-12-17 00:00:00+05:30,29.1,29.1,29.1,29.1,4000
2020-12-22 00:00:00+05:30,29.0,29.0,26.3,26.3,8000
2020-12-24 00:00:00+05:30,26.3,26.5,26.3,26.5,6000
2020-12-30 00:00:00+05:30,28.95,29.0,28.95,29.0,4000
2021-01-01 00:00:00+05:30,29.0,29.0,29.0,29.0,2000
2021-01-05 00:00:00+05:30,31.9,31.9,31.9,31.9,4000
