date,open,high,low,close,volume
2023-08-18 00:00:00+05:30,101.5,106.55,101.5,106.55,1242000
2023-08-21 00:00:00+05:30,109.8,111.85,103.6,111.85,375000
2023-08-22 00:00:00+05:30,117.4,117.4,116.25,117.4,147000
2023-08-23 00:00:00+05:30,123.25,123.25,123.25,123.25,12000
2023-08-24 00:00:00+05:30,129.4,129.4,129.4,129.4,3000
2023-08-25 00:00:00+05:30,135.85,135.85,135.85,135.85,24000
2023-08-28 00:00:00+05:30,142.6,142.6,130.2,142.6,351000
2023-08-29 00:00:00+05:30,141.3,145.7,135.5,135.5,168000
2023-08-30 00:00:00+05:30,132.0,142.25,128.75,142.25,129000
2023-08-31 00:00:00+05:30,149.3,149.35,140.0,149.25,156000
2023-09-01 00:00:00+05:30,146.1,148.25,134.35,136.65,174000
2023-09-04 00:00:00+05:30,131.5,133.0,125.2,130.0,96000
2023-09-05 00:00:00+05:30,137.0,137.95,128.2,133.0,57000
2023-09-06 00:00:00+05:30,131.0,132.0,124.0,126.0,54000
2023-09-07 00:00:00+05:30,123.0,130.6,122.25,126.75,66000
2023-09-08 00:00:00+05:30,131.0,139.4,131.0,139.4,135000
2023-09-11 00:00:00+05:30,144.0,145.0,132.2,142.0,96000
2023-09-12 00:00:00+05:30,133.0,137.0,133.0,136.0,21000
2023-09-13 00:00:00+05:30,130.0,130.2,127.0,129.9,36000
2023-09-14 00:00:00+05:30,133.0,137.6,133.0,136.5,9000
2023-09-15 00:00:00+05:30,136.5,136.5,128.5,129.2,48000
2023-09-18 00:00:00+05:30,129.8,133.0,125.0,125.65,90000
2023-09-20 00:00:00+05:30,125.0,125.0,119.0,122.0,90000
2023-09-21 00:00:00+05:30,122.0,122.0,109.8,109.8,159000
2023-09-22 00:00:00+05:30,106.7,120.75,103.0,120.0,171000
2023-09-25 00:00:00+05:30,122.0,122.0,116.5,118.75,63000
2023-09-26 00:00:00+05:30,114.0,114.25,106.9,107.15,177000
