date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,66.9,66.9,65.5,65.9,59102
2019-01-02 00:00:00+05:30,65.3,66.1,64.2,64.4,63045
2019-01-03 00:00:00+05:30,66.95,68.0,65.75,66.95,612122
2019-01-04 00:00:00+05:30,66.3,66.95,64.85,66.15,65768
2019-01-07 00:00:00+05:30,68.15,69.5,66.65,67.05,176483
2019-01-08 00:00:00+05:30,66.6,67.2,65.45,66.45,102426
2019-01-09 00:00:00+05:30,67.1,67.1,65.2,65.4,42020
2019-01-10 00:00:00+05:30,65.25,65.8,64.1,64.35,41460
2019-01-11 00:00:00+05:30,64.4,65.25,64.4,64.7,42909
2019-01-14 00:00:00+05:30,64.6,64.6,62.2,63.5,32029
2019-01-15 00:00:00+05:30,63.5,64.6,63.1,63.45,42867
2019-01-16 00:00:00+05:30,64.1,64.3,62.2,62.65,49027
2019-01-17 00:00:00+05:30,62.85,64.25,61.7,63.6,74986
2019-01-18 00:00:00+05:30,63.45,64.45,63.0,63.05,25001
2019-01-21 00:00:00+05:30,63.2,63.7,63.0,63.0,31164
2019-01-22 00:00:00+05:30,63.9,63.9,63.0,63.05,41218
2019-01-23 00:00:00+05:30,64.8,65.0,63.0,63.35,116020
2019-01-24 00:00:00+05:30,63.05,63.55,63.0,63.0,32974
2019-01-25 00:00:00+05:30,63.05,63.8,60.6,61.4,33890
2019-01-28 00:00:00+05:30,61.4,61.4,56.35,57.8,43166
2019-01-29 00:00:00+05:30,57.0,58.5,57.0,57.7,17623
2019-01-30 00:00:00+05:30,58.0,59.5,57.95,58.85,29935
2019-01-31 00:00:00+05:30,59.0,59.3,58.2,58.55,25673
2019-02-01 00:00:00+05:30,58.95,61.0,58.5,58.75,53611
2019-02-04 00:00:00+05:30,61.25,64.0,57.0,57.35,172774
2019-02-05 00:00:00+05:30,57.8,61.7,57.25,59.15,169802
2019-02-06 00:00:00+05:30,59.3,60.15,58.15,59.65,62683
2019-02-07 00:00:00+05:30,63.3,63.45,61.1,61.85,561599
2019-02-08 00:00:00+05:30,62.5,62.5,59.0,60.0,51570
2019-02-11 00:00:00+05:30,60.0,60.0,58.0,58.35,47141
2019-02-12 00:00:00+05:30,57.7,57.85,56.8,57.1,54360
2019-02-13 00:00:00+05:30,56.7,57.55,55.6,55.95,42449
2019-02-14 00:00:00+05:30,55.4,55.95,54.5,55.4,45628
2019-02-15 00:00:00+05:30,54.8,56.0,54.5,54.95,29747
2019-02-18 00:00:00+05:30,54.7,55.5,53.15,53.75,54569
2019-02-19 00:00:00+05:30,53.4,54.85,53.05,54.0,39386
2019-02-20 00:00:00+05:30,54.0,55.8,54.0,55.05,28677
2019-02-21 00:00:00+05:30,55.9,56.7,55.0,55.3,31727
2019-02-22 00:00:00+05:30,55.5,57.55,54.6,56.95,42553
2019-02-25 00:00:00+05:30,56.05,58.3,56.05,57.8,36797
2019-02-26 00:00:00+05:30,56.9,57.0,54.5,55.8,53276
2019-02-27 00:00:00+05:30,56.2,58.0,55.6,55.85,62603
2019-02-28 00:00:00+05:30,55.85,57.8,55.75,56.9,50684
2019-03-01 00:00:00+05:30,57.15,57.95,56.3,57.2,40539
2019-03-05 00:00:00+05:30,57.7,64.4,57.15,62.25,321601
2019-03-06 00:00:00+05:30,62.25,66.9,61.05,63.8,655944
2019-03-07 00:00:00+05:30,67.9,67.9,65.1,66.15,723588
2019-03-08 00:00:00+05:30,65.7,65.7,64.3,64.75,81875
2019-03-11 00:00:00+05:30,65.0,66.9,65.0,65.45,107680
2019-03-12 00:00:00+05:30,65.25,66.3,64.0,64.5,87470
2019-03-13 00:00:00+05:30,65.1,67.05,63.2,64.5,198803
2019-03-14 00:00:00+05:30,64.05,66.5,64.05,65.35,190504
2019-03-15 00:00:00+05:30,65.5,66.2,64.1,64.55,55034
2019-03-18 00:00:00+05:30,65.0,65.0,62.0,62.35,91103
2019-03-19 00:00:00+05:30,62.4,63.4,58.5,59.2,231390
2019-03-20 00:00:00+05:30,59.8,59.95,56.25,58.25,420916
2019-03-22 00:00:00+05:30,58.95,59.9,57.65,57.85,92038
2019-03-25 00:00:00+05:30,56.55,57.8,56.5,57.1,40245
2019-03-26 00:00:00+05:30,57.9,58.0,56.5,57.05,108764
2019-03-27 00:00:00+05:30,57.9,57.9,55.65,56.8,156530
2019-03-28 00:00:00+05:30,56.7,59.45,56.65,59.0,124956
2019-03-29 00:00:00+05:30,58.45,60.0,58.25,59.05,60169
2019-04-01 00:00:00+05:30,59.05,60.5,58.6,59.9,73008
2019-04-02 00:00:00+05:30,60.9,60.9,58.55,59.55,74838
2019-04-03 00:00:00+05:30,59.25,63.9,59.25,62.0,303956
2019-04-04 00:00:00+05:30,62.0,62.45,59.8,59.95,58315
2019-04-05 00:00:00+05:30,61.05,66.0,61.05,63.35,577351
2019-04-08 00:00:00+05:30,62.75,64.2,62.15,63.0,107551
2019-04-09 00:00:00+05:30,63.35,63.35,61.2,61.65,42006
2019-04-10 00:00:00+05:30,61.75,63.65,61.3,61.5,60313
2019-04-11 00:00:00+05:30,61.5,62.5,60.75,61.55,99809
2019-04-12 00:00:00+05:30,61.95,69.3,61.05,65.25,1207165
2019-04-15 00:00:00+05:30,64.05,67.55,64.05,66.45,452514
2019-04-16 00:00:00+05:30,66.9,71.8,66.0,69.75,1184288
2019-04-18 00:00:00+05:30,69.05,72.45,66.15,66.8,604706
2019-04-22 00:00:00+05:30,66.25,66.4,63.25,64.0,151727
2019-04-23 00:00:00+05:30,64.3,64.95,62.55,63.0,83483
2019-04-24 00:00:00+05:30,63.3,64.9,63.0,64.2,79960
2019-04-25 00:00:00+05:30,64.8,65.55,64.0,64.3,81786
2019-04-26 00:00:00+05:30,66.2,66.6,63.6,64.35,259955
2019-04-30 00:00:00+05:30,64.5,65.3,60.45,60.9,167535
2019-05-02 00:00:00+05:30,60.0,63.5,59.5,61.95,119877
2019-05-03 00:00:00+05:30,63.4,64.0,61.8,62.9,227348
2019-05-06 00:00:00+05:30,61.65,64.9,61.2,63.7,273546
2019-05-07 00:00:00+05:30,65.7,66.45,63.35,63.7,573099
2019-05-08 00:00:00+05:30,62.45,62.85,60.5,60.7,102765
2019-05-09 00:00:00+05:30,60.85,61.4,59.65,61.05,76950
2019-05-10 00:00:00+05:30,60.6,62.9,60.6,61.5,84043
2019-05-13 00:00:00+05:30,61.0,62.2,58.25,58.4,95495
2019-05-14 00:00:00+05:30,59.3,59.3,55.6,58.05,90243
2019-05-15 00:00:00+05:30,53.8,54.5,51.5,51.9,531489
2019-05-16 00:00:00+05:30,52.3,53.9,51.0,53.05,268897
2019-05-17 00:00:00+05:30,53.1,53.5,51.5,52.45,63971
2019-05-20 00:00:00+05:30,53.8,54.65,52.65,53.25,92611
2019-05-21 00:00:00+05:30,53.5,55.35,51.55,52.2,145631
2019-05-22 00:00:00+05:30,52.5,53.4,51.4,51.8,78224
2019-05-23 00:00:00+05:30,51.8,52.95,51.05,51.25,111505
2019-05-24 00:00:00+05:30,51.55,52.8,51.1,52.2,115033
2019-05-27 00:00:00+05:30,52.6,53.5,51.55,52.6,76848
2019-05-28 00:00:00+05:30,53.0,57.2,52.6,55.2,493215
2019-05-29 00:00:00+05:30,55.75,56.35,53.2,53.5,117207
2019-05-30 00:00:00+05:30,53.5,55.35,53.4,54.2,124237
2019-05-31 00:00:00+05:30,53.65,54.8,53.0,53.25,88206
2019-06-03 00:00:00+05:30,53.35,53.9,52.65,52.85,38088
2019-06-04 00:00:00+05:30,53.2,53.45,52.75,52.95,30690
2019-06-06 00:00:00+05:30,53.65,53.65,51.65,52.1,49927
2019-06-07 00:00:00+05:30,52.15,52.5,49.6,50.0,97252
2019-06-10 00:00:00+05:30,49.75,51.55,47.95,48.1,89548
2019-06-11 00:00:00+05:30,49.85,49.9,48.2,48.9,70447
2019-06-12 00:00:00+05:30,49.15,49.8,46.45,47.1,98009
2019-06-13 00:00:00+05:30,47.2,47.25,43.6,44.25,127949
2019-06-14 00:00:00+05:30,44.25,44.75,42.9,43.55,72893
2019-06-17 00:00:00+05:30,43.3,44.25,41.6,42.1,49667
2019-06-18 00:00:00+05:30,42.0,42.75,40.5,41.9,35433
2019-06-19 00:00:00+05:30,41.2,42.4,35.05,36.2,195470
2019-06-20 00:00:00+05:30,36.95,41.4,36.95,41.05,265534
2019-06-21 00:00:00+05:30,43.05,47.5,42.25,45.7,438707
2019-06-24 00:00:00+05:30,47.0,48.5,45.55,46.55,191925
2019-06-25 00:00:00+05:30,48.5,49.4,46.6,47.05,340412
2019-06-26 00:00:00+05:30,45.1,46.55,45.1,45.6,88702
2019-06-27 00:00:00+05:30,45.6,45.65,44.1,44.55,64345
2019-06-28 00:00:00+05:30,44.2,46.7,44.05,44.65,73893
2019-07-01 00:00:00+05:30,45.95,48.7,44.3,47.3,335002
2019-07-02 00:00:00+05:30,47.8,47.8,44.9,45.35,62626
2019-07-03 00:00:00+05:30,45.9,45.9,43.95,44.35,61714
2019-07-04 00:00:00+05:30,45.0,45.5,44.05,44.55,31158
2019-07-05 00:00:00+05:30,45.0,45.0,41.7,43.1,95164
2019-07-08 00:00:00+05:30,42.25,43.4,40.4,41.1,60966
2019-07-09 00:00:00+05:30,40.4,44.9,40.3,42.15,119909
2019-07-10 00:00:00+05:30,42.0,43.7,41.1,41.85,33351
2019-07-11 00:00:00+05:30,42.45,43.0,40.7,41.25,26043
2019-07-12 00:00:00+05:30,40.85,42.5,40.15,41.85,42060
2019-07-15 00:00:00+05:30,41.6,44.7,41.4,42.85,83779
2019-07-16 00:00:00+05:30,42.5,44.0,42.1,42.7,32055
2019-07-17 00:00:00+05:30,43.0,43.0,41.5,41.85,29799
2019-07-18 00:00:00+05:30,42.2,42.9,41.0,41.3,28521
2019-07-19 00:00:00+05:30,41.6,42.0,39.3,39.75,40833
2019-07-22 00:00:00+05:30,39.75,40.1,37.4,37.7,58905
2019-07-23 00:00:00+05:30,37.7,39.45,37.7,38.55,44025
2019-07-24 00:00:00+05:30,39.4,39.4,37.7,38.05,43885
2019-07-25 00:00:00+05:30,38.35,38.9,36.8,37.15,35470
2019-07-26 00:00:00+05:30,37.45,37.8,34.05,35.9,227289
2019-07-29 00:00:00+05:30,34.25,36.5,34.25,35.4,57460
2019-07-30 00:00:00+05:30,38.0,38.0,32.9,33.45,43973
2019-07-31 00:00:00+05:30,33.7,36.5,30.6,35.2,93493
2019-08-01 00:00:00+05:30,35.05,35.85,34.5,34.85,30885
2019-08-02 00:00:00+05:30,35.0,35.0,31.45,33.6,39569
2019-08-05 00:00:00+05:30,33.1,33.1,30.0,30.35,107227
2019-08-06 00:00:00+05:30,31.0,32.0,30.0,30.55,57966
2019-08-07 00:00:00+05:30,30.7,31.95,30.7,31.35,48528
2019-08-08 00:00:00+05:30,31.4,32.3,30.7,32.0,51438
2019-08-09 00:00:00+05:30,32.3,33.95,32.2,33.0,60679
