date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,57.0,58.7,56.1,57.35,7865
2019-01-02 00:00:00+05:30,57.95,59.0,55.55,56.6,8468
2019-01-03 00:00:00+05:30,56.0,57.0,55.2,56.95,9911
2019-01-04 00:00:00+05:30,56.5,57.0,56.0,56.5,5815
2019-01-07 00:00:00+05:30,57.0,57.0,55.1,55.2,9823
2019-01-08 00:00:00+05:30,56.25,56.25,55.15,55.3,5787
2019-01-09 00:00:00+05:30,55.5,55.65,54.6,54.95,33881
2019-01-10 00:00:00+05:30,55.4,57.35,55.0,56.15,12589
2019-01-11 00:00:00+05:30,56.25,63.9,56.25,62.85,482265
2019-01-14 00:00:00+05:30,63.0,64.5,61.95,62.05,711185
2019-01-15 00:00:00+05:30,62.55,63.15,62.0,62.0,276070
2019-01-16 00:00:00+05:30,61.05,65.9,61.05,62.45,436109
2019-01-17 00:00:00+05:30,63.0,63.55,62.1,62.2,15633
2019-01-18 00:00:00+05:30,65.0,65.5,62.1,62.55,32329
2019-01-21 00:00:00+05:30,62.2,64.5,61.95,62.35,16381
2019-01-22 00:00:00+05:30,63.35,63.35,59.7,60.1,18506
2019-01-23 00:00:00+05:30,60.55,61.6,59.75,60.25,10432
2019-01-24 00:00:00+05:30,59.0,61.35,59.0,61.1,23519
2019-01-25 00:00:00+05:30,62.7,62.7,56.95,58.05,41971
2019-01-28 00:00:00+05:30,58.05,59.0,55.6,56.5,53066
2019-01-29 00:00:00+05:30,56.55,61.6,55.45,57.35,4215
2019-01-30 00:00:00+05:30,58.95,60.0,56.25,58.2,30859
2019-01-31 00:00:00+05:30,60.85,60.85,57.1,57.9,8451
2019-02-01 00:00:00+05:30,59.0,59.0,56.3,56.9,10434
2019-02-04 00:00:00+05:30,56.95,60.4,56.0,59.35,16679
2019-02-05 00:00:00+05:30,60.4,60.4,56.5,57.35,24206
2019-02-06 00:00:00+05:30,57.35,57.8,56.2,57.25,33013
2019-02-07 00:00:00+05:30,57.15,57.2,55.5,56.4,34808
2019-02-08 00:00:00+05:30,56.0,57.7,55.55,57.4,5094
2019-02-11 00:00:00+05:30,57.05,57.25,54.05,54.9,26506
2019-02-12 00:00:00+05:30,54.9,55.85,50.4,54.9,698056
2019-02-13 00:00:00+05:30,55.95,56.95,52.05,52.85,18950
2019-02-14 00:00:00+05:30,52.75,54.85,50.9,53.4,11433
2019-02-15 00:00:00+05:30,53.45,53.45,51.55,52.3,3344
2019-02-18 00:00:00+05:30,52.0,53.3,50.35,52.0,16028
2019-02-19 00:00:00+05:30,52.3,54.15,51.65,54.0,18916
2019-02-20 00:00:00+05:30,54.05,55.5,53.05,54.95,15553
