date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,15.95,16.1,15.8,16.05,46366
2019-01-02 00:00:00+05:30,16.05,16.3,15.75,16.05,36115
2019-01-03 00:00:00+05:30,16.0,16.15,15.8,16.05,36102
2019-01-04 00:00:00+05:30,16.0,16.1,15.55,15.9,35378
2019-01-07 00:00:00+05:30,15.8,16.4,15.65,16.1,79733
2019-01-08 00:00:00+05:30,16.0,16.4,15.9,16.1,57833
2019-01-09 00:00:00+05:30,15.9,16.35,15.9,16.1,65446
2019-01-10 00:00:00+05:30,15.9,16.25,15.9,16.05,20020
2019-01-11 00:00:00+05:30,15.9,16.05,15.85,15.9,28640
2019-01-14 00:00:00+05:30,15.9,16.35,15.85,15.9,9909
2019-01-15 00:00:00+05:30,16.25,16.25,15.6,16.05,39237
2019-01-16 00:00:00+05:30,16.1,16.3,15.9,15.95,19891
2019-01-17 00:00:00+05:30,15.95,18.9,15.9,17.5,515647
2019-01-18 00:00:00+05:30,17.5,17.5,16.05,16.1,156165
2019-01-21 00:00:00+05:30,16.3,16.9,16.1,16.6,79125
2019-01-22 00:00:00+05:30,16.4,16.6,16.05,16.15,31913
2019-01-23 00:00:00+05:30,16.15,17.2,15.75,16.85,81102
2019-01-24 00:00:00+05:30,16.55,17.85,16.55,17.05,60483
2019-01-25 00:00:00+05:30,16.9,18.75,16.3,17.05,233853
2019-01-28 00:00:00+05:30,17.25,17.25,16.3,16.6,69495
2019-01-29 00:00:00+05:30,16.6,17.0,16.3,16.35,39405
2019-01-30 00:00:00+05:30,16.7,17.4,16.45,16.6,98120
2019-01-31 00:00:00+05:30,16.6,18.2,16.45,17.05,213867
2019-02-01 00:00:00+05:30,17.05,17.8,16.55,16.6,23539
2019-02-04 00:00:00+05:30,16.6,16.8,15.95,16.15,31802
2019-02-05 00:00:00+05:30,16.15,16.65,15.8,16.5,62992
2019-02-06 00:00:00+05:30,16.3,16.5,16.0,16.3,27092
2019-02-07 00:00:00+05:30,16.1,16.65,16.05,16.25,57922
