date,open,high,low,close,volume
2022-01-12 00:00:00+05:30,41.0,43.05,41.0,43.05,864000
2022-01-13 00:00:00+05:30,45.2,45.2,45.2,45.2,52000
2022-01-14 00:00:00+05:30,47.45,47.45,47.45,47.45,16000
2022-01-17 00:00:00+05:30,49.8,49.8,49.8,49.8,28000
2022-01-18 00:00:00+05:30,52.3,52.3,52.3,52.3,480000
2022-01-19 00:00:00+05:30,53.75,54.9,49.7,54.9,908000
2022-01-20 00:00:00+05:30,57.6,57.6,57.6,57.6,28000
2022-01-21 00:00:00+05:30,60.5,60.5,60.5,60.5,8000
2022-01-24 00:00:00+05:30,63.5,63.5,57.5,59.9,464000
2022-01-25 00:00:00+05:30,59.9,60.0,56.95,59.2,76000
2022-01-27 00:00:00+05:30,60.3,68.5,59.5,67.15,312000
2022-01-28 00:00:00+05:30,72.4,80.6,72.0,78.7,352000
2022-01-31 00:00:00+05:30,79.1,79.5,63.5,66.7,256000
2022-02-01 00:00:00+05:30,65.95,67.0,57.75,59.3,232000
2022-02-02 00:00:00+05:30,61.25,67.35,59.0,63.7,172000
2022-02-03 00:00:00+05:30,65.25,65.25,58.9,60.6,88000
2022-02-04 00:00:00+05:30,57.8,60.5,56.5,57.1,72000
2022-02-07 00:00:00+05:30,59.4,59.4,56.5,58.0,60000
2022-02-08 00:00:00+05:30,54.6,55.5,51.4,51.8,84000
2022-02-09 00:00:00+05:30,47.5,50.0,45.15,46.6,96000
2022-02-10 00:00:00+05:30,42.5,46.2,41.8,45.5,124000
2022-02-11 00:00:00+05:30,45.5,45.5,44.85,44.85,44000
2022-02-14 00:00:00+05:30,44.85,44.85,42.5,42.6,28000
2022-02-15 00:00:00+05:30,42.75,42.75,38.75,39.8,104000
2022-02-16 00:00:00+05:30,38.85,47.45,37.1,46.8,132000
2022-02-17 00:00:00+05:30,50.0,56.2,50.0,56.2,148000
2022-02-18 00:00:00+05:30,64.95,65.0,47.1,57.0,120000
2022-02-21 00:00:00+05:30,60.95,60.95,51.25,52.0,56000
2022-02-22 00:00:00+05:30,46.0,50.0,45.3,48.0,56000
2022-02-23 00:00:00+05:30,53.0,53.0,48.0,48.3,24000
2022-02-24 00:00:00+05:30,42.6,46.7,40.5,40.85,92000
2022-02-25 00:00:00+05:30,47.45,49.0,47.0,49.0,76000
2022-02-28 00:00:00+05:30,49.0,52.75,48.0,51.0,52000
2022-03-02 00:00:00+05:30,49.6,53.0,49.6,52.5,28000
2022-03-03 00:00:00+05:30,52.5,52.5,47.55,52.5,24000
2022-03-04 00:00:00+05:30,47.05,49.95,46.6,49.5,48000
2022-03-07 00:00:00+05:30,45.5,47.4,41.1,45.0,36000
2022-03-08 00:00:00+05:30,45.5,46.9,45.5,46.9,8000
2022-03-09 00:00:00+05:30,46.0,51.0,46.0,47.0,68000
2022-03-10 00:00:00+05:30,52.5,52.95,49.95,52.4,100000
2022-03-11 00:00:00+05:30,49.2,52.9,49.2,52.0,28000
2022-03-14 00:00:00+05:30,50.75,50.75,48.65,48.65,16000
2022-03-15 00:00:00+05:30,47.25,49.45,47.25,48.5,28000
2022-03-16 00:00:00+05:30,48.5,50.4,48.5,50.4,16000
2022-03-17 00:00:00+05:30,51.0,51.0,46.5,47.75,52000
2022-03-21 00:00:00+05:30,47.1,49.5,45.05,49.2,36000
2022-03-22 00:00:00+05:30,45.55,47.1,45.55,46.6,16000
2022-03-23 00:00:00+05:30,47.5,47.5,45.5,45.55,28000
2022-03-24 00:00:00+05:30,45.55,45.6,44.35,45.6,20000
2022-03-25 00:00:00+05:30,44.1,44.8,43.0,43.9,68000
2022-03-28 00:00:00+05:30,41.75,43.5,41.75,42.9,28000
2022-03-29 00:00:00+05:30,41.75,41.95,40.05,41.95,64000
2022-03-30 00:00:00+05:30,42.2,48.0,42.2,45.5,116000
2022-03-31 00:00:00+05:30,45.5,46.75,45.0,45.0,24000
2022-04-04 00:00:00+05:30,43.25,45.25,43.25,44.55,20000
2022-04-05 00:00:00+05:30,46.5,46.5,46.5,46.5,8000
2022-04-06 00:00:00+05:30,45.5,48.0,45.5,46.4,52000
2022-04-07 00:00:00+05:30,45.3,46.1,45.3,45.5,24000
2022-04-08 00:00:00+05:30,46.2,46.2,45.1,45.9,24000
2022-04-13 00:00:00+05:30,45.0,45.0,43.55,43.8,28000
2022-04-18 00:00:00+05:30,44.7,50.75,44.7,49.0,92000
2022-04-19 00:00:00+05:30,49.0,49.0,46.3,46.3,28000
2022-04-21 00:00:00+05:30,46.3,46.5,43.6,46.45,24000
2022-04-22 00:00:00+05:30,46.45,46.45,46.45,46.45,12000
2022-04-25 00:00:00+05:30,44.5,44.5,42.6,42.6,24000
2022-04-26 00:00:00+05:30,44.75,44.75,42.9,42.9,16000
2022-04-27 00:00:00+05:30,43.4,45.25,42.0,43.0,16000
2022-04-28 00:00:00+05:30,43.0,43.0,43.0,43.0,4000
2022-04-29 00:00:00+05:30,43.0,43.0,42.5,42.6,24000
2022-05-02 00:00:00+05:30,42.5,42.5,42.5,42.5,12000
2022-05-06 00:00:00+05:30,41.0,41.0,40.0,40.0,8000
2022-05-10 00:00:00+05:30,40.0,42.25,40.0,42.25,12000
2022-05-11 00:00:00+05:30,39.35,39.35,38.0,38.0,12000
2022-05-12 00:00:00+05:30,40.0,42.0,39.5,41.0,44000
2022-05-13 00:00:00+05:30,41.0,41.0,40.5,40.5,16000
2022-05-17 00:00:00+05:30,41.75,41.75,40.75,40.75,12000
