date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,49.95,52.05,48.1,49.55,942
2019-01-02 00:00:00+05:30,49.55,52.45,48.1,49.3,1440
2019-01-03 00:00:00+05:30,49.3,50.0,48.6,48.8,793
2019-01-04 00:00:00+05:30,48.6,49.8,47.2,49.6,1529
2019-01-07 00:00:00+05:30,49.05,50.0,48.5,48.7,1779
2019-01-08 00:00:00+05:30,49.75,49.75,48.75,49.0,496
2019-01-09 00:00:00+05:30,48.55,49.4,48.5,48.75,759
2019-01-10 00:00:00+05:30,49.05,50.0,49.0,49.6,1444
2019-01-11 00:00:00+05:30,49.05,50.0,48.7,49.1,928
2019-01-14 00:00:00+05:30,49.65,50.3,48.1,48.25,442
2019-01-15 00:00:00+05:30,48.25,50.05,47.1,49.15,2717
2019-01-16 00:00:00+05:30,49.8,50.0,49.0,49.55,635
2019-01-17 00:00:00+05:30,49.55,51.0,49.0,50.85,828
2019-01-18 00:00:00+05:30,50.15,52.0,45.95,51.8,7523
2019-01-21 00:00:00+05:30,51.05,52.0,49.55,50.9,1695
2019-01-22 00:00:00+05:30,50.05,50.05,47.65,49.8,5574
2019-01-23 00:00:00+05:30,49.05,50.5,48.15,49.55,3151
2019-01-24 00:00:00+05:30,49.55,50.4,48.35,49.95,1925
2019-01-25 00:00:00+05:30,49.5,50.6,49.05,49.7,7605
2019-01-28 00:00:00+05:30,49.5,49.8,48.5,49.1,4889
2019-01-29 00:00:00+05:30,48.0,50.0,46.95,49.5,4551
2019-01-30 00:00:00+05:30,49.2,50.0,49.0,49.25,1520
2019-01-31 00:00:00+05:30,50.0,51.15,49.15,50.3,805
2019-02-01 00:00:00+05:30,49.4,50.0,46.35,49.95,18302
2019-02-04 00:00:00+05:30,49.95,50.0,48.0,49.35,4395
2019-02-05 00:00:00+05:30,49.0,50.8,49.0,50.05,8007
2019-02-06 00:00:00+05:30,49.0,50.4,48.15,49.1,2297
2019-02-07 00:00:00+05:30,49.95,50.0,49.0,49.6,4167
2019-02-08 00:00:00+05:30,49.0,50.65,47.0,48.0,33736
2019-02-11 00:00:00+05:30,47.0,49.6,45.2,48.85,3756
2019-02-12 00:00:00+05:30,46.2,49.75,46.2,48.65,3024
2019-02-13 00:00:00+05:30,49.2,51.45,49.1,49.25,7172
2019-02-14 00:00:00+05:30,48.15,49.8,46.3,49.7,2701
2019-02-15 00:00:00+05:30,48.9,49.5,48.55,48.95,7356
2019-02-18 00:00:00+05:30,48.85,49.4,48.8,48.8,10361
2019-02-19 00:00:00+05:30,48.0,49.45,48.0,49.0,5215
2019-02-20 00:00:00+05:30,48.85,50.95,48.8,49.05,6549
2019-02-21 00:00:00+05:30,48.95,54.0,48.8,48.8,6207
2019-02-22 00:00:00+05:30,49.55,49.55,48.75,49.5,5952
2019-02-25 00:00:00+05:30,49.05,49.75,49.0,49.05,8270
2019-02-26 00:00:00+05:30,48.9,49.65,48.75,49.55,8297
2019-02-27 00:00:00+05:30,51.0,51.0,48.45,49.95,23575
2019-02-28 00:00:00+05:30,49.15,49.5,49.0,49.5,8124
2019-03-01 00:00:00+05:30,49.95,50.0,49.0,49.75,18539
2019-03-05 00:00:00+05:30,48.0,50.85,48.0,49.7,10479
2019-03-06 00:00:00+05:30,49.45,54.4,48.95,53.15,20856
2019-03-07 00:00:00+05:30,53.9,55.0,52.05,52.8,2131
2019-03-08 00:00:00+05:30,52.8,53.55,49.55,50.85,2120
2019-03-11 00:00:00+05:30,50.1,53.0,50.1,50.1,6574
2019-03-12 00:00:00+05:30,50.15,52.55,50.15,51.0,5808
2019-03-13 00:00:00+05:30,50.35,51.8,50.0,50.1,6812
2019-03-14 00:00:00+05:30,50.0,52.5,50.0,51.35,9003
2019-03-15 00:00:00+05:30,50.55,54.6,50.2,51.75,14197
2019-03-18 00:00:00+05:30,51.75,52.1,50.55,52.1,9688
2019-03-19 00:00:00+05:30,50.3,52.3,50.3,52.05,9039
2019-03-20 00:00:00+05:30,51.5,53.4,51.5,51.65,5077
2019-03-22 00:00:00+05:30,49.3,53.45,49.3,53.1,7411
2019-03-25 00:00:00+05:30,54.85,54.85,50.6,52.85,14235
