date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,4.05,4.1,4.0,4.05,413403
2019-01-02 00:00:00+05:30,4.05,4.1,3.95,4.0,490639
2019-01-03 00:00:00+05:30,3.95,4.05,3.95,4.0,509425
2019-01-04 00:00:00+05:30,4.0,4.05,3.95,3.95,269597
2019-01-07 00:00:00+05:30,3.95,4.0,3.95,3.95,505721
2019-01-08 00:00:00+05:30,3.95,4.0,3.9,3.9,787874
2019-01-09 00:00:00+05:30,3.9,3.95,3.8,3.95,909357
2019-01-10 00:00:00+05:30,3.95,3.95,3.85,3.95,613674
2019-01-11 00:00:00+05:30,3.95,3.95,3.85,3.85,484944
2019-01-14 00:00:00+05:30,3.85,3.9,3.8,3.85,216898
2019-01-15 00:00:00+05:30,3.9,3.9,3.85,3.85,186719
2019-01-16 00:00:00+05:30,3.9,3.95,3.85,3.85,562015
2019-01-17 00:00:00+05:30,3.9,3.9,3.8,3.85,371250
2019-01-18 00:00:00+05:30,3.85,4.1,3.8,4.0,985133
2019-01-21 00:00:00+05:30,3.95,4.1,3.9,3.9,729438
2019-01-22 00:00:00+05:30,3.95,4.1,3.95,3.95,944323
2019-01-23 00:00:00+05:30,3.95,4.0,3.9,3.9,423408
2019-01-24 00:00:00+05:30,3.95,4.0,3.9,3.9,419973
2019-01-25 00:00:00+05:30,3.9,3.95,3.8,3.85,586506
2019-01-28 00:00:00+05:30,3.8,3.95,3.75,3.75,1418386
2019-01-29 00:00:00+05:30,3.75,3.8,3.7,3.75,542017
2019-01-30 00:00:00+05:30,3.75,3.75,3.65,3.7,664371
2019-01-31 00:00:00+05:30,3.7,3.7,3.6,3.6,583501
2019-02-01 00:00:00+05:30,3.55,3.75,3.3,3.65,1122853
2019-02-04 00:00:00+05:30,3.7,3.7,3.2,3.4,1727623
2019-02-05 00:00:00+05:30,3.4,3.45,2.9,3.15,3046984
2019-02-06 00:00:00+05:30,3.2,3.2,2.85,3.0,1165358
2019-02-07 00:00:00+05:30,3.05,3.05,2.6,2.8,2200344
2019-02-08 00:00:00+05:30,2.75,3.0,2.7,2.95,591147
2019-02-11 00:00:00+05:30,3.0,3.15,2.95,3.05,541821
2019-02-12 00:00:00+05:30,3.1,3.15,2.95,3.0,998275
2019-02-13 00:00:00+05:30,3.0,3.1,2.85,2.95,522138
2019-02-14 00:00:00+05:30,2.95,2.95,2.8,2.85,386506
2019-02-15 00:00:00+05:30,2.85,3.0,2.8,3.0,400688
2019-02-18 00:00:00+05:30,3.0,3.0,2.85,2.9,418396
2019-02-19 00:00:00+05:30,3.0,3.2,2.95,3.15,954537
2019-02-20 00:00:00+05:30,3.2,3.2,3.05,3.05,243079
2019-02-21 00:00:00+05:30,3.05,3.2,3.05,3.15,551043
2019-02-22 00:00:00+05:30,3.2,3.6,3.1,3.45,2854949
2019-02-25 00:00:00+05:30,3.5,3.7,3.3,3.35,654097
2019-02-26 00:00:00+05:30,3.35,3.35,3.0,3.1,941264
2019-02-27 00:00:00+05:30,3.15,3.3,2.95,3.05,1111776
2019-02-28 00:00:00+05:30,3.05,3.1,3.0,3.05,562752
2019-03-01 00:00:00+05:30,3.05,3.15,3.05,3.05,504936
