date,open,high,low,close,volume
2019-02-26 00:00:00+05:30,45.0,45.0,45.0,45.0,8000
2019-03-05 00:00:00+05:30,46.5,46.5,46.5,46.5,2000
2019-03-06 00:00:00+05:30,47.0,49.1,47.0,49.1,4000
2019-03-08 00:00:00+05:30,48.0,49.2,48.0,49.2,4000
2019-03-12 00:00:00+05:30,52.6,52.6,52.6,52.6,2000
2019-03-13 00:00:00+05:30,51.0,51.0,51.0,51.0,2000
2019-03-18 00:00:00+05:30,51.0,51.0,51.0,51.0,28000
2019-03-20 00:00:00+05:30,52.5,55.4,51.5,55.4,6000
2019-03-25 00:00:00+05:30,51.1,51.1,51.0,51.0,6000
2019-03-26 00:00:00+05:30,54.0,54.1,54.0,54.1,4000
2019-03-27 00:00:00+05:30,52.0,53.75,48.9,53.75,10000
2019-03-28 00:00:00+05:30,55.0,64.5,55.0,64.5,40000
2019-03-29 00:00:00+05:30,68.9,68.9,62.6,62.6,10000
2019-04-01 00:00:00+05:30,58.0,61.8,58.0,61.55,8000
2019-04-02 00:00:00+05:30,64.0,69.45,64.0,68.85,22000
2019-04-03 00:00:00+05:30,72.9,72.9,65.1,69.4,78000
2019-04-04 00:00:00+05:30,66.65,69.05,65.4,66.4,18000
2019-04-05 00:00:00+05:30,70.95,74.0,70.0,73.15,64000
2019-04-08 00:00:00+05:30,72.1,74.5,67.7,68.1,48000
2019-04-09 00:00:00+05:30,70.25,72.5,69.7,71.2,18000
2019-04-10 00:00:00+05:30,72.4,72.5,72.4,72.5,4000
2019-04-11 00:00:00+05:30,71.4,71.5,71.4,71.5,6000
2019-04-12 00:00:00+05:30,71.25,72.25,71.25,72.25,6000
2019-04-16 00:00:00+05:30,66.15,66.15,66.1,66.1,4000
2019-04-18 00:00:00+05:30,70.0,70.0,70.0,70.0,2000
2019-04-23 00:00:00+05:30,68.0,68.0,68.0,68.0,2000
2019-04-25 00:00:00+05:30,63.75,63.75,63.75,63.75,2000
2019-04-26 00:00:00+05:30,64.3,67.9,64.3,66.0,6000
2019-05-06 00:00:00+05:30,69.45,69.45,69.45,69.45,2000
2019-05-07 00:00:00+05:30,58.05,69.3,58.05,67.7,16000
2019-05-23 00:00:00+05:30,65.0,71.75,65.0,71.75,4000
2019-05-24 00:00:00+05:30,57.5,61.1,57.5,61.1,6000
2019-05-27 00:00:00+05:30,71.85,71.85,68.8,68.8,4000
2019-05-28 00:00:00+05:30,68.5,68.5,68.5,68.5,2000
2019-05-29 00:00:00+05:30,61.3,61.3,61.3,61.3,2000
2019-05-30 00:00:00+05:30,70.25,70.25,70.25,70.25,2000
2019-05-31 00:00:00+05:30,62.5,63.0,62.5,62.5,6000
2019-06-07 00:00:00+05:30,52.65,63.15,52.65,59.95,6000
2019-06-12 00:00:00+05:30,56.0,65.85,54.95,61.15,8000
2019-06-19 00:00:00+05:30,65.65,65.65,53.55,59.65,6000
2019-06-26 00:00:00+05:30,52.8,65.25,52.8,60.4,8000
2019-06-27 00:00:00+05:30,65.0,65.0,62.5,62.5,4000
2019-07-01 00:00:00+05:30,55.0,55.0,55.0,55.0,2000
2019-07-16 00:00:00+05:30,47.2,61.5,47.2,53.85,6000
2019-07-22 00:00:00+05:30,58.95,58.95,46.15,54.0,10000
2019-07-23 00:00:00+05:30,48.0,58.9,48.0,50.2,12000
2019-08-05 00:00:00+05:30,41.75,41.75,41.75,41.75,2000
2019-08-06 00:00:00+05:30,45.35,45.35,45.35,45.35,2000
