date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,28.6,28.6,28.0,28.25,730
2019-01-02 00:00:00+05:30,28.5,28.6,28.15,28.15,2390
2019-01-03 00:00:00+05:30,28.6,28.6,28.0,28.3,3150
2019-01-04 00:00:00+05:30,28.0,28.6,28.0,28.6,360
2019-01-07 00:00:00+05:30,28.6,28.6,27.3,28.5,2420
2019-01-08 00:00:00+05:30,28.5,28.5,28.0,28.1,1690
2019-01-09 00:00:00+05:30,27.8,28.2,27.8,28.2,2690
2019-01-10 00:00:00+05:30,27.9,28.5,27.7,27.95,839770
2019-01-11 00:00:00+05:30,27.7,28.4,27.2,27.75,4010
2019-01-14 00:00:00+05:30,27.6,28.0,27.6,27.65,2290
2019-01-15 00:00:00+05:30,27.8,28.1,27.8,28.1,910
2019-01-16 00:00:00+05:30,28.0,28.6,27.8,28.05,16650
2019-01-17 00:00:00+05:30,27.6,28.5,27.6,28.5,1290
2019-01-18 00:00:00+05:30,28.5,28.5,27.8,28.4,1200
2019-01-21 00:00:00+05:30,27.8,28.4,27.8,28.4,2070
2019-01-22 00:00:00+05:30,27.6,27.8,27.5,27.8,3580
2019-01-23 00:00:00+05:30,28.45,28.45,27.5,28.4,3320
2019-01-24 00:00:00+05:30,27.8,27.85,27.5,27.75,180
2019-01-25 00:00:00+05:30,27.5,28.45,27.5,27.55,7040
2019-01-28 00:00:00+05:30,28.0,28.4,27.0,27.0,550
2019-01-29 00:00:00+05:30,27.0,27.2,27.0,27.15,2410
2019-01-30 00:00:00+05:30,27.15,27.15,26.8,26.9,720
2019-01-31 00:00:00+05:30,27.5,27.5,26.6,27.0,2760
2019-02-01 00:00:00+05:30,27.3,27.3,26.9,27.2,3180
2019-02-04 00:00:00+05:30,27.1,27.2,26.8,26.8,1940
2019-02-05 00:00:00+05:30,26.8,27.1,26.3,26.8,5410
2019-02-07 00:00:00+05:30,27.4,27.45,27.4,27.45,610
2019-02-08 00:00:00+05:30,27.5,27.5,26.8,27.25,1690
2019-02-11 00:00:00+05:30,27.0,27.45,26.6,26.75,2580
2019-02-12 00:00:00+05:30,27.5,27.5,26.8,26.8,9040
2019-02-13 00:00:00+05:30,26.8,26.8,26.5,26.5,2220
2019-02-14 00:00:00+05:30,26.5,26.5,26.4,26.5,950
2019-02-15 00:00:00+05:30,26.4,26.5,26.1,26.4,2320
2019-02-18 00:00:00+05:30,26.4,26.5,25.6,25.75,320
2019-02-19 00:00:00+05:30,26.5,26.5,25.65,26.1,5380
2019-02-20 00:00:00+05:30,26.1,26.1,26.0,26.0,1730
2019-02-21 00:00:00+05:30,26.1,26.1,26.0,26.0,9330
2019-02-22 00:00:00+05:30,26.0,26.5,25.5,26.5,10700
2019-02-25 00:00:00+05:30,26.5,26.65,26.2,26.65,220
2019-02-26 00:00:00+05:30,26.7,27.0,26.2,26.45,2900
2019-02-27 00:00:00+05:30,26.6,26.8,26.6,26.8,8090
2019-02-28 00:00:00+05:30,26.5,26.8,26.2,26.8,980
2019-03-01 00:00:00+05:30,27.0,27.3,26.9,27.1,6670
2019-03-05 00:00:00+05:30,27.3,27.9,27.1,27.5,10250
2019-03-06 00:00:00+05:30,27.6,28.0,27.6,27.85,1700
2019-03-07 00:00:00+05:30,27.9,28.0,27.7,27.8,260
2019-03-08 00:00:00+05:30,27.85,28.0,27.8,27.95,1270
2019-03-11 00:00:00+05:30,27.9,28.75,27.5,28.3,2030
2019-03-12 00:00:00+05:30,28.4,28.65,28.3,28.5,28170
2019-03-13 00:00:00+05:30,28.45,28.8,28.45,28.7,42970
2019-03-14 00:00:00+05:30,28.65,28.65,28.5,28.5,2540
2019-03-15 00:00:00+05:30,29.0,29.4,27.0,28.5,15790
2019-03-18 00:00:00+05:30,28.05,28.5,28.0,28.5,3480
2019-03-19 00:00:00+05:30,28.6,28.8,28.5,28.6,17580
2019-03-20 00:00:00+05:30,28.6,28.6,28.3,28.6,2820
2019-03-22 00:00:00+05:30,28.6,28.6,28.0,28.3,12080
2019-03-25 00:00:00+05:30,28.3,28.3,27.6,28.05,4120
2019-03-26 00:00:00+05:30,28.15,28.3,27.8,27.9,4080
2019-03-27 00:00:00+05:30,28.2,28.3,27.95,27.95,500
2019-03-28 00:00:00+05:30,28.3,28.3,27.75,28.3,4020
2019-03-29 00:00:00+05:30,28.3,28.45,27.9,28.05,10350
2019-04-01 00:00:00+05:30,28.5,28.9,27.8,28.55,16260
2019-04-02 00:00:00+05:30,28.55,28.8,27.8,28.1,3550
2019-04-03 00:00:00+05:30,28.7,28.7,27.8,27.9,3420
2019-04-04 00:00:00+05:30,27.9,28.4,27.7,28.4,13670
2019-04-05 00:00:00+05:30,28.7,28.7,28.0,28.5,13230
2019-04-08 00:00:00+05:30,28.65,28.65,28.5,28.6,4440
2019-04-09 00:00:00+05:30,29.0,29.0,27.9,28.55,10180
2019-04-10 00:00:00+05:30,28.65,28.8,28.65,28.8,2360
2019-04-11 00:00:00+05:30,28.7,28.7,28.4,28.7,3190
2019-04-12 00:00:00+05:30,29.0,29.0,28.6,28.6,300
2019-04-15 00:00:00+05:30,28.9,28.9,28.6,28.6,530
2019-04-16 00:00:00+05:30,28.5,29.0,28.5,28.7,14210
2019-04-18 00:00:00+05:30,28.8,29.1,28.6,29.0,7800
2019-04-22 00:00:00+05:30,28.75,29.3,28.05,28.75,4420
2019-04-23 00:00:00+05:30,28.5,28.5,28.2,28.5,2430
2019-04-24 00:00:00+05:30,28.45,28.45,28.15,28.15,5020
2019-04-25 00:00:00+05:30,28.6,28.7,27.9,28.25,23620
2019-04-26 00:00:00+05:30,28.8,28.8,28.65,28.8,120
2019-04-30 00:00:00+05:30,28.8,28.8,27.8,28.45,1220
2019-05-02 00:00:00+05:30,28.05,28.4,27.7,28.1,6510
2019-05-03 00:00:00+05:30,28.3,28.3,27.9,27.95,2700
2019-05-06 00:00:00+05:30,28.0,28.0,27.65,27.7,3840
2019-05-07 00:00:00+05:30,28.3,28.3,27.5,27.6,3490
2019-05-08 00:00:00+05:30,28.3,28.3,27.1,27.3,5570
2019-05-09 00:00:00+05:30,27.25,27.35,26.7,27.35,2750
2019-05-10 00:00:00+05:30,27.4,27.4,26.9,26.9,5810
2019-05-13 00:00:00+05:30,26.9,27.1,26.7,26.7,3760
2019-05-14 00:00:00+05:30,26.7,26.75,26.5,26.75,2870
2019-05-15 00:00:00+05:30,26.5,26.9,26.5,26.9,4350
2019-05-16 00:00:00+05:30,26.6,26.6,26.45,26.6,6550
2019-05-17 00:00:00+05:30,26.6,26.7,26.4,26.7,1580
2019-05-20 00:00:00+05:30,27.0,27.5,27.0,27.5,7150
2019-05-21 00:00:00+05:30,27.5,27.7,27.5,27.7,100
2019-05-22 00:00:00+05:30,27.2,28.9,27.0,27.5,5700
2019-05-23 00:00:00+05:30,27.9,28.4,26.45,27.4,25220
2019-05-24 00:00:00+05:30,27.8,27.9,27.5,27.85,1750
2019-05-27 00:00:00+05:30,27.8,28.2,27.8,28.05,17290
2019-05-28 00:00:00+05:30,28.05,28.5,28.05,28.5,6300
2019-05-29 00:00:00+05:30,28.05,28.45,28.0,28.0,870
2019-05-30 00:00:00+05:30,28.0,28.5,27.7,28.05,524520
2019-05-31 00:00:00+05:30,28.05,28.5,27.7,28.3,6580
2019-06-03 00:00:00+05:30,28.3,28.5,28.1,28.45,4880
2019-06-04 00:00:00+05:30,28.45,28.55,28.4,28.4,16570
2019-06-06 00:00:00+05:30,28.8,28.8,28.0,28.55,10930
2019-06-07 00:00:00+05:30,28.0,28.6,27.7,28.3,120
2019-06-10 00:00:00+05:30,29.0,29.0,27.5,28.15,4030
2019-06-11 00:00:00+05:30,28.15,28.8,28.15,28.75,550
