date,open,high,low,close,volume
2023-06-30 00:00:00+05:30,30.0,30.0,28.5,28.5,544000
2023-07-03 00:00:00+05:30,27.1,27.1,27.1,27.1,12000
2023-07-04 00:00:00+05:30,25.75,25.75,25.75,25.75,20000
2023-07-05 00:00:00+05:30,24.5,24.5,24.5,24.5,20000
2023-07-06 00:00:00+05:30,23.3,25.7,23.3,25.7,680000
2023-07-07 00:00:00+05:30,25.0,25.65,24.45,24.7,236000
2023-07-10 00:00:00+05:30,23.5,23.5,23.5,23.5,16000
2023-07-11 00:00:00+05:30,22.35,22.35,22.35,22.35,12000
2023-07-12 00:00:00+05:30,21.25,23.25,21.25,22.0,208000
2023-07-13 00:00:00+05:30,21.0,22.25,20.9,20.9,184000
2023-07-14 00:00:00+05:30,20.7,22.5,20.7,21.1,48000
2023-07-17 00:00:00+05:30,20.5,21.8,20.5,21.65,52000
2023-07-18 00:00:00+05:30,21.7,21.7,20.5,20.8,44000
2023-07-19 00:00:00+05:30,21.75,24.9,20.3,23.45,256000
2023-07-20 00:00:00+05:30,23.4,23.75,22.5,22.8,68000
2023-07-21 00:00:00+05:30,22.15,22.9,21.5,22.9,24000
2023-07-24 00:00:00+05:30,23.1,23.4,22.0,22.15,28000
2023-07-25 00:00:00+05:30,23.45,23.45,21.55,21.95,44000
2023-07-26 00:00:00+05:30,21.6,23.0,21.6,22.95,56000
2023-07-27 00:00:00+05:30,23.35,26.5,23.3,24.25,88000
2023-07-28 00:00:00+05:30,24.25,26.45,24.25,25.5,44000
2023-07-31 00:00:00+05:30,24.55,24.55,23.6,24.35,24000
2023-08-01 00:00:00+05:30,24.3,24.3,23.6,24.05,40000
2023-08-02 00:00:00+05:30,23.8,23.8,23.5,23.6,20000
2023-08-03 00:00:00+05:30,24.35,25.0,24.25,24.35,32000
2023-08-04 00:00:00+05:30,24.5,24.5,23.8,23.8,12000
2023-08-07 00:00:00+05:30,24.5,25.6,24.1,24.2,48000
2023-08-08 00:00:00+05:30,24.05,24.05,23.0,23.7,80000
2023-08-09 00:00:00+05:30,22.0,23.55,22.0,23.45,60000
2023-08-14 00:00:00+05:30,22.55,22.75,21.5,22.25,28000
2023-08-16 00:00:00+05:30,21.65,22.35,21.65,22.35,12000
2023-08-17 00:00:00+05:30,22.55,23.0,22.55,23.0,8000
2023-08-18 00:00:00+05:30,23.0,23.0,22.15,22.45,16000
2023-08-21 00:00:00+05:30,22.45,22.45,22.15,22.15,8000
2023-08-22 00:00:00+05:30,22.2,22.8,22.05,22.8,16000
2023-08-23 00:00:00+05:30,22.5,22.5,22.5,22.5,8000
2023-08-25 00:00:00+05:30,22.5,23.25,22.2,23.15,52000
2023-08-28 00:00:00+05:30,23.2,23.5,23.2,23.5,16000
2023-08-29 00:00:00+05:30,23.5,23.5,23.45,23.45,8000
2023-08-30 00:00:00+05:30,23.45,24.15,22.85,22.85,24000
2023-08-31 00:00:00+05:30,23.0,23.9,22.65,22.7,44000
2023-09-01 00:00:00+05:30,23.4,23.4,23.0,23.0,8000
2023-09-04 00:00:00+05:30,22.75,23.3,22.75,23.3,8000
2023-09-05 00:00:00+05:30,23.3,23.6,23.0,23.0,12000
2023-09-06 00:00:00+05:30,23.0,23.0,22.95,22.95,8000
2023-09-07 00:00:00+05:30,23.8,23.8,23.05,23.65,16000
2023-09-08 00:00:00+05:30,23.25,23.85,23.25,23.8,12000
2023-09-11 00:00:00+05:30,23.2,23.3,22.5,23.0,24000
2023-09-12 00:00:00+05:30,23.0,23.0,23.0,23.0,4000
2023-09-14 00:00:00+05:30,22.55,22.55,22.55,22.55,12000
2023-09-15 00:00:00+05:30,22.5,22.5,22.5,22.5,16000
2023-09-18 00:00:00+05:30,22.15,22.95,22.15,22.15,12000
2023-09-20 00:00:00+05:30,22.15,22.95,22.15,22.95,8000
2023-09-21 00:00:00+05:30,22.0,22.0,22.0,22.0,8000
2023-09-22 00:00:00+05:30,22.0,22.0,21.9,21.9,16000
2023-09-26 00:00:00+05:30,21.5,22.9,21.5,22.9,8000
2023-09-27 00:00:00+05:30,22.5,22.5,21.55,22.0,24000
2023-09-28 00:00:00+05:30,21.55,21.55,21.55,21.55,4000
2023-09-29 00:00:00+05:30,21.55,21.6,21.55,21.6,8000
2023-10-04 00:00:00+05:30,21.5,21.5,21.5,21.5,4000
2023-10-05 00:00:00+05:30,21.0,23.95,21.0,23.55,156000
2023-10-06 00:00:00+05:30,23.4,23.5,22.5,22.9,32000
2023-10-09 00:00:00+05:30,22.9,23.05,22.05,22.65,20000
2023-10-10 00:00:00+05:30,22.05,22.8,22.05,22.6,16000
2023-10-11 00:00:00+05:30,23.4,24.5,22.55,22.7,28000
2023-10-12 00:00:00+05:30,23.05,23.05,22.5,22.5,12000
2023-10-13 00:00:00+05:30,22.3,23.25,21.5,22.05,40000
2023-10-16 00:00:00+05:30,22.05,22.95,22.05,22.85,12000
2023-10-17 00:00:00+05:30,22.5,22.5,22.5,22.5,4000
2023-10-19 00:00:00+05:30,23.2,23.2,22.0,22.1,16000
2023-10-20 00:00:00+05:30,22.1,22.1,22.1,22.1,4000
2023-10-23 00:00:00+05:30,21.65,21.65,20.0,21.0,60000
2023-10-25 00:00:00+05:30,21.0,21.0,21.0,21.0,12000
2023-10-27 00:00:00+05:30,21.25,21.25,21.25,21.25,8000
2023-10-30 00:00:00+05:30,21.25,21.25,21.25,21.25,8000
2023-11-01 00:00:00+05:30,20.55,21.0,20.55,21.0,12000
2023-11-03 00:00:00+05:30,21.0,21.0,21.0,21.0,4000
2023-11-07 00:00:00+05:30,20.85,21.0,18.55,20.05,92000
2023-11-10 00:00:00+05:30,20.9,20.9,20.9,20.9,20000
2023-11-12 00:00:00+05:30,21.25,22.15,21.25,22.05,16000
2023-11-13 00:00:00+05:30,22.0,22.25,22.0,22.25,16000
2023-11-15 00:00:00+05:30,23.5,23.5,22.05,22.05,24000
2023-11-17 00:00:00+05:30,21.6,21.6,21.6,21.6,4000
2023-11-20 00:00:00+05:30,21.6,21.6,20.5,20.5,8000
2023-11-21 00:00:00+05:30,21.5,22.05,21.4,22.0,24000
2023-11-22 00:00:00+05:30,21.2,21.2,19.4,21.2,48000
2023-11-23 00:00:00+05:30,21.25,21.25,21.25,21.25,8000
2023-11-28 00:00:00+05:30,21.85,21.85,21.85,21.85,4000
2023-11-30 00:00:00+05:30,20.55,21.95,20.5,21.95,40000
2023-12-01 00:00:00+05:30,21.05,21.05,21.0,21.0,20000
2023-12-04 00:00:00+05:30,20.5,20.5,20.1,20.4,32000
2023-12-05 00:00:00+05:30,21.2,21.2,20.25,20.4,20000
2023-12-06 00:00:00+05:30,20.05,20.7,20.0,20.45,32000
2023-12-07 00:00:00+05:30,20.4,20.4,20.4,20.4,4000
2023-12-08 00:00:00+05:30,20.5,20.85,20.3,20.85,20000
2023-12-11 00:00:00+05:30,20.85,20.85,20.6,20.6,8000
2023-12-12 00:00:00+05:30,20.05,20.4,19.8,20.4,44000
2023-12-13 00:00:00+05:30,20.1,20.1,20.1,20.1,4000
2023-12-14 00:00:00+05:30,20.1,20.2,20.1,20.2,12000
2023-12-18 00:00:00+05:30,18.1,20.9,18.1,20.2,28000
2023-12-19 00:00:00+05:30,21.25,23.4,20.6,23.3,224000
2023-12-20 00:00:00+05:30,24.7,24.7,22.05,22.15,88000
