date,open,high,low,close,volume
2022-11-28 00:00:00+05:30,81.0,82.65,81.0,82.65,3947
2022-11-29 00:00:00+05:30,86.75,86.75,86.75,86.75,2925
2022-11-30 00:00:00+05:30,91.05,91.05,91.05,91.05,1001
2022-12-01 00:00:00+05:30,95.6,95.6,87.25,95.6,66310
2022-12-02 00:00:00+05:30,98.95,100.35,96.05,100.15,28285
2022-12-05 00:00:00+05:30,105.0,105.15,96.75,102.75,26471
2022-12-06 00:00:00+05:30,107.0,107.85,97.65,97.9,36691
2022-12-07 00:00:00+05:30,95.55,100.0,93.25,95.0,14874
2022-12-08 00:00:00+05:30,97.0,99.75,91.25,99.75,11393
2022-12-09 00:00:00+05:30,101.95,104.7,99.0,103.6,19975
2022-12-12 00:00:00+05:30,99.15,108.0,99.15,107.65,7525
2022-12-13 00:00:00+05:30,109.75,113.0,103.5,113.0,50931
2022-12-14 00:00:00+05:30,118.45,118.65,110.3,114.7,11036
2022-12-15 00:00:00+05:30,113.25,119.8,109.0,113.65,10873
2022-12-16 00:00:00+05:30,116.5,116.95,108.0,112.95,79335
2022-12-19 00:00:00+05:30,115.5,118.55,108.9,118.55,19541
2022-12-20 00:00:00+05:30,121.0,124.45,121.0,124.45,21677
2022-12-21 00:00:00+05:30,130.65,130.65,125.0,125.75,47145
2022-12-22 00:00:00+05:30,131.0,131.0,119.5,127.3,11155
2022-12-23 00:00:00+05:30,129.5,129.5,120.95,120.95,15557
2022-12-26 00:00:00+05:30,123.45,126.95,118.4,126.9,11047
2022-12-27 00:00:00+05:30,133.1,133.2,125.0,133.2,23914
2022-12-28 00:00:00+05:30,139.85,139.85,135.0,139.85,26327
2022-12-29 00:00:00+05:30,135.0,144.95,133.0,136.8,13299
2022-12-30 00:00:00+05:30,142.0,143.0,135.2,140.75,7574
2023-01-02 00:00:00+05:30,147.0,147.75,142.55,147.25,16391
2023-01-03 00:00:00+05:30,152.75,154.6,147.35,154.6,17884
2023-01-04 00:00:00+05:30,160.0,162.3,157.7,162.3,22825
2023-01-05 00:00:00+05:30,168.95,170.4,165.1,170.4,43108
