date,open,high,low,close,volume
2024-04-01 00:00:00+05:30,85.0,85.7,80.75,83.6,924800
2024-04-02 00:00:00+05:30,84.5,84.5,80.15,80.55,184000
2024-04-03 00:00:00+05:30,80.0,80.0,77.0,78.55,137600
2024-04-04 00:00:00+05:30,77.5,82.45,77.5,80.5,166400
2024-04-05 00:00:00+05:30,81.25,84.5,80.0,84.5,116800
2024-04-08 00:00:00+05:30,87.0,87.75,84.65,85.55,100800
2024-04-09 00:00:00+05:30,86.0,86.5,83.0,83.45,43200
2024-04-10 00:00:00+05:30,82.9,83.8,80.5,83.4,72000
2024-04-12 00:00:00+05:30,82.5,86.0,81.05,84.9,89600
2024-04-15 00:00:00+05:30,85.05,85.5,82.0,84.3,59200
2024-04-16 00:00:00+05:30,85.5,86.8,84.3,86.0,240000
2024-04-18 00:00:00+05:30,86.8,87.95,85.6,86.65,179200
2024-04-19 00:00:00+05:30,85.2,86.0,84.0,85.3,62400
2024-04-22 00:00:00+05:30,86.1,87.5,85.4,86.85,72000
2024-04-23 00:00:00+05:30,86.0,94.05,85.95,93.75,345600
2024-04-24 00:00:00+05:30,94.4,96.7,90.05,91.0,75200
2024-04-25 00:00:00+05:30,91.5,96.4,91.5,94.5,115200
2024-04-26 00:00:00+05:30,95.85,95.85,92.2,92.75,57600
2024-04-29 00:00:00+05:30,94.65,94.65,91.55,92.15,36800
2024-04-30 00:00:00+05:30,93.0,93.0,88.5,89.0,60800
2024-05-02 00:00:00+05:30,91.0,91.0,86.1,87.65,54400
2024-05-03 00:00:00+05:30,88.65,88.65,86.0,86.0,51200
2024-05-06 00:00:00+05:30,85.5,93.4,84.0,92.65,174400
2024-05-07 00:00:00+05:30,92.6,93.05,88.3,89.1,60800
2024-05-08 00:00:00+05:30,91.35,95.0,88.0,93.95,212800
2024-05-09 00:00:00+05:30,94.95,95.5,89.0,89.8,73600
2024-05-10 00:00:00+05:30,88.5,90.9,87.0,90.25,41600
2024-05-13 00:00:00+05:30,90.9,91.55,89.05,90.5,20800
2024-05-14 00:00:00+05:30,92.5,92.5,89.3,89.75,24000
2024-05-15 00:00:00+05:30,88.6,89.1,88.0,88.1,30400
2024-05-16 00:00:00+05:30,88.2,89.0,87.1,87.1,11200
2024-05-17 00:00:00+05:30,87.1,87.1,87.0,87.0,3200
2024-05-18 00:00:00+05:30,86.65,86.65,86.65,86.65,1600
2024-05-21 00:00:00+05:30,86.5,86.95,85.5,85.6,25600
2024-05-22 00:00:00+05:30,87.0,88.3,85.2,86.75,52800
2024-05-23 00:00:00+05:30,87.8,87.8,86.0,86.15,24000
